subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s4,101,101,1,0.0099009900990099,FALSE,0.0909090909090909,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s2,89,89,3,0.0337078651685393,FALSE,0.272727272727273,3,0,3,17p:g;17q:g;19p:g,5,gain,FALSE,0,GSE239721,PT20A
observation.observation_s13,78,78,0,0,FALSE,0,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s14,69,69,0,0,FALSE,0,5,0,5,10p:g;12q:g;17p:g;19p:g;3q:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s12,60,60,1,0.0166666666666667,FALSE,0.0909090909090909,4,0,4,17p:g;17q:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s11,57,57,2,0.0350877192982456,FALSE,0.181818181818182,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s15,52,52,1,0.0192307692307692,FALSE,0.0909090909090909,4,0,4,10p:g;13q:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s8,51,51,0,0,FALSE,0,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s10,50,50,0,0,FALSE,0,4,0,4,10p:g;13q:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s1,48,48,0,0,FALSE,0,2,0,2,17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s3,48,48,1,0.0208333333333333,FALSE,0.0909090909090909,5,0,5,10p:g;12q:g;13q:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s6,45,45,0,0,FALSE,0,5,1,4,10p:g;13q:g;17p:g;19p:g;22q:l,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s17,42,42,0,0,FALSE,0,3,0,3,12q:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s7,32,32,0,0,FALSE,0,4,0,4,10p:g;13q:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s18,31,31,0,0,FALSE,0,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s20,26,26,0,0,FALSE,0,3,0,3,17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s22,26,26,0,0,FALSE,0,2,0,2,17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s5,24,24,1,0.0416666666666667,FALSE,0.0909090909090909,6,1,5,10p:g;13q:g;17p:g;19p:g;22q:l;3q:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s9,17,17,1,0.0588235294117647,FALSE,0.0909090909090909,2,0,2,17p:g;19p:g,5,gain,FALSE,0,GSE239721,PT20A
observation.observation_s23,16,16,0,0,FALSE,0,2,0,2,17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s19,15,15,0,0,FALSE,0,3,0,3,10p:g;17p:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s24,10,10,0,0,FALSE,0,5,1,4,10p:g;13q:g;17p:g;19p:g;8q:l,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s21,6,6,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE239721,PT20A
observation.observation_s25,6,6,0,0,FALSE,0,4,1,3,15q:l;17p:g;17q:g;19p:g,4,gain,FALSE,0,GSE239721,PT20A
observation.observation_s16,3,3,0,0,FALSE,0,4,1,3,10p:g;15q:l;17q:g;19p:g,3,neutral,FALSE,0,GSE239721,PT20A
reference_external.reference_external_s2,313,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE239721,PT20A
reference_external.reference_external_s18,227,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE239721,PT20A
reference_external.reference_external_s14,214,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE239721,PT20A
reference_external.reference_external_s21,209,0,0,,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE239721,PT20A
