subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s11,2p,loss,64,105,0.60952380952381,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,2q,loss,57,137,0.416058394160584,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,4p,gain,6,37,0.162162162162162,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,4q,gain,69,69,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,6p,loss,28,126,0.222222222222222,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,6q,loss,35,70,0.5,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,8p,loss,33,38,0.868421052631579,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,9q,gain,52,91,0.571428571428571,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,11p,gain,69,69,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,11q,gain,10,165,0.0606060606060606,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,12p,gain,45,45,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,12q,gain,59,156,0.378205128205128,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,14q,loss,78,127,0.614173228346457,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,17p,gain,57,57,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,17q,gain,4,167,0.0239520958083832,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,18p,loss,20,20,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,18q,loss,27,27,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,19p,gain,103,153,0.673202614379085,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,19q,gain,141,141,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s11,22q,gain,91,95,0.957894736842105,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,2p,loss,50,105,0.476190476190476,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,3p,gain,76,105,0.723809523809524,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,4p,gain,27,37,0.72972972972973,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,4q,gain,69,69,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,6p,loss,45,126,0.357142857142857,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,8p,loss,30,38,0.789473684210526,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,9q,gain,51,91,0.56043956043956,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,12p,gain,45,45,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,12q,gain,65,156,0.416666666666667,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,13q,gain,59,59,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,14q,loss,84,127,0.661417322834646,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,16q,loss,49,62,0.790322580645161,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,17p,gain,42,57,0.736842105263158,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,17q,gain,5,167,0.029940119760479,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,19p,gain,99,153,0.647058823529412,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s16,19q,gain,141,141,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,1p,gain,38,208,0.182692307692308,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,1q,gain,71,174,0.408045977011494,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,2p,loss,53,105,0.504761904761905,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,2q,loss,51,137,0.372262773722628,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,6p,loss,26,126,0.206349206349206,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,6q,loss,69,70,0.985714285714286,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,7q,gain,35,94,0.372340425531915,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,8p,gain,38,38,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,8q,gain,94,94,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,12q,gain,36,156,0.230769230769231,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,13q,loss,59,59,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,14q,loss,66,127,0.519685039370079,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,18p,loss,20,20,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,18q,loss,27,27,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,19p,gain,153,153,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,19q,gain,141,141,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,21q,gain,33,33,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s27,22q,gain,95,95,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,1p,gain,101,208,0.485576923076923,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,1q,gain,93,174,0.53448275862069,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,3p,gain,6,105,0.0571428571428571,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,3q,gain,90,90,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,4p,gain,37,37,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,4q,gain,56,69,0.811594202898551,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,6p,loss,85,126,0.674603174603175,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,7q,gain,82,94,0.872340425531915,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,8p,gain,31,38,0.81578947368421,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,9q,loss,41,91,0.450549450549451,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,10p,gain,29,29,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,10q,gain,100,100,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,15q,gain,109,109,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,16p,loss,36,98,0.36734693877551,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,19p,loss,97,153,0.633986928104575,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s20,19q,loss,141,141,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,1p,gain,76,208,0.365384615384615,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,1q,gain,59,174,0.339080459770115,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,1q,loss,44,174,0.252873563218391,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,2p,loss,70,105,0.666666666666667,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,2q,loss,60,137,0.437956204379562,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,6p,loss,126,126,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,6q,loss,70,70,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,7p,gain,66,66,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,7q,gain,38,94,0.404255319148936,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,8p,loss,34,38,0.894736842105263,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,10p,loss,29,29,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,10q,loss,11,100,0.11,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,11p,gain,69,69,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,11q,gain,66,165,0.4,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,12q,gain,48,156,0.307692307692308,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,14q,loss,67,127,0.52755905511811,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,17p,gain,50,57,0.87719298245614,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,18p,loss,20,20,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,18q,loss,27,27,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,19p,gain,109,153,0.712418300653595,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,19q,gain,141,141,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,20q,gain,17,71,0.23943661971831,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s14,22q,gain,95,95,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,1p,gain,112,208,0.538461538461538,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,1p,loss,32,208,0.153846153846154,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,1q,gain,74,174,0.425287356321839,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,2p,loss,65,105,0.619047619047619,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,2q,loss,105,137,0.766423357664234,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,3q,loss,27,90,0.3,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,6p,loss,57,126,0.452380952380952,FALSE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,6q,loss,70,70,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,7p,gain,66,66,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,7q,gain,49,94,0.521276595744681,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,11p,gain,69,69,1,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,11q,gain,105,165,0.636363636363636,TRUE,GSE289435,GSM8791438_MLL_28830
observation.observation_s13,12q,gain,32,156,0.205128205128205,FALSE,GSE289435,GSM8791438_MLL_28830
