subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s18,453,453,0,0,FALSE,0,4,2,2,12p:g;19q:g;7p:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s33,345,345,2,0.00579710144927536,FALSE,0.0043010752688172,7,2,5,11p:g;12p:g;17p:g;19p:g;19q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s69,327,327,13,0.0397553516819572,FALSE,0.0279569892473118,2,2,0,3p:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s44,301,301,3,0.00996677740863787,FALSE,0.00645161290322581,2,1,1,17p:g;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s29,294,294,1,0.00340136054421769,FALSE,0.0021505376344086,6,2,4,12p:g;17p:g;19p:g;19q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s5,279,279,10,0.03584229390681,FALSE,0.021505376344086,10,2,8,11p:g;11q:g;12p:g;17p:g;19p:g;19q:g;1p:g;22q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s57,270,270,1,0.0037037037037037,FALSE,0.0021505376344086,5,3,2,17p:g;19q:g;3p:l;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s6,264,264,0,0,FALSE,0,6,3,3,12p:g;17p:g;19q:g;6q:l;7p:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s41,244,244,48,0.19672131147541,FALSE,0.103225806451613,11,5,6,11q:g;17p:g;18p:l;18q:l;19p:g;19q:g;20p:g;22q:g;3p:l;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s17,224,224,20,0.0892857142857143,FALSE,0.0430107526881721,4,2,2,11p:g;12p:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s22,223,223,12,0.0538116591928251,FALSE,0.0258064516129032,2,2,0,3p:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s10,192,192,1,0.00520833333333333,FALSE,0.0021505376344086,5,3,2,11p:g;3p:l;4q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s43,182,182,9,0.0494505494505495,FALSE,0.0193548387096774,4,2,2,17p:g;22q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s42,157,157,5,0.0318471337579618,FALSE,0.010752688172043,4,2,2,11p:g;1p:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s51,155,155,6,0.0387096774193548,FALSE,0.0129032258064516,4,2,2,11p:g;22q:g;6q:l;8q:l,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
observation.observation_s66,153,153,5,0.0326797385620915,FALSE,0.010752688172043,9,3,6,11q:g;17p:g;19p:g;19q:g;22q:g;3p:l;6q:l;8q:l;9q:g,,,FALSE,0,GSE289435,GSM8791444_MLL_30886
