subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s9,9q,gain,35,189,0.185185185185185,FALSE,Petti2019,721214
observation.observation_s9,12p,gain,27,89,0.303370786516854,FALSE,Petti2019,721214
observation.observation_s9,14q,gain,35,226,0.154867256637168,FALSE,Petti2019,721214
observation.observation_s9,17p,gain,89,106,0.839622641509434,TRUE,Petti2019,721214
observation.observation_s9,19p,gain,97,235,0.412765957446809,FALSE,Petti2019,721214
observation.observation_s9,19q,gain,127,221,0.574660633484163,TRUE,Petti2019,721214
observation.observation_s9,22q,gain,169,169,1,TRUE,Petti2019,721214
observation.observation_s21,1q,loss,58,325,0.178461538461538,FALSE,Petti2019,721214
observation.observation_s21,6p,gain,21,208,0.100961538461538,FALSE,Petti2019,721214
observation.observation_s21,6p,loss,51,208,0.245192307692308,FALSE,Petti2019,721214
observation.observation_s21,19p,gain,75,235,0.319148936170213,FALSE,Petti2019,721214
observation.observation_s86,1p,gain,82,369,0.222222222222222,FALSE,Petti2019,721214
observation.observation_s86,1q,loss,72,325,0.221538461538462,FALSE,Petti2019,721214
observation.observation_s86,6p,gain,21,208,0.100961538461538,FALSE,Petti2019,721214
observation.observation_s86,6p,loss,60,208,0.288461538461538,FALSE,Petti2019,721214
observation.observation_s86,19p,gain,53,235,0.225531914893617,FALSE,Petti2019,721214
observation.observation_s86,22q,gain,47,169,0.27810650887574,FALSE,Petti2019,721214
observation.observation_s22,5q,gain,113,281,0.402135231316726,FALSE,Petti2019,721214
observation.observation_s29,1q,loss,45,325,0.138461538461538,FALSE,Petti2019,721214
observation.observation_s29,6p,gain,22,208,0.105769230769231,FALSE,Petti2019,721214
observation.observation_s29,19p,gain,67,235,0.285106382978723,FALSE,Petti2019,721214
observation.observation_s13,1q,gain,53,325,0.163076923076923,FALSE,Petti2019,721214
observation.observation_s13,7p,gain,87,128,0.6796875,TRUE,Petti2019,721214
observation.observation_s50,6p,gain,21,208,0.100961538461538,FALSE,Petti2019,721214
observation.observation_s50,19p,gain,54,235,0.229787234042553,FALSE,Petti2019,721214
observation.observation_s91,1q,gain,78,325,0.24,FALSE,Petti2019,721214
observation.observation_s91,6p,gain,24,208,0.115384615384615,FALSE,Petti2019,721214
observation.observation_s91,6q,gain,55,132,0.416666666666667,FALSE,Petti2019,721214
observation.observation_s56,1q,gain,66,325,0.203076923076923,FALSE,Petti2019,721214
observation.observation_s25,1q,gain,63,325,0.193846153846154,FALSE,Petti2019,721214
observation.observation_s25,6p,gain,22,208,0.105769230769231,FALSE,Petti2019,721214
observation.observation_s25,7p,gain,41,128,0.3203125,FALSE,Petti2019,721214
observation.observation_s106,6p,gain,23,208,0.110576923076923,FALSE,Petti2019,721214
observation.observation_s106,7p,gain,53,128,0.4140625,FALSE,Petti2019,721214
observation.observation_s106,8q,gain,73,157,0.464968152866242,FALSE,Petti2019,721214
observation.observation_s28,1q,loss,57,325,0.175384615384615,FALSE,Petti2019,721214
