subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,133,133,115,0.864661654135338,FALSE,0.178571428571429,12,3,9,10p:g;10q:g;11p:g;12p:g;12q:g;16q:g;1q:g;20p:g;20q:g;2q:l;3p:l;8q:l,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s8,125,125,13,0.104,FALSE,0.0201863354037267,4,0,4,12q:g;4q:g;9p:g;9q:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s2,94,94,49,0.521276595744681,FALSE,0.0760869565217391,3,0,3,10p:g;10q:g;14q:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s1,88,88,86,0.977272727272727,FALSE,0.133540372670807,14,4,10,10p:g;10q:g;11q:l;12p:g;16q:g;1p:g;1q:g;20p:g;20q:g;3p:l;6q:l;7p:g;7q:g;8q:l,,,FALSE,0.344827586206897,Petti2019,Normal_sorted_170607
observation.observation_s5,84,84,43,0.511904761904762,FALSE,0.0667701863354037,9,2,7,10p:g;10q:g;11p:g;12q:g;16p:l;1q:g;20p:g;20q:g;21q:l,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s15,81,81,57,0.703703703703704,FALSE,0.0885093167701863,13,3,10,10p:g;10q:g;11q:l;12q:g;16q:g;1q:g;20p:g;20q:g;22q:g;7p:g;8p:l;8q:l;9q:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s10,59,59,33,0.559322033898305,FALSE,0.0512422360248447,13,0,13,10p:g;10q:g;12p:g;12q:g;17q:g;19p:g;20p:g;20q:g;22q:g;4p:g;4q:g;9p:g;9q:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s9,47,47,20,0.425531914893617,FALSE,0.031055900621118,2,0,2,10p:g;2p:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s14,45,45,39,0.866666666666667,FALSE,0.0605590062111801,15,3,12,10p:g;10q:g;12q:g;19p:g;19q:g;1q:g;20p:g;20q:g;22q:g;3p:l;7p:g;8p:l;8q:l;9p:g;9q:g,,,FALSE,0,Petti2019,Normal_sorted_170607
observation.observation_s17,38,38,37,0.973684210526316,FALSE,0.0574534161490683,12,3,9,10p:g;10q:g;11p:g;12q:g;17p:l;1q:g;20p:g;20q:g;21q:l;3p:l;7p:g;7q:g,,,FALSE,0.689655172413793,Petti2019,Normal_sorted_170607
