gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,769,1,0.000606101506330057,1,0.13,Chen2023,AML103_CD34
COL1A2,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
COL3A1,all,sample,769,2,0.00255649204805804,2,0.2601,Chen2023,AML103_CD34
COL4A1,all,sample,769,1,0.000551440996749934,1,0.13,Chen2023,AML103_CD34
COL5A1,all,sample,769,1,0.000712556631013583,1,0.13,Chen2023,AML103_CD34
COL5A2,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
COL6A1,all,sample,769,2,0.00159378676257628,3,0.2601,Chen2023,AML103_CD34
COL6A2,all,sample,769,3,0.00205532343914318,3,0.3901,Chen2023,AML103_CD34
COL6A3,all,sample,769,4,0.00379574062230493,4,0.5202,Chen2023,AML103_CD34
COL11A1,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
FN1,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LUM,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
DCN,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
POSTN,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
SPARC,all,sample,769,6,0.00624824509725483,12,0.7802,Chen2023,AML103_CD34
BGN,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
VCAN,all,sample,769,718,2.76594211630063,17605,93.368,Chen2023,AML103_CD34
ELN,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
FBN1,all,sample,769,12,0.00994923576715725,14,1.5605,Chen2023,AML103_CD34
MGP,all,sample,769,2,0.00204597141640945,2,0.2601,Chen2023,AML103_CD34
OGN,all,sample,769,3,0.00295655692810166,3,0.3901,Chen2023,AML103_CD34
ASPN,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
TNC,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LTBP1,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LTBP2,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LOX,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LOXL1,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
LOXL2,all,sample,769,2,0.0012435253246093,2,0.2601,Chen2023,AML103_CD34
PLOD1,all,sample,769,174,0.15359643053308,201,22.6268,Chen2023,AML103_CD34
PLOD2,all,sample,769,4,0.00372834653102592,4,0.5202,Chen2023,AML103_CD34
SERPINH1,all,sample,769,25,0.01958306175251,25,3.251,Chen2023,AML103_CD34
SERPINE1,all,sample,769,1,0.000892162576206019,1,0.13,Chen2023,AML103_CD34
TIMP1,all,sample,769,715,1.50484267476538,3678,92.9779,Chen2023,AML103_CD34
TIMP2,all,sample,769,548,0.754217422395896,1258,71.2614,Chen2023,AML103_CD34
TIMP3,all,sample,769,5,0.00643927825459993,10,0.6502,Chen2023,AML103_CD34
MMP2,all,sample,769,2,0.00193703349005166,2,0.2601,Chen2023,AML103_CD34
MMP9,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
MMP14,all,sample,769,4,0.0038021058988144,5,0.5202,Chen2023,AML103_CD34
CTSK,all,sample,769,21,0.0201259101056445,21,2.7308,Chen2023,AML103_CD34
ADAMTS1,all,sample,769,1,0.000984311634360777,1,0.13,Chen2023,AML103_CD34
TGFB1,all,sample,769,608,0.873460497846892,1465,79.0637,Chen2023,AML103_CD34
TGFB2,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
TGFB3,all,sample,769,1,0.00107658498103145,1,0.13,Chen2023,AML103_CD34
TGFBR1,all,sample,769,129,0.11065824576438,145,16.775,Chen2023,AML103_CD34
TGFBR2,all,sample,769,193,0.199000008667382,238,25.0975,Chen2023,AML103_CD34
PDGFA,all,sample,769,2,0.00149973069413055,2,0.2601,Chen2023,AML103_CD34
PDGFB,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
PDGFRA,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
PDGFRB,all,sample,769,2,0.00113266786078887,2,0.2601,Chen2023,AML103_CD34
IGF1,all,sample,769,1,0.000700016730856365,1,0.13,Chen2023,AML103_CD34
IGF2,all,sample,769,1,0.00042650889360093,1,0.13,Chen2023,AML103_CD34
VEGFA,all,sample,769,106,0.102575643716284,135,13.7841,Chen2023,AML103_CD34
FGF2,all,sample,769,1,0.00184675092378461,1,0.13,Chen2023,AML103_CD34
HGF,all,sample,769,109,0.104394872425892,132,14.1743,Chen2023,AML103_CD34
OSM,all,sample,769,153,0.155324386708454,284,19.896,Chen2023,AML103_CD34
OSMR,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
IL11,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
SPP1,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
IL1B,all,sample,769,95,0.119467424239227,187,12.3537,Chen2023,AML103_CD34
IL6,all,sample,769,4,0.00497065989612524,7,0.5202,Chen2023,AML103_CD34
TNF,all,sample,769,6,0.00544633752063727,7,0.7802,Chen2023,AML103_CD34
CXCL8,all,sample,769,128,0.249125501987106,634,16.645,Chen2023,AML103_CD34
IL10,all,sample,769,29,0.0290349368311284,41,3.7711,Chen2023,AML103_CD34
IFNG,all,sample,769,0,0,0,0,Chen2023,AML103_CD34
CCL2,all,sample,769,1,0.00180692854939019,1,0.13,Chen2023,AML103_CD34
CCL3,all,sample,769,75,0.0919717453618156,222,9.7529,Chen2023,AML103_CD34
