gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,5574,901,0.301136900087167,1376,16.1643,Chen2023,AML304_Niche_Immune
COL1A2,all,sample,5574,909,0.310828301036352,1483,16.3079,Chen2023,AML304_Niche_Immune
COL3A1,all,sample,5574,908,0.314347316781269,1529,16.2899,Chen2023,AML304_Niche_Immune
COL4A1,all,sample,5574,434,0.147490620200228,635,7.7861,Chen2023,AML304_Niche_Immune
COL5A1,all,sample,5574,513,0.15705660795998,627,9.2034,Chen2023,AML304_Niche_Immune
COL5A2,all,sample,5574,310,0.0931611817780204,359,5.5615,Chen2023,AML304_Niche_Immune
COL6A1,all,sample,5574,1724,0.74484557536945,5251,30.9293,Chen2023,AML304_Niche_Immune
COL6A2,all,sample,5574,1871,0.853963304090576,6758,33.5666,Chen2023,AML304_Niche_Immune
COL6A3,all,sample,5574,1071,0.416226642760329,2545,19.2142,Chen2023,AML304_Niche_Immune
COL11A1,all,sample,5574,78,0.0231760627662892,82,1.3994,Chen2023,AML304_Niche_Immune
FN1,all,sample,5574,1680,0.805070914925555,7782,30.1399,Chen2023,AML304_Niche_Immune
LUM,all,sample,5574,1673,0.744664226215712,5778,30.0144,Chen2023,AML304_Niche_Immune
DCN,all,sample,5574,1808,0.87214931463088,7740,32.4363,Chen2023,AML304_Niche_Immune
POSTN,all,sample,5574,8,0.00284530771716647,15,0.1435,Chen2023,AML304_Niche_Immune
SPARC,all,sample,5574,952,0.318479738154449,1442,17.0793,Chen2023,AML304_Niche_Immune
BGN,all,sample,5574,915,0.302278660803624,1471,16.4155,Chen2023,AML304_Niche_Immune
VCAN,all,sample,5574,2088,1.17678167095341,16425,37.4596,Chen2023,AML304_Niche_Immune
ELN,all,sample,5574,19,0.00597558910247741,20,0.3409,Chen2023,AML304_Niche_Immune
FBN1,all,sample,5574,1180,0.46408967964506,2773,21.1697,Chen2023,AML304_Niche_Immune
MGP,all,sample,5574,1538,0.723647829403407,7246,27.5924,Chen2023,AML304_Niche_Immune
OGN,all,sample,5574,1,0.00031885957164343,1,0.0179,Chen2023,AML304_Niche_Immune
ASPN,all,sample,5574,0,0,0,0,Chen2023,AML304_Niche_Immune
TNC,all,sample,5574,1609,0.741073414482574,6089,28.8662,Chen2023,AML304_Niche_Immune
LTBP1,all,sample,5574,131,0.0370111151468295,140,2.3502,Chen2023,AML304_Niche_Immune
LTBP2,all,sample,5574,934,0.316336136036159,1466,16.7564,Chen2023,AML304_Niche_Immune
LOX,all,sample,5574,598,0.198823639779548,965,10.7284,Chen2023,AML304_Niche_Immune
LOXL1,all,sample,5574,177,0.050210618897671,191,3.1755,Chen2023,AML304_Niche_Immune
LOXL2,all,sample,5574,211,0.0615196953023387,230,3.7854,Chen2023,AML304_Niche_Immune
PLOD1,all,sample,5574,158,0.0421403641972265,162,2.8346,Chen2023,AML304_Niche_Immune
PLOD2,all,sample,5574,581,0.194299125082096,901,10.4234,Chen2023,AML304_Niche_Immune
SERPINH1,all,sample,5574,532,0.163283695154453,640,9.5443,Chen2023,AML304_Niche_Immune
SERPINE1,all,sample,5574,905,0.409251657586092,3704,16.2361,Chen2023,AML304_Niche_Immune
TIMP1,all,sample,5574,2432,0.892591496939361,6071,43.6311,Chen2023,AML304_Niche_Immune
TIMP2,all,sample,5574,1173,0.331763099690898,1606,21.0441,Chen2023,AML304_Niche_Immune
TIMP3,all,sample,5574,716,0.283509534764655,2094,12.8454,Chen2023,AML304_Niche_Immune
MMP2,all,sample,5574,816,0.263619081552119,1167,14.6394,Chen2023,AML304_Niche_Immune
MMP9,all,sample,5574,9,0.00266614390685335,9,0.1615,Chen2023,AML304_Niche_Immune
MMP14,all,sample,5574,335,0.0996500996682683,375,6.01,Chen2023,AML304_Niche_Immune
CTSK,all,sample,5574,331,0.0955066585102606,380,5.9383,Chen2023,AML304_Niche_Immune
ADAMTS1,all,sample,5574,566,0.206424609979847,1112,10.1543,Chen2023,AML304_Niche_Immune
TGFB1,all,sample,5574,1470,0.477427763538926,2129,26.3724,Chen2023,AML304_Niche_Immune
TGFB2,all,sample,5574,36,0.0109165013085045,40,0.6459,Chen2023,AML304_Niche_Immune
TGFB3,all,sample,5574,45,0.0136878457668872,46,0.8073,Chen2023,AML304_Niche_Immune
TGFBR1,all,sample,5574,369,0.104039983094214,398,6.62,Chen2023,AML304_Niche_Immune
TGFBR2,all,sample,5574,1722,0.580152619278423,2542,30.8934,Chen2023,AML304_Niche_Immune
PDGFA,all,sample,5574,94,0.0263610465731211,98,1.6864,Chen2023,AML304_Niche_Immune
PDGFB,all,sample,5574,7,0.00250791975621328,8,0.1256,Chen2023,AML304_Niche_Immune
PDGFRA,all,sample,5574,647,0.203965034480331,857,11.6075,Chen2023,AML304_Niche_Immune
PDGFRB,all,sample,5574,854,0.282682006213477,1259,15.3211,Chen2023,AML304_Niche_Immune
IGF1,all,sample,5574,285,0.0752766890198153,439,5.113,Chen2023,AML304_Niche_Immune
IGF2,all,sample,5574,1063,0.377078171287403,1945,19.0707,Chen2023,AML304_Niche_Immune
VEGFA,all,sample,5574,933,0.352845908000042,2198,16.7384,Chen2023,AML304_Niche_Immune
FGF2,all,sample,5574,65,0.0135540399028597,69,1.1661,Chen2023,AML304_Niche_Immune
HGF,all,sample,5574,185,0.0618940298890983,294,3.319,Chen2023,AML304_Niche_Immune
OSM,all,sample,5574,70,0.0202870972214231,80,1.2558,Chen2023,AML304_Niche_Immune
OSMR,all,sample,5574,879,0.308413080788967,1463,15.7696,Chen2023,AML304_Niche_Immune
IL11,all,sample,5574,28,0.0107291394599881,59,0.5023,Chen2023,AML304_Niche_Immune
SPP1,all,sample,5574,2,0.000775654216029118,2,0.0359,Chen2023,AML304_Niche_Immune
IL1B,all,sample,5574,41,0.0112110101869223,84,0.7356,Chen2023,AML304_Niche_Immune
IL6,all,sample,5574,358,0.154057680354165,1267,6.4227,Chen2023,AML304_Niche_Immune
TNF,all,sample,5574,243,0.0867673596861494,325,4.3595,Chen2023,AML304_Niche_Immune
CXCL8,all,sample,5574,1438,0.836577752593582,23787,25.7983,Chen2023,AML304_Niche_Immune
IL10,all,sample,5574,7,0.00203713799093126,7,0.1256,Chen2023,AML304_Niche_Immune
IFNG,all,sample,5574,152,0.0571170478669887,237,2.7269,Chen2023,AML304_Niche_Immune
CCL2,all,sample,5574,1135,0.556949386633488,7726,20.3624,Chen2023,AML304_Niche_Immune
CCL3,all,sample,5574,712,0.306385196100606,2965,12.7736,Chen2023,AML304_Niche_Immune
CCL4,all,sample,5574,689,0.341944554728946,4544,12.361,Chen2023,AML304_Niche_Immune
CXCL1,all,sample,5574,100,0.0435715368957519,501,1.794,Chen2023,AML304_Niche_Immune
CXCL2,all,sample,5574,1586,0.9293536965881,18411,28.4535,Chen2023,AML304_Niche_Immune
IL18,all,sample,5574,162,0.0412785867609698,245,2.9064,Chen2023,AML304_Niche_Immune
NLRP3,all,sample,5574,67,0.0165104925543371,74,1.202,Chen2023,AML304_Niche_Immune
S100A8,all,sample,5574,60,0.0246322406064932,219,1.0764,Chen2023,AML304_Niche_Immune
S100A9,all,sample,5574,95,0.0391194615574119,523,1.7043,Chen2023,AML304_Niche_Immune
PF4,all,sample,5574,109,0.0451544951896287,400,1.9555,Chen2023,AML304_Niche_Immune
PPBP,all,sample,5574,143,0.0678719776109953,1653,2.5655,Chen2023,AML304_Niche_Immune
VWF,all,sample,5574,21,0.00863740859777613,47,0.3767,Chen2023,AML304_Niche_Immune
ITGA2B,all,sample,5574,53,0.0196222667618723,118,0.9508,Chen2023,AML304_Niche_Immune
GP9,all,sample,5574,23,0.00998442633130679,57,0.4126,Chen2023,AML304_Niche_Immune
NFE2,all,sample,5574,32,0.00733619802566355,41,0.5741,Chen2023,AML304_Niche_Immune
GATA1,all,sample,5574,19,0.0046376386260863,24,0.3409,Chen2023,AML304_Niche_Immune
MPL,all,sample,5574,1,0.000126778986417411,1,0.0179,Chen2023,AML304_Niche_Immune
CALR,all,sample,5574,2746,0.94145261652763,5409,49.2644,Chen2023,AML304_Niche_Immune
JAK2,all,sample,5574,397,0.110833678366921,440,7.1224,Chen2023,AML304_Niche_Immune
LEPR,all,sample,5574,1842,0.937061303564061,9179,33.0463,Chen2023,AML304_Niche_Immune
CXCL12,all,sample,5574,2688,1.98544352084551,89100,48.2239,Chen2023,AML304_Niche_Immune
KITLG,all,sample,5574,626,0.20345566188901,949,11.2307,Chen2023,AML304_Niche_Immune
ANGPT1,all,sample,5574,1251,0.450415165775399,2513,22.4435,Chen2023,AML304_Niche_Immune
VCAM1,all,sample,5574,1978,1.10322595482269,14490,35.4862,Chen2023,AML304_Niche_Immune
NES,all,sample,5574,15,0.00478493489808133,18,0.2691,Chen2023,AML304_Niche_Immune
NGFR,all,sample,5574,247,0.0741578911429597,288,4.4313,Chen2023,AML304_Niche_Immune
SFRP2,all,sample,5574,2,0.00103252703482867,3,0.0359,Chen2023,AML304_Niche_Immune
SFRP4,all,sample,5574,93,0.0293235855204278,122,1.6685,Chen2023,AML304_Niche_Immune
GREM1,all,sample,5574,33,0.0102979186553986,33,0.592,Chen2023,AML304_Niche_Immune
FAP,all,sample,5574,22,0.00647217601899568,24,0.3947,Chen2023,AML304_Niche_Immune
BGLAP,all,sample,5574,7,0.00218726914126158,8,0.1256,Chen2023,AML304_Niche_Immune
RUNX2,all,sample,5574,341,0.0957083938413661,421,6.1177,Chen2023,AML304_Niche_Immune
SP7,all,sample,5574,0,0,0,0,Chen2023,AML304_Niche_Immune
ACTA2,all,sample,5574,96,0.0273462921341219,130,1.7223,Chen2023,AML304_Niche_Immune
TAGLN,all,sample,5574,1444,0.622832695905711,5200,25.906,Chen2023,AML304_Niche_Immune
RGS5,all,sample,5574,3,0.00101965328705929,5,0.0538,Chen2023,AML304_Niche_Immune
MYH11,all,sample,5574,6,0.00189794821635583,6,0.1076,Chen2023,AML304_Niche_Immune
CDH5,all,sample,5574,232,0.0837837617613722,307,4.1622,Chen2023,AML304_Niche_Immune
PECAM1,all,sample,5574,604,0.172040147726971,833,10.836,Chen2023,AML304_Niche_Immune
EMCN,all,sample,5574,75,0.0235121622349389,81,1.3455,Chen2023,AML304_Niche_Immune
HIF1A,all,sample,5574,1600,0.536636012100681,2360,28.7047,Chen2023,AML304_Niche_Immune
EPAS1,all,sample,5574,1285,0.471384668461887,2424,23.0535,Chen2023,AML304_Niche_Immune
CA9,all,sample,5574,1,0.000256936804319848,1,0.0179,Chen2023,AML304_Niche_Immune
LDHA,all,sample,5574,2772,0.984089960048962,5579,49.7309,Chen2023,AML304_Niche_Immune
SLC2A1,all,sample,5574,126,0.0377622846525761,133,2.2605,Chen2023,AML304_Niche_Immune
PGK1,all,sample,5574,1266,0.375599412866466,1691,22.7126,Chen2023,AML304_Niche_Immune
ADM,all,sample,5574,1174,0.502484381481041,3859,21.0621,Chen2023,AML304_Niche_Immune
BNIP3,all,sample,5574,661,0.187340707025022,769,11.8586,Chen2023,AML304_Niche_Immune
NDRG1,all,sample,5574,921,0.305470081262112,1272,16.5231,Chen2023,AML304_Niche_Immune
SNAI1,all,sample,5574,182,0.0563519950365104,213,3.2652,Chen2023,AML304_Niche_Immune
SNAI2,all,sample,5574,630,0.206788911332542,959,11.3025,Chen2023,AML304_Niche_Immune
TWIST1,all,sample,5574,492,0.157880338873746,726,8.8267,Chen2023,AML304_Niche_Immune
ZEB1,all,sample,5574,364,0.118173806502027,408,6.5303,Chen2023,AML304_Niche_Immune
ZEB2,all,sample,5574,1805,0.640256325880256,3321,32.3825,Chen2023,AML304_Niche_Immune
VIM,all,sample,5574,5112,3.50743555421895,139486,91.7115,Chen2023,AML304_Niche_Immune
CDH2,all,sample,5574,16,0.0045162867456742,17,0.287,Chen2023,AML304_Niche_Immune
PVR,all,sample,5574,15,0.00520551435143838,15,0.2691,Chen2023,AML304_Niche_Immune
TIGIT,all,sample,5574,192,0.0637645551608306,269,3.4446,Chen2023,AML304_Niche_Immune
CD226,all,sample,5574,100,0.0318872668828029,102,1.794,Chen2023,AML304_Niche_Immune
CD96,all,sample,5574,690,0.228286541717483,877,12.3789,Chen2023,AML304_Niche_Immune
C1QA,all,sample,5574,2,0.000487376301570235,2,0.0359,Chen2023,AML304_Niche_Immune
C1QB,all,sample,5574,6,0.00221305550631305,7,0.1076,Chen2023,AML304_Niche_Immune
C1QC,all,sample,5574,3,0.00109210925640989,4,0.0538,Chen2023,AML304_Niche_Immune
CD163,all,sample,5574,1,0.00016333885490696,1,0.0179,Chen2023,AML304_Niche_Immune
MRC1,all,sample,5574,66,0.0268851821140325,99,1.1841,Chen2023,AML304_Niche_Immune
VSIG4,all,sample,5574,0,0,0,0,Chen2023,AML304_Niche_Immune
STAB1,all,sample,5574,122,0.0465033305095152,160,2.1887,Chen2023,AML304_Niche_Immune
LYVE1,all,sample,5574,67,0.0271802955119012,95,1.202,Chen2023,AML304_Niche_Immune
MAF,all,sample,5574,487,0.152454859831698,545,8.737,Chen2023,AML304_Niche_Immune
FCN1,all,sample,5574,15,0.00565859893353357,27,0.2691,Chen2023,AML304_Niche_Immune
S100A12,all,sample,5574,11,0.00365526447555103,18,0.1973,Chen2023,AML304_Niche_Immune
SELL,all,sample,5574,600,0.20407571505236,908,10.7643,Chen2023,AML304_Niche_Immune
CSF3R,all,sample,5574,148,0.0356824229349068,192,2.6552,Chen2023,AML304_Niche_Immune
PLAC8,all,sample,5574,841,0.277466953274145,1575,15.0879,Chen2023,AML304_Niche_Immune
CTGF,all,sample,5574,1126,0.495694123087425,4541,20.2009,Chen2023,AML304_Niche_Immune
