gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,7100,1466,0.458756873719892,4384,20.6479,Chen2023,AML320_NICHE_IMMUNE
COL1A2,all,sample,7100,1574,0.535558714152008,5761,22.169,Chen2023,AML320_NICHE_IMMUNE
COL3A1,all,sample,7100,1465,0.480411066499495,5112,20.6338,Chen2023,AML320_NICHE_IMMUNE
COL4A1,all,sample,7100,298,0.0676933351202338,408,4.1972,Chen2023,AML320_NICHE_IMMUNE
COL5A1,all,sample,7100,724,0.156971783078687,963,10.1972,Chen2023,AML320_NICHE_IMMUNE
COL5A2,all,sample,7100,508,0.112938335613384,643,7.1549,Chen2023,AML320_NICHE_IMMUNE
COL6A1,all,sample,7100,1346,0.384582469814977,3216,18.9577,Chen2023,AML320_NICHE_IMMUNE
COL6A2,all,sample,7100,1638,0.517100377062157,4876,23.0704,Chen2023,AML320_NICHE_IMMUNE
COL6A3,all,sample,7100,1107,0.304300336237743,2509,15.5915,Chen2023,AML320_NICHE_IMMUNE
COL11A1,all,sample,7100,191,0.0420968585305218,226,2.6901,Chen2023,AML320_NICHE_IMMUNE
FN1,all,sample,7100,1391,0.458698562392279,5015,19.5915,Chen2023,AML320_NICHE_IMMUNE
LUM,all,sample,7100,1603,0.598613864207378,8242,22.5775,Chen2023,AML320_NICHE_IMMUNE
DCN,all,sample,7100,1698,0.743900881629533,13703,23.9155,Chen2023,AML320_NICHE_IMMUNE
POSTN,all,sample,7100,7,0.00182610274362087,27,0.0986,Chen2023,AML320_NICHE_IMMUNE
SPARC,all,sample,7100,1100,0.284168163535511,2068,15.493,Chen2023,AML320_NICHE_IMMUNE
BGN,all,sample,7100,1058,0.276170856442207,1980,14.9014,Chen2023,AML320_NICHE_IMMUNE
VCAN,all,sample,7100,1731,0.741980664691731,13932,24.3803,Chen2023,AML320_NICHE_IMMUNE
ELN,all,sample,7100,29,0.00606741287904965,30,0.4085,Chen2023,AML320_NICHE_IMMUNE
FBN1,all,sample,7100,1420,0.452529481435191,4541,20,Chen2023,AML320_NICHE_IMMUNE
MGP,all,sample,7100,1644,0.674923468665463,13486,23.1549,Chen2023,AML320_NICHE_IMMUNE
OGN,all,sample,7100,3,0.000419348112967275,3,0.0423,Chen2023,AML320_NICHE_IMMUNE
ASPN,all,sample,7100,9,0.0020361454615427,11,0.1268,Chen2023,AML320_NICHE_IMMUNE
TNC,all,sample,7100,1035,0.302200165582044,2666,14.5775,Chen2023,AML320_NICHE_IMMUNE
LTBP1,all,sample,7100,307,0.0601817425353796,531,4.3239,Chen2023,AML320_NICHE_IMMUNE
LTBP2,all,sample,7100,1080,0.289973557453395,2150,15.2113,Chen2023,AML320_NICHE_IMMUNE
LOX,all,sample,7100,433,0.0959262233074112,543,6.0986,Chen2023,AML320_NICHE_IMMUNE
LOXL1,all,sample,7100,237,0.0485260357278216,263,3.338,Chen2023,AML320_NICHE_IMMUNE
LOXL2,all,sample,7100,234,0.0486544458438341,260,3.2958,Chen2023,AML320_NICHE_IMMUNE
PLOD1,all,sample,7100,189,0.0331500114817481,199,2.662,Chen2023,AML320_NICHE_IMMUNE
PLOD2,all,sample,7100,604,0.145988871420138,917,8.507,Chen2023,AML320_NICHE_IMMUNE
SERPINH1,all,sample,7100,749,0.174009443862806,1051,10.5493,Chen2023,AML320_NICHE_IMMUNE
SERPINE1,all,sample,7100,282,0.0693683048791053,482,3.9718,Chen2023,AML320_NICHE_IMMUNE
TIMP1,all,sample,7100,3052,0.781296400701244,8802,42.9859,Chen2023,AML320_NICHE_IMMUNE
TIMP2,all,sample,7100,2254,0.469941260896048,3939,31.7465,Chen2023,AML320_NICHE_IMMUNE
TIMP3,all,sample,7100,714,0.197640756550104,1741,10.0563,Chen2023,AML320_NICHE_IMMUNE
MMP2,all,sample,7100,910,0.227450126895403,1539,12.8169,Chen2023,AML320_NICHE_IMMUNE
MMP9,all,sample,7100,9,0.0025421985667167,12,0.1268,Chen2023,AML320_NICHE_IMMUNE
MMP14,all,sample,7100,450,0.10006592218953,543,6.338,Chen2023,AML320_NICHE_IMMUNE
CTSK,all,sample,7100,582,0.125355331839668,718,8.1972,Chen2023,AML320_NICHE_IMMUNE
ADAMTS1,all,sample,7100,406,0.106760782796067,829,5.7183,Chen2023,AML320_NICHE_IMMUNE
TGFB1,all,sample,7100,1944,0.411533969544102,2878,27.3803,Chen2023,AML320_NICHE_IMMUNE
TGFB2,all,sample,7100,13,0.0025843578893333,13,0.1831,Chen2023,AML320_NICHE_IMMUNE
TGFB3,all,sample,7100,63,0.0119065773538775,64,0.8873,Chen2023,AML320_NICHE_IMMUNE
TGFBR1,all,sample,7100,623,0.123921034256288,714,8.7746,Chen2023,AML320_NICHE_IMMUNE
TGFBR2,all,sample,7100,1385,0.323654818992483,2021,19.507,Chen2023,AML320_NICHE_IMMUNE
PDGFA,all,sample,7100,113,0.0225055575161189,145,1.5915,Chen2023,AML320_NICHE_IMMUNE
PDGFB,all,sample,7100,15,0.00338010367123972,21,0.2113,Chen2023,AML320_NICHE_IMMUNE
PDGFRA,all,sample,7100,875,0.220191921279685,1492,12.3239,Chen2023,AML320_NICHE_IMMUNE
PDGFRB,all,sample,7100,908,0.223883332177623,1422,12.7887,Chen2023,AML320_NICHE_IMMUNE
IGF1,all,sample,7100,467,0.0653253478071109,600,6.5775,Chen2023,AML320_NICHE_IMMUNE
IGF2,all,sample,7100,1248,0.356849716510278,2788,17.5775,Chen2023,AML320_NICHE_IMMUNE
VEGFA,all,sample,7100,603,0.124633447637963,809,8.493,Chen2023,AML320_NICHE_IMMUNE
FGF2,all,sample,7100,82,0.010133326251401,88,1.1549,Chen2023,AML320_NICHE_IMMUNE
HGF,all,sample,7100,281,0.0612393421063726,363,3.9577,Chen2023,AML320_NICHE_IMMUNE
OSM,all,sample,7100,99,0.0163555466502769,133,1.3944,Chen2023,AML320_NICHE_IMMUNE
OSMR,all,sample,7100,1018,0.272948666300732,2007,14.338,Chen2023,AML320_NICHE_IMMUNE
IL11,all,sample,7100,6,0.000953210317160136,6,0.0845,Chen2023,AML320_NICHE_IMMUNE
SPP1,all,sample,7100,1,0.000369964615873272,2,0.0141,Chen2023,AML320_NICHE_IMMUNE
IL1B,all,sample,7100,57,0.00759139333333254,76,0.8028,Chen2023,AML320_NICHE_IMMUNE
IL6,all,sample,7100,146,0.0376242424694696,248,2.0563,Chen2023,AML320_NICHE_IMMUNE
TNF,all,sample,7100,45,0.00968794554278219,78,0.6338,Chen2023,AML320_NICHE_IMMUNE
CXCL8,all,sample,7100,1078,0.427368814944594,9947,15.1831,Chen2023,AML320_NICHE_IMMUNE
IL10,all,sample,7100,3,0.000658356926005201,3,0.0423,Chen2023,AML320_NICHE_IMMUNE
IFNG,all,sample,7100,40,0.00909946623758228,52,0.5634,Chen2023,AML320_NICHE_IMMUNE
CCL2,all,sample,7100,948,0.310406682709557,4208,13.3521,Chen2023,AML320_NICHE_IMMUNE
CCL3,all,sample,7100,301,0.0794863039464716,752,4.2394,Chen2023,AML320_NICHE_IMMUNE
CCL4,all,sample,7100,218,0.0642518909374935,717,3.0704,Chen2023,AML320_NICHE_IMMUNE
CXCL1,all,sample,7100,69,0.019830536267866,158,0.9718,Chen2023,AML320_NICHE_IMMUNE
CXCL2,all,sample,7100,1493,0.614452986722711,13094,21.0282,Chen2023,AML320_NICHE_IMMUNE
IL18,all,sample,7100,349,0.0610592805371213,621,4.9155,Chen2023,AML320_NICHE_IMMUNE
NLRP3,all,sample,7100,19,0.00335181593216081,19,0.2676,Chen2023,AML320_NICHE_IMMUNE
S100A8,all,sample,7100,89,0.0339875867638456,2949,1.2535,Chen2023,AML320_NICHE_IMMUNE
S100A9,all,sample,7100,102,0.0369748422901567,2783,1.4366,Chen2023,AML320_NICHE_IMMUNE
PF4,all,sample,7100,110,0.0425783795709898,2100,1.5493,Chen2023,AML320_NICHE_IMMUNE
PPBP,all,sample,7100,134,0.0488039504400684,3291,1.8873,Chen2023,AML320_NICHE_IMMUNE
VWF,all,sample,7100,86,0.0215553537414856,249,1.2113,Chen2023,AML320_NICHE_IMMUNE
ITGA2B,all,sample,7100,117,0.0281189484927043,421,1.6479,Chen2023,AML320_NICHE_IMMUNE
GP9,all,sample,7100,53,0.0137778176500379,220,0.7465,Chen2023,AML320_NICHE_IMMUNE
NFE2,all,sample,7100,140,0.022241865616111,188,1.9718,Chen2023,AML320_NICHE_IMMUNE
GATA1,all,sample,7100,98,0.0183544196733891,160,1.3803,Chen2023,AML320_NICHE_IMMUNE
MPL,all,sample,7100,1,0.000141688329475493,1,0.0141,Chen2023,AML320_NICHE_IMMUNE
CALR,all,sample,7100,4000,0.956000859781263,9326,56.338,Chen2023,AML320_NICHE_IMMUNE
JAK2,all,sample,7100,757,0.153266396496602,920,10.662,Chen2023,AML320_NICHE_IMMUNE
LEPR,all,sample,7100,1827,0.802202965530986,15783,25.7324,Chen2023,AML320_NICHE_IMMUNE
CXCL12,all,sample,7100,2114,1.21655969277503,65786,29.7746,Chen2023,AML320_NICHE_IMMUNE
KITLG,all,sample,7100,623,0.148160329091176,952,8.7746,Chen2023,AML320_NICHE_IMMUNE
ANGPT1,all,sample,7100,1443,0.370071195486224,3226,20.3239,Chen2023,AML320_NICHE_IMMUNE
VCAM1,all,sample,7100,1638,0.600356850111465,7997,23.0704,Chen2023,AML320_NICHE_IMMUNE
NES,all,sample,7100,9,0.00175591013218828,10,0.1268,Chen2023,AML320_NICHE_IMMUNE
NGFR,all,sample,7100,460,0.10606800091975,626,6.4789,Chen2023,AML320_NICHE_IMMUNE
SFRP2,all,sample,7100,0,0,0,0,Chen2023,AML320_NICHE_IMMUNE
SFRP4,all,sample,7100,469,0.127090792282341,1073,6.6056,Chen2023,AML320_NICHE_IMMUNE
GREM1,all,sample,7100,23,0.00429031842135338,23,0.3239,Chen2023,AML320_NICHE_IMMUNE
FAP,all,sample,7100,32,0.00692719928904169,36,0.4507,Chen2023,AML320_NICHE_IMMUNE
BGLAP,all,sample,7100,21,0.00344848077907783,21,0.2958,Chen2023,AML320_NICHE_IMMUNE
RUNX2,all,sample,7100,382,0.0701595724570914,436,5.3803,Chen2023,AML320_NICHE_IMMUNE
SP7,all,sample,7100,0,0,0,0,Chen2023,AML320_NICHE_IMMUNE
ACTA2,all,sample,7100,171,0.0329054043928336,208,2.4085,Chen2023,AML320_NICHE_IMMUNE
TAGLN,all,sample,7100,1126,0.330149635190726,3301,15.8592,Chen2023,AML320_NICHE_IMMUNE
RGS5,all,sample,7100,17,0.0030075699889683,17,0.2394,Chen2023,AML320_NICHE_IMMUNE
MYH11,all,sample,7100,98,0.0183261899808293,101,1.3803,Chen2023,AML320_NICHE_IMMUNE
CDH5,all,sample,7100,70,0.0159264355020181,91,0.9859,Chen2023,AML320_NICHE_IMMUNE
PECAM1,all,sample,7100,787,0.117942671112108,1049,11.0845,Chen2023,AML320_NICHE_IMMUNE
EMCN,all,sample,7100,125,0.0270144559783757,144,1.7606,Chen2023,AML320_NICHE_IMMUNE
HIF1A,all,sample,7100,1543,0.346536801233451,2012,21.7324,Chen2023,AML320_NICHE_IMMUNE
EPAS1,all,sample,7100,1201,0.320855595907797,2338,16.9155,Chen2023,AML320_NICHE_IMMUNE
CA9,all,sample,7100,0,0,0,0,Chen2023,AML320_NICHE_IMMUNE
LDHA,all,sample,7100,2661,0.570937003362279,4385,37.4789,Chen2023,AML320_NICHE_IMMUNE
SLC2A1,all,sample,7100,278,0.0532804912426385,301,3.9155,Chen2023,AML320_NICHE_IMMUNE
PGK1,all,sample,7100,1817,0.350595752422288,2416,25.5915,Chen2023,AML320_NICHE_IMMUNE
ADM,all,sample,7100,389,0.0973489453561927,739,5.4789,Chen2023,AML320_NICHE_IMMUNE
BNIP3,all,sample,7100,878,0.157125384387336,1023,12.3662,Chen2023,AML320_NICHE_IMMUNE
NDRG1,all,sample,7100,758,0.159216431418642,942,10.6761,Chen2023,AML320_NICHE_IMMUNE
SNAI1,all,sample,7100,140,0.0297499778855339,168,1.9718,Chen2023,AML320_NICHE_IMMUNE
SNAI2,all,sample,7100,488,0.112783615494146,678,6.8732,Chen2023,AML320_NICHE_IMMUNE
TWIST1,all,sample,7100,616,0.150682971769397,1042,8.6761,Chen2023,AML320_NICHE_IMMUNE
ZEB1,all,sample,7100,444,0.0855355839978678,487,6.2535,Chen2023,AML320_NICHE_IMMUNE
ZEB2,all,sample,7100,1549,0.37766282183972,2575,21.8169,Chen2023,AML320_NICHE_IMMUNE
VIM,all,sample,7100,5681,2.24973183586619,59714,80.0141,Chen2023,AML320_NICHE_IMMUNE
CDH2,all,sample,7100,14,0.00286267899951978,15,0.1972,Chen2023,AML320_NICHE_IMMUNE
PVR,all,sample,7100,27,0.00492036187258118,28,0.3803,Chen2023,AML320_NICHE_IMMUNE
TIGIT,all,sample,7100,98,0.0208719307296682,106,1.3803,Chen2023,AML320_NICHE_IMMUNE
CD226,all,sample,7100,240,0.0490381831713187,282,3.3803,Chen2023,AML320_NICHE_IMMUNE
