gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2271,260,0.168037189347086,693,11.4487,Chen2023,NBM2_Niche_Immune
COL1A2,all,sample,2271,444,0.385097824837818,1970,19.5509,Chen2023,NBM2_Niche_Immune
COL3A1,all,sample,2271,345,0.242324635526115,987,15.1915,Chen2023,NBM2_Niche_Immune
COL4A1,all,sample,2271,143,0.0747122397840082,224,6.2968,Chen2023,NBM2_Niche_Immune
COL5A1,all,sample,2271,121,0.0586157803985793,159,5.328,Chen2023,NBM2_Niche_Immune
COL5A2,all,sample,2271,124,0.063473471717044,177,5.4601,Chen2023,NBM2_Niche_Immune
COL6A1,all,sample,2271,394,0.262627762087514,940,17.3492,Chen2023,NBM2_Niche_Immune
COL6A2,all,sample,2271,454,0.335969042751902,1363,19.9912,Chen2023,NBM2_Niche_Immune
COL6A3,all,sample,2271,193,0.10646981344642,330,8.4985,Chen2023,NBM2_Niche_Immune
COL11A1,all,sample,2271,24,0.0119580419341019,33,1.0568,Chen2023,NBM2_Niche_Immune
FN1,all,sample,2271,309,0.227988775244995,1048,13.6063,Chen2023,NBM2_Niche_Immune
LUM,all,sample,2271,420,0.372766660937244,1972,18.4941,Chen2023,NBM2_Niche_Immune
DCN,all,sample,2271,471,0.532346091624474,4387,20.7398,Chen2023,NBM2_Niche_Immune
POSTN,all,sample,2271,3,0.00166414087537181,7,0.1321,Chen2023,NBM2_Niche_Immune
SPARC,all,sample,2271,351,0.230737676271456,847,15.4557,Chen2023,NBM2_Niche_Immune
BGN,all,sample,2271,278,0.163875818367013,545,12.2413,Chen2023,NBM2_Niche_Immune
VCAN,all,sample,2271,494,0.695642772900411,9820,21.7525,Chen2023,NBM2_Niche_Immune
ELN,all,sample,2271,5,0.00200467935676254,5,0.2202,Chen2023,NBM2_Niche_Immune
FBN1,all,sample,2271,444,0.413763561948339,2414,19.5509,Chen2023,NBM2_Niche_Immune
MGP,all,sample,2271,423,0.407825163844168,3245,18.6262,Chen2023,NBM2_Niche_Immune
OGN,all,sample,2271,1,0.000510084184244989,1,0.044,Chen2023,NBM2_Niche_Immune
ASPN,all,sample,2271,1,0.000358031279845313,1,0.044,Chen2023,NBM2_Niche_Immune
TNC,all,sample,2271,362,0.324661419401295,2032,15.9401,Chen2023,NBM2_Niche_Immune
LTBP1,all,sample,2271,59,0.0308319112979859,87,2.598,Chen2023,NBM2_Niche_Immune
LTBP2,all,sample,2271,408,0.343831197554152,1607,17.9657,Chen2023,NBM2_Niche_Immune
LOX,all,sample,2271,100,0.0459755393562688,120,4.4033,Chen2023,NBM2_Niche_Immune
LOXL1,all,sample,2271,96,0.0435531682520911,114,4.2272,Chen2023,NBM2_Niche_Immune
LOXL2,all,sample,2271,58,0.027036438689389,67,2.5539,Chen2023,NBM2_Niche_Immune
PLOD1,all,sample,2271,61,0.025783012081316,65,2.686,Chen2023,NBM2_Niche_Immune
PLOD2,all,sample,2271,132,0.0698365360601292,204,5.8124,Chen2023,NBM2_Niche_Immune
SERPINH1,all,sample,2271,242,0.127212578941417,379,10.6561,Chen2023,NBM2_Niche_Immune
SERPINE1,all,sample,2271,21,0.0173753968211819,83,0.9247,Chen2023,NBM2_Niche_Immune
TIMP1,all,sample,2271,875,0.572484566192095,2320,38.5293,Chen2023,NBM2_Niche_Immune
TIMP2,all,sample,2271,520,0.27720688781917,1014,22.8974,Chen2023,NBM2_Niche_Immune
TIMP3,all,sample,2271,248,0.178215395873268,991,10.9203,Chen2023,NBM2_Niche_Immune
MMP2,all,sample,2271,219,0.123492889682819,401,9.6433,Chen2023,NBM2_Niche_Immune
MMP9,all,sample,2271,3,0.0014305349907659,3,0.1321,Chen2023,NBM2_Niche_Immune
MMP14,all,sample,2271,133,0.0675538842678915,191,5.8565,Chen2023,NBM2_Niche_Immune
CTSK,all,sample,2271,170,0.0865585531819669,251,7.4857,Chen2023,NBM2_Niche_Immune
ADAMTS1,all,sample,2271,195,0.13848209183097,624,8.5865,Chen2023,NBM2_Niche_Immune
TGFB1,all,sample,2271,790,0.471493048789148,1321,34.7864,Chen2023,NBM2_Niche_Immune
TGFB2,all,sample,2271,7,0.00399664050778892,9,0.3082,Chen2023,NBM2_Niche_Immune
TGFB3,all,sample,2271,14,0.00541044943785171,14,0.6165,Chen2023,NBM2_Niche_Immune
TGFBR1,all,sample,2271,223,0.110230304380009,261,9.8195,Chen2023,NBM2_Niche_Immune
TGFBR2,all,sample,2271,1019,0.614150317910994,1762,44.8701,Chen2023,NBM2_Niche_Immune
PDGFA,all,sample,2271,72,0.0348801510274128,92,3.1704,Chen2023,NBM2_Niche_Immune
PDGFB,all,sample,2271,13,0.00696821622740838,13,0.5724,Chen2023,NBM2_Niche_Immune
PDGFRA,all,sample,2271,347,0.23546490250141,856,15.2796,Chen2023,NBM2_Niche_Immune
PDGFRB,all,sample,2271,299,0.180356089765258,588,13.166,Chen2023,NBM2_Niche_Immune
IGF1,all,sample,2271,132,0.0594213900784485,239,5.8124,Chen2023,NBM2_Niche_Immune
IGF2,all,sample,2271,424,0.405393506580634,2340,18.6702,Chen2023,NBM2_Niche_Immune
VEGFA,all,sample,2271,198,0.109480313911701,362,8.7186,Chen2023,NBM2_Niche_Immune
FGF2,all,sample,2271,12,0.00416771975769311,13,0.5284,Chen2023,NBM2_Niche_Immune
HGF,all,sample,2271,71,0.0362730739465429,114,3.1264,Chen2023,NBM2_Niche_Immune
OSM,all,sample,2271,63,0.0321658718645314,76,2.7741,Chen2023,NBM2_Niche_Immune
OSMR,all,sample,2271,252,0.141983481831671,454,11.0964,Chen2023,NBM2_Niche_Immune
IL11,all,sample,2271,0,0,0,0,Chen2023,NBM2_Niche_Immune
SPP1,all,sample,2271,17,0.0115594365704341,216,0.7486,Chen2023,NBM2_Niche_Immune
IL1B,all,sample,2271,1,0.000488204924991023,1,0.044,Chen2023,NBM2_Niche_Immune
IL6,all,sample,2271,21,0.0148888512894628,66,0.9247,Chen2023,NBM2_Niche_Immune
TNF,all,sample,2271,49,0.0276910323220158,72,2.1576,Chen2023,NBM2_Niche_Immune
CXCL8,all,sample,2271,28,0.0284907052927289,396,1.2329,Chen2023,NBM2_Niche_Immune
IL10,all,sample,2271,0,0,0,0,Chen2023,NBM2_Niche_Immune
IFNG,all,sample,2271,22,0.0133659158550341,35,0.9687,Chen2023,NBM2_Niche_Immune
CCL2,all,sample,2271,290,0.272566372870489,2836,12.7697,Chen2023,NBM2_Niche_Immune
CCL3,all,sample,2271,76,0.0613510952461699,420,3.3465,Chen2023,NBM2_Niche_Immune
