gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,8712,2,0.00018883758288045,2,0.023,Chen2023,NBM3_CD34
COL1A2,all,sample,8712,3,0.000777719662859681,7,0.0344,Chen2023,NBM3_CD34
COL3A1,all,sample,8712,2,0.000420955262742488,4,0.023,Chen2023,NBM3_CD34
COL4A1,all,sample,8712,1,0.000354501976570069,2,0.0115,Chen2023,NBM3_CD34
COL5A1,all,sample,8712,83,0.0147802775689533,88,0.9527,Chen2023,NBM3_CD34
COL5A2,all,sample,8712,5,0.000717168501797177,5,0.0574,Chen2023,NBM3_CD34
COL6A1,all,sample,8712,14,0.002136270911422,18,0.1607,Chen2023,NBM3_CD34
COL6A2,all,sample,8712,25,0.00538599136484202,26,0.287,Chen2023,NBM3_CD34
COL6A3,all,sample,8712,6,0.000820463001318111,6,0.0689,Chen2023,NBM3_CD34
COL11A1,all,sample,8712,0,0,0,0,Chen2023,NBM3_CD34
FN1,all,sample,8712,10,0.00188807210454384,12,0.1148,Chen2023,NBM3_CD34
LUM,all,sample,8712,3,0.000520916056024621,3,0.0344,Chen2023,NBM3_CD34
DCN,all,sample,8712,3,0.00086682082911032,13,0.0344,Chen2023,NBM3_CD34
POSTN,all,sample,8712,0,0,0,0,Chen2023,NBM3_CD34
SPARC,all,sample,8712,250,0.0373536999547502,264,2.8696,Chen2023,NBM3_CD34
BGN,all,sample,8712,2,0.00050102592009475,3,0.023,Chen2023,NBM3_CD34
VCAN,all,sample,8712,2032,0.631075183269392,5390,23.3242,Chen2023,NBM3_CD34
ELN,all,sample,8712,11,0.00186502145760709,11,0.1263,Chen2023,NBM3_CD34
FBN1,all,sample,8712,127,0.0187300690629333,136,1.4578,Chen2023,NBM3_CD34
MGP,all,sample,8712,3,0.000865852591147896,12,0.0344,Chen2023,NBM3_CD34
OGN,all,sample,8712,1,0.000167144632814552,1,0.0115,Chen2023,NBM3_CD34
ASPN,all,sample,8712,0,0,0,0,Chen2023,NBM3_CD34
TNC,all,sample,8712,3,0.000596721066236271,4,0.0344,Chen2023,NBM3_CD34
LTBP1,all,sample,8712,110,0.0180970329587092,173,1.2626,Chen2023,NBM3_CD34
LTBP2,all,sample,8712,7,0.000959444603090167,7,0.0803,Chen2023,NBM3_CD34
LOX,all,sample,8712,7,0.000894116148696953,7,0.0803,Chen2023,NBM3_CD34
LOXL1,all,sample,8712,24,0.00400028234536546,24,0.2755,Chen2023,NBM3_CD34
LOXL2,all,sample,8712,8,0.00158510805385226,8,0.0918,Chen2023,NBM3_CD34
PLOD1,all,sample,8712,115,0.0223630004910881,117,1.32,Chen2023,NBM3_CD34
PLOD2,all,sample,8712,216,0.0329725429272746,227,2.4793,Chen2023,NBM3_CD34
