gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,3639,139,0.059608068187471,249,3.8197,Chen2023,NBM3_Niche_immune
COL1A2,all,sample,3639,405,0.255017206977826,1752,11.1294,Chen2023,NBM3_Niche_immune
COL3A1,all,sample,3639,317,0.160979548356566,816,8.7112,Chen2023,NBM3_Niche_immune
COL4A1,all,sample,3639,75,0.0312322527317349,102,2.061,Chen2023,NBM3_Niche_immune
COL5A1,all,sample,3639,113,0.0414173675108146,139,3.1052,Chen2023,NBM3_Niche_immune
COL5A2,all,sample,3639,93,0.0350359857866687,112,2.5556,Chen2023,NBM3_Niche_immune
COL6A1,all,sample,3639,323,0.153024097999872,695,8.8761,Chen2023,NBM3_Niche_immune
COL6A2,all,sample,3639,470,0.235376283072852,1118,12.9156,Chen2023,NBM3_Niche_immune
COL6A3,all,sample,3639,143,0.0581091330380836,205,3.9297,Chen2023,NBM3_Niche_immune
COL11A1,all,sample,3639,59,0.0233133020229312,74,1.6213,Chen2023,NBM3_Niche_immune
FN1,all,sample,3639,248,0.117190624095419,581,6.8151,Chen2023,NBM3_Niche_immune
LUM,all,sample,3639,400,0.246011086622104,1714,10.992,Chen2023,NBM3_Niche_immune
DCN,all,sample,3639,428,0.332895346333258,3518,11.7615,Chen2023,NBM3_Niche_immune
POSTN,all,sample,3639,0,0,0,0,Chen2023,NBM3_Niche_immune
SPARC,all,sample,3639,306,0.138485452162128,601,8.4089,Chen2023,NBM3_Niche_immune
BGN,all,sample,3639,251,0.108923353856445,467,6.8975,Chen2023,NBM3_Niche_immune
VCAN,all,sample,3639,468,0.465194598968677,9294,12.8607,Chen2023,NBM3_Niche_immune
ELN,all,sample,3639,2,0.000682271268912061,2,0.055,Chen2023,NBM3_Niche_immune
FBN1,all,sample,3639,392,0.255413742681262,2048,10.7722,Chen2023,NBM3_Niche_immune
MGP,all,sample,3639,384,0.274445464076041,3099,10.5523,Chen2023,NBM3_Niche_immune
OGN,all,sample,3639,2,0.000568264144781279,2,0.055,Chen2023,NBM3_Niche_immune
ASPN,all,sample,3639,1,0.000351957949684644,1,0.0275,Chen2023,NBM3_Niche_immune
TNC,all,sample,3639,343,0.21305686887978,1555,9.4257,Chen2023,NBM3_Niche_immune
LTBP1,all,sample,3639,32,0.0117290582696751,38,0.8794,Chen2023,NBM3_Niche_immune
LTBP2,all,sample,3639,335,0.167890806196892,839,9.2058,Chen2023,NBM3_Niche_immune
LOX,all,sample,3639,69,0.0243540357166285,79,1.8961,Chen2023,NBM3_Niche_immune
LOXL1,all,sample,3639,78,0.0277683023233747,86,2.1434,Chen2023,NBM3_Niche_immune
LOXL2,all,sample,3639,24,0.00841372951984319,24,0.6595,Chen2023,NBM3_Niche_immune
PLOD1,all,sample,3639,50,0.0190941287011404,56,1.374,Chen2023,NBM3_Niche_immune
PLOD2,all,sample,3639,111,0.0426400647386385,143,3.0503,Chen2023,NBM3_Niche_immune
SERPINH1,all,sample,3639,234,0.094064374774973,346,6.4303,Chen2023,NBM3_Niche_immune
SERPINE1,all,sample,3639,9,0.00485508129772066,34,0.2473,Chen2023,NBM3_Niche_immune
TIMP1,all,sample,3639,1094,0.50449088554022,2347,30.0632,Chen2023,NBM3_Niche_immune
TIMP2,all,sample,3639,379,0.144128980338854,582,10.4149,Chen2023,NBM3_Niche_immune
TIMP3,all,sample,3639,77,0.0359722649342669,167,2.116,Chen2023,NBM3_Niche_immune
MMP2,all,sample,3639,234,0.0969069953629412,378,6.4303,Chen2023,NBM3_Niche_immune
MMP9,all,sample,3639,6,0.0021986783567064,6,0.1649,Chen2023,NBM3_Niche_immune
MMP14,all,sample,3639,88,0.0330549647019474,101,2.4182,Chen2023,NBM3_Niche_immune
CTSK,all,sample,3639,125,0.0449076269507235,145,3.435,Chen2023,NBM3_Niche_immune
