gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,598,10,0.0190817418638431,10,1.6722,E-MTAB-11536,621B-BMA
COL1A2,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
COL3A1,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
COL4A1,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
COL5A1,all,sample,598,1,0.00193312467615711,1,0.1672,E-MTAB-11536,621B-BMA
COL5A2,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
COL6A1,all,sample,598,9,0.0176913632300046,10,1.505,E-MTAB-11536,621B-BMA
COL6A2,all,sample,598,73,0.155906689942556,97,12.2074,E-MTAB-11536,621B-BMA
COL6A3,all,sample,598,11,0.0207030890931892,11,1.8395,E-MTAB-11536,621B-BMA
COL11A1,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
FN1,all,sample,598,1,0.00165851730829846,1,0.1672,E-MTAB-11536,621B-BMA
LUM,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
DCN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
POSTN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
SPARC,all,sample,598,1,0.0015565433487183,1,0.1672,E-MTAB-11536,621B-BMA
BGN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
VCAN,all,sample,598,24,0.125141087523797,398,4.0134,E-MTAB-11536,621B-BMA
ELN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
FBN1,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
MGP,all,sample,598,2,0.00373838221791399,2,0.3344,E-MTAB-11536,621B-BMA
OGN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
ASPN,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
TNC,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
LTBP1,all,sample,598,1,0.00148490971021119,1,0.1672,E-MTAB-11536,621B-BMA
LTBP2,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
LOX,all,sample,598,0,0,0,0,E-MTAB-11536,621B-BMA
LOXL1,all,sample,598,2,0.00326092701878414,2,0.3344,E-MTAB-11536,621B-BMA
LOXL2,all,sample,598,2,0.00361368065197407,2,0.3344,E-MTAB-11536,621B-BMA
