gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,664,15,0.0255940957142232,18,2.259,E-MTAB-11536,637C-BLD
COL1A2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
COL3A1,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
COL4A1,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
COL5A1,all,sample,664,2,0.00393730843992755,4,0.3012,E-MTAB-11536,637C-BLD
COL5A2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
COL6A1,all,sample,664,6,0.0100214432423199,6,0.9036,E-MTAB-11536,637C-BLD
COL6A2,all,sample,664,105,0.22854533095751,188,15.8133,E-MTAB-11536,637C-BLD
COL6A3,all,sample,664,13,0.0215075647346574,13,1.9578,E-MTAB-11536,637C-BLD
COL11A1,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
FN1,all,sample,664,1,0.00111832300211888,1,0.1506,E-MTAB-11536,637C-BLD
LUM,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
DCN,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
POSTN,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
SPARC,all,sample,664,5,0.00972381808929529,6,0.753,E-MTAB-11536,637C-BLD
BGN,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
VCAN,all,sample,664,31,0.105987866604822,281,4.6687,E-MTAB-11536,637C-BLD
ELN,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
FBN1,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
MGP,all,sample,664,1,0.00113725545768795,1,0.1506,E-MTAB-11536,637C-BLD
OGN,all,sample,664,1,0.00154499991879781,1,0.1506,E-MTAB-11536,637C-BLD
ASPN,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
TNC,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
LTBP1,all,sample,664,2,0.0038431114749404,2,0.3012,E-MTAB-11536,637C-BLD
LTBP2,all,sample,664,1,0.00159976955024627,1,0.1506,E-MTAB-11536,637C-BLD
LOX,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
LOXL1,all,sample,664,8,0.0134524401782492,8,1.2048,E-MTAB-11536,637C-BLD
LOXL2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
PLOD1,all,sample,664,44,0.0800741866631584,46,6.6265,E-MTAB-11536,637C-BLD
PLOD2,all,sample,664,1,0.00316402046493957,2,0.1506,E-MTAB-11536,637C-BLD
SERPINH1,all,sample,664,2,0.00398771449300494,4,0.3012,E-MTAB-11536,637C-BLD
SERPINE1,all,sample,664,6,0.00900261228815682,6,0.9036,E-MTAB-11536,637C-BLD
TIMP1,all,sample,664,116,0.294501976210347,658,17.4699,E-MTAB-11536,637C-BLD
TIMP2,all,sample,664,40,0.0855767442526896,91,6.0241,E-MTAB-11536,637C-BLD
TIMP3,all,sample,664,1,0.00316402046493957,2,0.1506,E-MTAB-11536,637C-BLD
MMP2,all,sample,664,1,0.00167592064786562,1,0.1506,E-MTAB-11536,637C-BLD
MMP9,all,sample,664,29,0.0504915448497165,31,4.3675,E-MTAB-11536,637C-BLD
MMP14,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
CTSK,all,sample,664,2,0.00298192577658265,2,0.3012,E-MTAB-11536,637C-BLD
ADAMTS1,all,sample,664,7,0.0115904880152537,8,1.0542,E-MTAB-11536,637C-BLD
TGFB1,all,sample,664,586,1.95613854107102,2856,88.253,E-MTAB-11536,637C-BLD
TGFB2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
TGFB3,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
TGFBR1,all,sample,664,58,0.107387689757187,73,8.7349,E-MTAB-11536,637C-BLD
TGFBR2,all,sample,664,268,0.568863897134163,472,40.3614,E-MTAB-11536,637C-BLD
PDGFA,all,sample,664,11,0.0247769179363087,21,1.6566,E-MTAB-11536,637C-BLD
PDGFB,all,sample,664,1,0.00172672676663392,1,0.1506,E-MTAB-11536,637C-BLD
PDGFRA,all,sample,664,1,0.00216090476513893,1,0.1506,E-MTAB-11536,637C-BLD
PDGFRB,all,sample,664,22,0.0424118808010428,26,3.3133,E-MTAB-11536,637C-BLD
IGF1,all,sample,664,1,0.00166018014517126,1,0.1506,E-MTAB-11536,637C-BLD
IGF2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
VEGFA,all,sample,664,37,0.0679738641839005,50,5.5723,E-MTAB-11536,637C-BLD
FGF2,all,sample,664,2,0.00416756122057185,2,0.3012,E-MTAB-11536,637C-BLD
HGF,all,sample,664,1,0.00113187992752856,1,0.1506,E-MTAB-11536,637C-BLD
OSM,all,sample,664,51,0.0958402101821466,71,7.6807,E-MTAB-11536,637C-BLD
OSMR,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
IL11,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
SPP1,all,sample,664,1,0.00141829247360335,1,0.1506,E-MTAB-11536,637C-BLD
IL1B,all,sample,664,24,0.0989007533720399,491,3.6145,E-MTAB-11536,637C-BLD
IL6,all,sample,664,4,0.010936092847784,14,0.6024,E-MTAB-11536,637C-BLD
TNF,all,sample,664,64,0.144740758611006,187,9.6386,E-MTAB-11536,637C-BLD
CXCL8,all,sample,664,25,0.0951037822528319,308,3.7651,E-MTAB-11536,637C-BLD
IL10,all,sample,664,12,0.0226851591833053,14,1.8072,E-MTAB-11536,637C-BLD
IFNG,all,sample,664,127,0.300404286017247,280,19.1265,E-MTAB-11536,637C-BLD
CCL2,all,sample,664,0,0,0,0,E-MTAB-11536,637C-BLD
CCL3,all,sample,664,293,1.03496222372088,2310,44.1265,E-MTAB-11536,637C-BLD
CCL4,all,sample,664,424,1.71736586429603,5951,63.8554,E-MTAB-11536,637C-BLD
CXCL1,all,sample,664,1,0.00107112185539142,1,0.1506,E-MTAB-11536,637C-BLD
CXCL2,all,sample,664,20,0.0816081579645915,293,3.012,E-MTAB-11536,637C-BLD
