gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1360,59,0.0463019471226175,63,4.3382,E-MTAB-11536,637C-BMA
COL1A2,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
COL3A1,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
COL4A1,all,sample,1360,1,0.000964290610952607,1,0.0735,E-MTAB-11536,637C-BMA
COL5A1,all,sample,1360,3,0.00283928982412045,4,0.2206,E-MTAB-11536,637C-BMA
COL5A2,all,sample,1360,1,0.000995873546019359,1,0.0735,E-MTAB-11536,637C-BMA
COL6A1,all,sample,1360,17,0.0123984290648988,17,1.25,E-MTAB-11536,637C-BMA
COL6A2,all,sample,1360,162,0.158113710355086,261,11.9118,E-MTAB-11536,637C-BMA
COL6A3,all,sample,1360,31,0.0239000880538018,31,2.2794,E-MTAB-11536,637C-BMA
COL11A1,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
FN1,all,sample,1360,1,0.00199776623527363,12,0.0735,E-MTAB-11536,637C-BMA
LUM,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
DCN,all,sample,1360,1,0.00123182181612474,2,0.0735,E-MTAB-11536,637C-BMA
POSTN,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
SPARC,all,sample,1360,2,0.00143125002335758,2,0.1471,E-MTAB-11536,637C-BMA
BGN,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
VCAN,all,sample,1360,94,0.126873765271223,720,6.9118,E-MTAB-11536,637C-BMA
ELN,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
FBN1,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
MGP,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
OGN,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
ASPN,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
TNC,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
LTBP1,all,sample,1360,5,0.00435235771511447,7,0.3676,E-MTAB-11536,637C-BMA
LTBP2,all,sample,1360,1,0.000554063994612999,1,0.0735,E-MTAB-11536,637C-BMA
LOX,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
LOXL1,all,sample,1360,17,0.0130567368324138,17,1.25,E-MTAB-11536,637C-BMA
LOXL2,all,sample,1360,0,0,0,0,E-MTAB-11536,637C-BMA
PLOD1,all,sample,1360,108,0.088237127196279,126,7.9412,E-MTAB-11536,637C-BMA
