gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1102,7,0.00574875221940618,7,0.6352,E-MTAB-11536,A36-BMA
COL1A2,all,sample,1102,2,0.000990841577670808,2,0.1815,E-MTAB-11536,A36-BMA
COL3A1,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
COL4A1,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
COL5A1,all,sample,1102,2,0.00179756476648826,2,0.1815,E-MTAB-11536,A36-BMA
COL5A2,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
COL6A1,all,sample,1102,11,0.00998972275119033,11,0.9982,E-MTAB-11536,A36-BMA
COL6A2,all,sample,1102,48,0.0563510419300521,70,4.3557,E-MTAB-11536,A36-BMA
COL6A3,all,sample,1102,302,0.292056215289832,389,27.4047,E-MTAB-11536,A36-BMA
COL11A1,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
FN1,all,sample,1102,3,0.00563031817415192,9,0.2722,E-MTAB-11536,A36-BMA
LUM,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
DCN,all,sample,1102,1,0.00132690373844921,1,0.0907,E-MTAB-11536,A36-BMA
POSTN,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
SPARC,all,sample,1102,149,0.18961766759589,434,13.5209,E-MTAB-11536,A36-BMA
BGN,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
VCAN,all,sample,1102,391,1.24492074904486,11955,35.4809,E-MTAB-11536,A36-BMA
ELN,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
FBN1,all,sample,1102,1,0.00171986818587702,2,0.0907,E-MTAB-11536,A36-BMA
MGP,all,sample,1102,3,0.0023475385062789,3,0.2722,E-MTAB-11536,A36-BMA
OGN,all,sample,1102,2,0.00154588070767162,2,0.1815,E-MTAB-11536,A36-BMA
ASPN,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
TNC,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
LTBP1,all,sample,1102,12,0.0154954820547152,18,1.0889,E-MTAB-11536,A36-BMA
LTBP2,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
LOX,all,sample,1102,1,0.000985811263407281,1,0.0907,E-MTAB-11536,A36-BMA
LOXL1,all,sample,1102,1,0.000928743394237819,1,0.0907,E-MTAB-11536,A36-BMA
LOXL2,all,sample,1102,2,0.00152382595533794,2,0.1815,E-MTAB-11536,A36-BMA
PLOD1,all,sample,1102,112,0.0972845755401594,137,10.1633,E-MTAB-11536,A36-BMA
PLOD2,all,sample,1102,13,0.0132553912369586,17,1.1797,E-MTAB-11536,A36-BMA
SERPINH1,all,sample,1102,35,0.0371069226982156,63,3.176,E-MTAB-11536,A36-BMA
SERPINE1,all,sample,1102,9,0.00964109656333027,11,0.8167,E-MTAB-11536,A36-BMA
TIMP1,all,sample,1102,525,1.00229782900702,5092,47.6407,E-MTAB-11536,A36-BMA
TIMP2,all,sample,1102,215,0.220437462515295,343,19.51,E-MTAB-11536,A36-BMA
TIMP3,all,sample,1102,1,0.00143991679905621,2,0.0907,E-MTAB-11536,A36-BMA
MMP2,all,sample,1102,2,0.00186433584127786,2,0.1815,E-MTAB-11536,A36-BMA
MMP9,all,sample,1102,9,0.00949160360109243,10,0.8167,E-MTAB-11536,A36-BMA
MMP14,all,sample,1102,10,0.00567683711137673,10,0.9074,E-MTAB-11536,A36-BMA
CTSK,all,sample,1102,19,0.0156553386388264,20,1.7241,E-MTAB-11536,A36-BMA
ADAMTS1,all,sample,1102,7,0.00808456962500515,7,0.6352,E-MTAB-11536,A36-BMA
TGFB1,all,sample,1102,554,0.654988552310768,971,50.2722,E-MTAB-11536,A36-BMA
TGFB2,all,sample,1102,2,0.00160242208553338,2,0.1815,E-MTAB-11536,A36-BMA
TGFB3,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
TGFBR1,all,sample,1102,97,0.0905595511920001,112,8.8022,E-MTAB-11536,A36-BMA
TGFBR2,all,sample,1102,424,0.436860888143173,578,38.4755,E-MTAB-11536,A36-BMA
PDGFA,all,sample,1102,10,0.0136497382630911,15,0.9074,E-MTAB-11536,A36-BMA
PDGFB,all,sample,1102,7,0.00853051066314535,7,0.6352,E-MTAB-11536,A36-BMA
PDGFRA,all,sample,1102,3,0.00391038087557147,3,0.2722,E-MTAB-11536,A36-BMA
PDGFRB,all,sample,1102,9,0.00850642065208282,10,0.8167,E-MTAB-11536,A36-BMA
IGF1,all,sample,1102,8,0.00879125985727731,36,0.726,E-MTAB-11536,A36-BMA
IGF2,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
VEGFA,all,sample,1102,133,0.14141147401834,226,12.069,E-MTAB-11536,A36-BMA
FGF2,all,sample,1102,1,0.000811790689528673,1,0.0907,E-MTAB-11536,A36-BMA
HGF,all,sample,1102,46,0.0435918000375292,57,4.1742,E-MTAB-11536,A36-BMA
OSM,all,sample,1102,182,0.189342718875034,298,16.5154,E-MTAB-11536,A36-BMA
OSMR,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
IL11,all,sample,1102,0,0,0,0,E-MTAB-11536,A36-BMA
SPP1,all,sample,1102,1,0.00169672895701925,2,0.0907,E-MTAB-11536,A36-BMA
IL1B,all,sample,1102,202,0.292738117542021,908,18.3303,E-MTAB-11536,A36-BMA
IL6,all,sample,1102,20,0.019557049293765,28,1.8149,E-MTAB-11536,A36-BMA
TNF,all,sample,1102,116,0.130976257051637,174,10.5263,E-MTAB-11536,A36-BMA
CXCL8,all,sample,1102,263,0.558137997686242,2030,23.8657,E-MTAB-11536,A36-BMA
IL10,all,sample,1102,74,0.076213292367928,158,6.7151,E-MTAB-11536,A36-BMA
IFNG,all,sample,1102,108,0.150418963878481,235,9.8004,E-MTAB-11536,A36-BMA
CCL2,all,sample,1102,3,0.00201085388088998,3,0.2722,E-MTAB-11536,A36-BMA
CCL3,all,sample,1102,284,0.447969020072717,1299,25.7713,E-MTAB-11536,A36-BMA
CCL4,all,sample,1102,322,0.669971274169042,2975,29.2196,E-MTAB-11536,A36-BMA
CXCL1,all,sample,1102,32,0.0376040319227065,61,2.9038,E-MTAB-11536,A36-BMA
CXCL2,all,sample,1102,151,0.214719938909791,550,13.7024,E-MTAB-11536,A36-BMA
IL18,all,sample,1102,106,0.08486495151933,133,9.6189,E-MTAB-11536,A36-BMA
