gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,595,1,0.00291843733581649,1,0.1681,GSE116256,AML210A-D0
COL1A2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL3A1,all,sample,595,1,0.00351830376360651,1,0.1681,GSE116256,AML210A-D0
COL4A1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL5A1,all,sample,595,1,0.00248137445264165,1,0.1681,GSE116256,AML210A-D0
COL5A2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL6A1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL6A2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL6A3,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
COL11A1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
FN1,all,sample,595,2,0.00517540419517485,2,0.3361,GSE116256,AML210A-D0
LUM,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
DCN,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
POSTN,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
SPARC,all,sample,595,1,0.0036481505661653,1,0.1681,GSE116256,AML210A-D0
BGN,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
VCAN,all,sample,595,247,1.41900384939589,3267,41.5126,GSE116256,AML210A-D0
ELN,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
FBN1,all,sample,595,2,0.0037351825447934,2,0.3361,GSE116256,AML210A-D0
MGP,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
OGN,all,sample,595,1,0.00296668650867899,1,0.1681,GSE116256,AML210A-D0
ASPN,all,sample,595,1,0.00187500975182215,2,0.1681,GSE116256,AML210A-D0
TNC,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
LTBP1,all,sample,595,2,0.00823648922935347,3,0.3361,GSE116256,AML210A-D0
LTBP2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
LOX,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
LOXL1,all,sample,595,1,0.00295193759123068,1,0.1681,GSE116256,AML210A-D0
LOXL2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
PLOD1,all,sample,595,12,0.0287447724944567,16,2.0168,GSE116256,AML210A-D0
PLOD2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
SERPINH1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
SERPINE1,all,sample,595,1,0.00288146303441802,1,0.1681,GSE116256,AML210A-D0
TIMP1,all,sample,595,57,0.174844345257573,76,9.5798,GSE116256,AML210A-D0
TIMP2,all,sample,595,24,0.0671499817624312,29,4.0336,GSE116256,AML210A-D0
TIMP3,all,sample,595,1,0.00361654569441437,3,0.1681,GSE116256,AML210A-D0
MMP2,all,sample,595,3,0.00613642901579488,3,0.5042,GSE116256,AML210A-D0
MMP9,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
MMP14,all,sample,595,1,0.00206928339556666,1,0.1681,GSE116256,AML210A-D0
CTSK,all,sample,595,2,0.00486907669586961,2,0.3361,GSE116256,AML210A-D0
ADAMTS1,all,sample,595,1,0.00180765611102209,1,0.1681,GSE116256,AML210A-D0
TGFB1,all,sample,595,48,0.138091121697293,60,8.0672,GSE116256,AML210A-D0
TGFB2,all,sample,595,1,0.00253251178614046,1,0.1681,GSE116256,AML210A-D0
TGFB3,all,sample,595,3,0.00888040923922652,3,0.5042,GSE116256,AML210A-D0
TGFBR1,all,sample,595,44,0.137484294919043,82,7.395,GSE116256,AML210A-D0
TGFBR2,all,sample,595,33,0.105861202084073,52,5.5462,GSE116256,AML210A-D0
PDGFA,all,sample,595,26,0.072820843202944,29,4.3697,GSE116256,AML210A-D0
PDGFB,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
PDGFRA,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
PDGFRB,all,sample,595,2,0.00862921097722876,4,0.3361,GSE116256,AML210A-D0
IGF1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
IGF2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
VEGFA,all,sample,595,10,0.0313824641861283,15,1.6807,GSE116256,AML210A-D0
FGF2,all,sample,595,2,0.00537576305527644,2,0.3361,GSE116256,AML210A-D0
HGF,all,sample,595,13,0.0390700970114898,23,2.1849,GSE116256,AML210A-D0
OSM,all,sample,595,10,0.0301894507337268,13,1.6807,GSE116256,AML210A-D0
OSMR,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
IL11,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
SPP1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
IL1B,all,sample,595,45,0.158621840655008,116,7.563,GSE116256,AML210A-D0
IL6,all,sample,595,1,0.00285724280475479,1,0.1681,GSE116256,AML210A-D0
TNF,all,sample,595,13,0.038451034799785,25,2.1849,GSE116256,AML210A-D0
CXCL8,all,sample,595,121,0.558468830137737,1166,20.3361,GSE116256,AML210A-D0
IL10,all,sample,595,1,0.00419752609600399,3,0.1681,GSE116256,AML210A-D0
IFNG,all,sample,595,4,0.0147198036867,6,0.6723,GSE116256,AML210A-D0
CCL2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
CCL3,all,sample,595,6,0.0172558152280432,10,1.0084,GSE116256,AML210A-D0
CCL4,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
CXCL1,all,sample,595,5,0.0147834295512211,10,0.8403,GSE116256,AML210A-D0
CXCL2,all,sample,595,39,0.145304871656321,123,6.5546,GSE116256,AML210A-D0
IL18,all,sample,595,46,0.141263381235916,67,7.7311,GSE116256,AML210A-D0
NLRP3,all,sample,595,23,0.0688095264355187,38,3.8655,GSE116256,AML210A-D0
S100A8,all,sample,595,273,1.51065728243562,3563,45.8824,GSE116256,AML210A-D0
S100A9,all,sample,595,280,1.56187847615979,4394,47.0588,GSE116256,AML210A-D0
PF4,all,sample,595,11,0.0384128279719555,35,1.8487,GSE116256,AML210A-D0
PPBP,all,sample,595,36,0.128186267188826,119,6.0504,GSE116256,AML210A-D0
VWF,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
ITGA2B,all,sample,595,8,0.0231721794621183,9,1.3445,GSE116256,AML210A-D0
GP9,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
NFE2,all,sample,595,24,0.0691550725353053,30,4.0336,GSE116256,AML210A-D0
GATA1,all,sample,595,2,0.00715839887689371,3,0.3361,GSE116256,AML210A-D0
MPL,all,sample,595,11,0.0310912183889017,14,1.8487,GSE116256,AML210A-D0
CALR,all,sample,595,248,0.870309260226274,577,41.6807,GSE116256,AML210A-D0
JAK2,all,sample,595,87,0.282684718584682,168,14.6218,GSE116256,AML210A-D0
LEPR,all,sample,595,8,0.0237276676122219,9,1.3445,GSE116256,AML210A-D0
CXCL12,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
KITLG,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
ANGPT1,all,sample,595,52,0.189363326152283,134,8.7395,GSE116256,AML210A-D0
VCAM1,all,sample,595,5,0.0148177412921359,8,0.8403,GSE116256,AML210A-D0
NES,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
NGFR,all,sample,595,2,0.00578965904994077,2,0.3361,GSE116256,AML210A-D0
SFRP2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
SFRP4,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
GREM1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
FAP,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
BGLAP,all,sample,595,3,0.00739915305453437,3,0.5042,GSE116256,AML210A-D0
RUNX2,all,sample,595,45,0.131583518398203,69,7.563,GSE116256,AML210A-D0
SP7,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
ACTA2,all,sample,595,11,0.0361124594222688,15,1.8487,GSE116256,AML210A-D0
TAGLN,all,sample,595,6,0.0149244416740281,7,1.0084,GSE116256,AML210A-D0
RGS5,all,sample,595,5,0.0157276262246518,8,0.8403,GSE116256,AML210A-D0
MYH11,all,sample,595,2,0.00578131806784404,2,0.3361,GSE116256,AML210A-D0
CDH5,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
PECAM1,all,sample,595,108,0.345750570421082,191,18.1513,GSE116256,AML210A-D0
EMCN,all,sample,595,1,0.00396150421148952,1,0.1681,GSE116256,AML210A-D0
HIF1A,all,sample,595,85,0.271970640831873,144,14.2857,GSE116256,AML210A-D0
EPAS1,all,sample,595,1,0.00240049662003986,1,0.1681,GSE116256,AML210A-D0
CA9,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
LDHA,all,sample,595,141,0.464864164031766,282,23.6975,GSE116256,AML210A-D0
SLC2A1,all,sample,595,5,0.0141798710357726,6,0.8403,GSE116256,AML210A-D0
PGK1,all,sample,595,165,0.536766499415306,312,27.7311,GSE116256,AML210A-D0
ADM,all,sample,595,2,0.00494556981919762,2,0.3361,GSE116256,AML210A-D0
BNIP3,all,sample,595,25,0.0750849000004307,39,4.2017,GSE116256,AML210A-D0
NDRG1,all,sample,595,51,0.146237734238273,68,8.5714,GSE116256,AML210A-D0
SNAI1,all,sample,595,1,0.00184910059346832,1,0.1681,GSE116256,AML210A-D0
SNAI2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
TWIST1,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
ZEB1,all,sample,595,15,0.0458219782192394,26,2.521,GSE116256,AML210A-D0
ZEB2,all,sample,595,169,0.572437728421314,354,28.4034,GSE116256,AML210A-D0
VIM,all,sample,595,410,1.85610647359187,1937,68.9076,GSE116256,AML210A-D0
CDH2,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
NECTIN4,all,sample,595,2,0.00474747732862721,2,0.3361,GSE116256,AML210A-D0
NECTIN1,all,sample,595,5,0.0124496694185277,6,0.8403,GSE116256,AML210A-D0
NECTIN2,all,sample,595,7,0.0211741217303206,9,1.1765,GSE116256,AML210A-D0
NECTIN3,all,sample,595,0,0,0,0,GSE116256,AML210A-D0
PVR,all,sample,595,11,0.0296452785470478,12,1.8487,GSE116256,AML210A-D0
TIGIT,all,sample,595,11,0.0380463352546603,20,1.8487,GSE116256,AML210A-D0
CD226,all,sample,595,11,0.0450467373000647,16,1.8487,GSE116256,AML210A-D0
CD96,all,sample,595,106,0.385248190444966,217,17.8151,GSE116256,AML210A-D0
C1QA,all,sample,595,20,0.0618424962113985,37,3.3613,GSE116256,AML210A-D0
C1QB,all,sample,595,8,0.0245926660575815,17,1.3445,GSE116256,AML210A-D0
C1QC,all,sample,595,3,0.00814363830388441,4,0.5042,GSE116256,AML210A-D0
CD163,all,sample,595,8,0.0243820219106477,10,1.3445,GSE116256,AML210A-D0
