gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,605,1,0.00278490711754893,1,0.1653,GSE116256,AML329-D20
COL1A2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL3A1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL4A1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL5A1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL5A2,all,sample,605,1,0.00448250662271336,3,0.1653,GSE116256,AML329-D20
COL6A1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL6A2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL6A3,all,sample,605,0,0,0,0,GSE116256,AML329-D20
COL11A1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
FN1,all,sample,605,6,0.0151309859065107,12,0.9917,GSE116256,AML329-D20
LUM,all,sample,605,0,0,0,0,GSE116256,AML329-D20
DCN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
POSTN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
SPARC,all,sample,605,3,0.0064112736919709,3,0.4959,GSE116256,AML329-D20
BGN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
VCAN,all,sample,605,292,1.63558162981562,4637,48.2645,GSE116256,AML329-D20
ELN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
FBN1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
MGP,all,sample,605,0,0,0,0,GSE116256,AML329-D20
OGN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
ASPN,all,sample,605,0,0,0,0,GSE116256,AML329-D20
TNC,all,sample,605,1,0.00196336836603218,1,0.1653,GSE116256,AML329-D20
LTBP1,all,sample,605,2,0.00596219128443718,2,0.3306,GSE116256,AML329-D20
LTBP2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
LOX,all,sample,605,0,0,0,0,GSE116256,AML329-D20
LOXL1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
LOXL2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
PLOD1,all,sample,605,29,0.0756063695042268,36,4.7934,GSE116256,AML329-D20
PLOD2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
SERPINH1,all,sample,605,6,0.0119091877347265,6,0.9917,GSE116256,AML329-D20
SERPINE1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
TIMP1,all,sample,605,81,0.210588712443495,119,13.3884,GSE116256,AML329-D20
TIMP2,all,sample,605,52,0.138205943584832,74,8.595,GSE116256,AML329-D20
TIMP3,all,sample,605,0,0,0,0,GSE116256,AML329-D20
MMP2,all,sample,605,1,0.00174722771938312,1,0.1653,GSE116256,AML329-D20
MMP9,all,sample,605,0,0,0,0,GSE116256,AML329-D20
MMP14,all,sample,605,0,0,0,0,GSE116256,AML329-D20
CTSK,all,sample,605,3,0.00945268669163642,6,0.4959,GSE116256,AML329-D20
ADAMTS1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
TGFB1,all,sample,605,55,0.137719064048298,64,9.0909,GSE116256,AML329-D20
TGFB2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
TGFB3,all,sample,605,1,0.00339827549548608,2,0.1653,GSE116256,AML329-D20
TGFBR1,all,sample,605,29,0.0704821031638674,39,4.7934,GSE116256,AML329-D20
TGFBR2,all,sample,605,59,0.171993106876997,85,9.7521,GSE116256,AML329-D20
PDGFA,all,sample,605,12,0.030804338484956,12,1.9835,GSE116256,AML329-D20
PDGFB,all,sample,605,0,0,0,0,GSE116256,AML329-D20
PDGFRA,all,sample,605,0,0,0,0,GSE116256,AML329-D20
PDGFRB,all,sample,605,1,0.00117898923177231,1,0.1653,GSE116256,AML329-D20
IGF1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
IGF2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
VEGFA,all,sample,605,3,0.00668450925520205,3,0.4959,GSE116256,AML329-D20
FGF2,all,sample,605,2,0.00570562860057262,2,0.3306,GSE116256,AML329-D20
HGF,all,sample,605,27,0.0688447569333752,39,4.4628,GSE116256,AML329-D20
OSM,all,sample,605,0,0,0,0,GSE116256,AML329-D20
OSMR,all,sample,605,2,0.00419584881383072,2,0.3306,GSE116256,AML329-D20
IL11,all,sample,605,0,0,0,0,GSE116256,AML329-D20
SPP1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
IL1B,all,sample,605,38,0.0976293386226929,50,6.281,GSE116256,AML329-D20
IL6,all,sample,605,0,0,0,0,GSE116256,AML329-D20
TNF,all,sample,605,17,0.0427064583769741,20,2.8099,GSE116256,AML329-D20
CXCL8,all,sample,605,17,0.0611039701891262,91,2.8099,GSE116256,AML329-D20
IL10,all,sample,605,3,0.00942352561018387,6,0.4959,GSE116256,AML329-D20
IFNG,all,sample,605,1,0.00298805057434578,1,0.1653,GSE116256,AML329-D20
CCL2,all,sample,605,0,0,0,0,GSE116256,AML329-D20
CCL3,all,sample,605,6,0.0133387916176392,6,0.9917,GSE116256,AML329-D20
CCL4,all,sample,605,0,0,0,0,GSE116256,AML329-D20
CXCL1,all,sample,605,0,0,0,0,GSE116256,AML329-D20
CXCL2,all,sample,605,17,0.0425930580290899,23,2.8099,GSE116256,AML329-D20
IL18,all,sample,605,80,0.230988679167303,150,13.2231,GSE116256,AML329-D20
NLRP3,all,sample,605,25,0.0711677901097918,41,4.1322,GSE116256,AML329-D20
S100A8,all,sample,605,302,1.5442351670892,5090,49.9174,GSE116256,AML329-D20
S100A9,all,sample,605,366,1.9384397628402,8043,60.4959,GSE116256,AML329-D20
PF4,all,sample,605,7,0.0195783053283562,9,1.157,GSE116256,AML329-D20
PPBP,all,sample,605,10,0.02987712286605,18,1.6529,GSE116256,AML329-D20
VWF,all,sample,605,0,0,0,0,GSE116256,AML329-D20
ITGA2B,all,sample,605,6,0.016839678450519,11,0.9917,GSE116256,AML329-D20
GP9,all,sample,605,0,0,0,0,GSE116256,AML329-D20
NFE2,all,sample,605,32,0.0807284294986404,42,5.2893,GSE116256,AML329-D20
