gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
COL1A2,all,sample,1215,1,0.00161555625436276,1,0.0823,GSE116256,AML707B-D0
COL3A1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
COL4A1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
COL5A1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
COL5A2,all,sample,1215,1,0.00193150108187624,1,0.0823,GSE116256,AML707B-D0
COL6A1,all,sample,1215,1,0.00174967631376614,1,0.0823,GSE116256,AML707B-D0
COL6A2,all,sample,1215,1,0.00156607400922767,1,0.0823,GSE116256,AML707B-D0
COL6A3,all,sample,1215,5,0.00788019015126448,8,0.4115,GSE116256,AML707B-D0
COL11A1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
FN1,all,sample,1215,12,0.0137338167978225,12,0.9877,GSE116256,AML707B-D0
LUM,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
DCN,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
POSTN,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
SPARC,all,sample,1215,162,0.192380631934439,214,13.3333,GSE116256,AML707B-D0
BGN,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
VCAN,all,sample,1215,51,0.0975754138102681,217,4.1975,GSE116256,AML707B-D0
ELN,all,sample,1215,1,0.000745490812465157,1,0.0823,GSE116256,AML707B-D0
FBN1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
MGP,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
OGN,all,sample,1215,10,0.0113132704204039,11,0.823,GSE116256,AML707B-D0
ASPN,all,sample,1215,8,0.00999765223649365,8,0.6584,GSE116256,AML707B-D0
TNC,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
LTBP1,all,sample,1215,4,0.00721430022361252,6,0.3292,GSE116256,AML707B-D0
LTBP2,all,sample,1215,6,0.00704607111598641,6,0.4938,GSE116256,AML707B-D0
LOX,all,sample,1215,6,0.00787694204999752,6,0.4938,GSE116256,AML707B-D0
LOXL1,all,sample,1215,1,0.000911068239515957,1,0.0823,GSE116256,AML707B-D0
LOXL2,all,sample,1215,2,0.00297874122589881,3,0.1646,GSE116256,AML707B-D0
PLOD1,all,sample,1215,17,0.0210364815424472,18,1.3992,GSE116256,AML707B-D0
PLOD2,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
SERPINH1,all,sample,1215,22,0.0261273493440721,27,1.8107,GSE116256,AML707B-D0
SERPINE1,all,sample,1215,8,0.00935440076011944,8,0.6584,GSE116256,AML707B-D0
TIMP1,all,sample,1215,17,0.0219557630798462,21,1.3992,GSE116256,AML707B-D0
TIMP2,all,sample,1215,85,0.101457799985513,98,6.9959,GSE116256,AML707B-D0
TIMP3,all,sample,1215,3,0.00368812305853426,4,0.2469,GSE116256,AML707B-D0
MMP2,all,sample,1215,4,0.00445670811864526,5,0.3292,GSE116256,AML707B-D0
MMP9,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
MMP14,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CTSK,all,sample,1215,3,0.00363670724599171,3,0.2469,GSE116256,AML707B-D0
ADAMTS1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
TGFB1,all,sample,1215,45,0.0572156835655564,49,3.7037,GSE116256,AML707B-D0
TGFB2,all,sample,1215,1,0.000479024230411115,1,0.0823,GSE116256,AML707B-D0
TGFB3,all,sample,1215,8,0.00902175157978456,9,0.6584,GSE116256,AML707B-D0
TGFBR1,all,sample,1215,83,0.102779925694365,97,6.8313,GSE116256,AML707B-D0
TGFBR2,all,sample,1215,105,0.129800401098638,118,8.642,GSE116256,AML707B-D0
PDGFA,all,sample,1215,22,0.0247310927472048,23,1.8107,GSE116256,AML707B-D0
PDGFB,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
PDGFRA,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
PDGFRB,all,sample,1215,1,0.00102961326669172,1,0.0823,GSE116256,AML707B-D0
IGF1,all,sample,1215,3,0.00486137430796675,5,0.2469,GSE116256,AML707B-D0
IGF2,all,sample,1215,1,0.00127268478361336,1,0.0823,GSE116256,AML707B-D0
VEGFA,all,sample,1215,58,0.069579495013953,71,4.7737,GSE116256,AML707B-D0
FGF2,all,sample,1215,2,0.00344849336104533,3,0.1646,GSE116256,AML707B-D0
HGF,all,sample,1215,121,0.166776851738647,173,9.9588,GSE116256,AML707B-D0
OSM,all,sample,1215,3,0.00457236022169083,4,0.2469,GSE116256,AML707B-D0
OSMR,all,sample,1215,2,0.00217663730680385,2,0.1646,GSE116256,AML707B-D0
IL11,all,sample,1215,2,0.00258271299275794,2,0.1646,GSE116256,AML707B-D0
SPP1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
IL1B,all,sample,1215,193,0.252160899040645,250,15.8848,GSE116256,AML707B-D0
IL6,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
TNF,all,sample,1215,4,0.00382152748991612,5,0.3292,GSE116256,AML707B-D0
CXCL8,all,sample,1215,45,0.0715207610963022,116,3.7037,GSE116256,AML707B-D0
IL10,all,sample,1215,2,0.00285615939554199,2,0.1646,GSE116256,AML707B-D0
IFNG,all,sample,1215,1,0.000907181316397515,1,0.0823,GSE116256,AML707B-D0
CCL2,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CCL3,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CCL4,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CXCL1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CXCL2,all,sample,1215,15,0.0173845462585799,17,1.2346,GSE116256,AML707B-D0
IL18,all,sample,1215,82,0.0994770620082061,103,6.749,GSE116256,AML707B-D0
NLRP3,all,sample,1215,17,0.0208271978402537,19,1.3992,GSE116256,AML707B-D0
S100A8,all,sample,1215,5,0.011229682409316,54,0.4115,GSE116256,AML707B-D0
S100A9,all,sample,1215,6,0.0140693377618779,93,0.4938,GSE116256,AML707B-D0
PF4,all,sample,1215,1,0.00159721367263581,1,0.0823,GSE116256,AML707B-D0
PPBP,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
VWF,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
ITGA2B,all,sample,1215,4,0.00665955269034448,4,0.3292,GSE116256,AML707B-D0
GP9,all,sample,1215,1,0.00122533768430557,1,0.0823,GSE116256,AML707B-D0
NFE2,all,sample,1215,63,0.0802392554021354,79,5.1852,GSE116256,AML707B-D0
GATA1,all,sample,1215,8,0.0111087633064891,8,0.6584,GSE116256,AML707B-D0
MPL,all,sample,1215,85,0.113845657736861,112,6.9959,GSE116256,AML707B-D0
CALR,all,sample,1215,911,1.67973833255001,3007,74.9794,GSE116256,AML707B-D0
JAK2,all,sample,1215,127,0.161685630256812,163,10.4527,GSE116256,AML707B-D0
LEPR,all,sample,1215,22,0.0282576134701415,23,1.8107,GSE116256,AML707B-D0
CXCL12,all,sample,1215,3,0.00402866079304418,6,0.2469,GSE116256,AML707B-D0
KITLG,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
ANGPT1,all,sample,1215,124,0.162387586561141,168,10.2058,GSE116256,AML707B-D0
VCAM1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
NES,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
NGFR,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
SFRP2,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
SFRP4,all,sample,1215,2,0.00211701191739452,2,0.1646,GSE116256,AML707B-D0
GREM1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
FAP,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
BGLAP,all,sample,1215,3,0.00403735956635012,4,0.2469,GSE116256,AML707B-D0
RUNX2,all,sample,1215,133,0.174152285232445,178,10.9465,GSE116256,AML707B-D0
SP7,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
ACTA2,all,sample,1215,31,0.0361835349689095,31,2.5514,GSE116256,AML707B-D0
TAGLN,all,sample,1215,3,0.00363861717678272,3,0.2469,GSE116256,AML707B-D0
RGS5,all,sample,1215,5,0.00600033657578037,5,0.4115,GSE116256,AML707B-D0
MYH11,all,sample,1215,13,0.0142855441151382,13,1.07,GSE116256,AML707B-D0
CDH5,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
PECAM1,all,sample,1215,58,0.0694383535709719,78,4.7737,GSE116256,AML707B-D0
EMCN,all,sample,1215,2,0.00165225211279383,2,0.1646,GSE116256,AML707B-D0
HIF1A,all,sample,1215,329,0.444204470302807,454,27.0782,GSE116256,AML707B-D0
EPAS1,all,sample,1215,1,0.000679726589963227,1,0.0823,GSE116256,AML707B-D0
CA9,all,sample,1215,1,0.00115380183116157,1,0.0823,GSE116256,AML707B-D0
LDHA,all,sample,1215,460,0.627928571880594,749,37.8601,GSE116256,AML707B-D0
SLC2A1,all,sample,1215,23,0.0267405534812752,25,1.893,GSE116256,AML707B-D0
PGK1,all,sample,1215,464,0.646339498261602,777,38.1893,GSE116256,AML707B-D0
ADM,all,sample,1215,1,0.00129143299602694,1,0.0823,GSE116256,AML707B-D0
BNIP3,all,sample,1215,32,0.0387154147632246,37,2.6337,GSE116256,AML707B-D0
NDRG1,all,sample,1215,72,0.0928532048606736,91,5.9259,GSE116256,AML707B-D0
SNAI1,all,sample,1215,1,0.000318849509716594,1,0.0823,GSE116256,AML707B-D0
SNAI2,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
TWIST1,all,sample,1215,2,0.00288541179754217,2,0.1646,GSE116256,AML707B-D0
ZEB1,all,sample,1215,4,0.00624018589037662,4,0.3292,GSE116256,AML707B-D0
ZEB2,all,sample,1215,544,0.827528665102818,1003,44.7737,GSE116256,AML707B-D0
VIM,all,sample,1215,95,0.173215827205033,245,7.8189,GSE116256,AML707B-D0
CDH2,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
NECTIN4,all,sample,1215,2,0.00236151910177762,2,0.1646,GSE116256,AML707B-D0
NECTIN1,all,sample,1215,1,0.00112969361480322,1,0.0823,GSE116256,AML707B-D0
NECTIN2,all,sample,1215,14,0.0160917728432562,15,1.1523,GSE116256,AML707B-D0
NECTIN3,all,sample,1215,1,0.00153114592349932,1,0.0823,GSE116256,AML707B-D0
PVR,all,sample,1215,38,0.0417601989226591,40,3.1276,GSE116256,AML707B-D0
TIGIT,all,sample,1215,6,0.00906825801377347,7,0.4938,GSE116256,AML707B-D0
CD226,all,sample,1215,17,0.0212915499863207,22,1.3992,GSE116256,AML707B-D0
CD96,all,sample,1215,520,0.787826599071042,925,42.7984,GSE116256,AML707B-D0
C1QA,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
C1QB,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
C1QC,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
CD163,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
MRC1,all,sample,1215,6,0.00971132140556013,10,0.4938,GSE116256,AML707B-D0
VSIG4,all,sample,1215,7,0.0107484632909487,16,0.5761,GSE116256,AML707B-D0
SELENOP,all,sample,1215,2,0.00299559512170425,2,0.1646,GSE116256,AML707B-D0
STAB1,all,sample,1215,12,0.0171501641503394,15,0.9877,GSE116256,AML707B-D0
LYVE1,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
MAF,all,sample,1215,30,0.0458079137717208,39,2.4691,GSE116256,AML707B-D0
FCN1,all,sample,1215,10,0.0102691646332306,11,0.823,GSE116256,AML707B-D0
S100A12,all,sample,1215,0,0,0,0,GSE116256,AML707B-D0
SELL,all,sample,1215,297,0.424679079041392,459,24.4444,GSE116256,AML707B-D0
CSF3R,all,sample,1215,395,0.520124988609211,585,32.5103,GSE116256,AML707B-D0
PLAC8,all,sample,1215,635,0.990266643479863,1268,52.2634,GSE116256,AML707B-D0
