gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2992,5,0.00323514754237338,7,0.1671,GSE116256,BM4
COL1A2,all,sample,2992,1,0.0011001154958903,6,0.0334,GSE116256,BM4
COL3A1,all,sample,2992,0,0,0,0,GSE116256,BM4
COL4A1,all,sample,2992,1,0.000447812456720653,1,0.0334,GSE116256,BM4
COL5A1,all,sample,2992,17,0.00651472402594585,19,0.5682,GSE116256,BM4
COL5A2,all,sample,2992,3,0.00116044441410915,3,0.1003,GSE116256,BM4
COL6A1,all,sample,2992,3,0.0013536873467202,4,0.1003,GSE116256,BM4
COL6A2,all,sample,2992,4,0.0018037991954143,4,0.1337,GSE116256,BM4
COL6A3,all,sample,2992,1,0.000705991020571435,1,0.0334,GSE116256,BM4
COL11A1,all,sample,2992,0,0,0,0,GSE116256,BM4
FN1,all,sample,2992,13,0.00640210790904578,14,0.4345,GSE116256,BM4
LUM,all,sample,2992,0,0,0,0,GSE116256,BM4
DCN,all,sample,2992,1,0.000327538998268583,1,0.0334,GSE116256,BM4
POSTN,all,sample,2992,0,0,0,0,GSE116256,BM4
SPARC,all,sample,2992,240,0.0939602202926994,319,8.0214,GSE116256,BM4
BGN,all,sample,2992,0,0,0,0,GSE116256,BM4
VCAN,all,sample,2992,807,0.765965298119167,7202,26.9719,GSE116256,BM4
ELN,all,sample,2992,6,0.00263774996686217,7,0.2005,GSE116256,BM4
FBN1,all,sample,2992,66,0.0274707442382911,89,2.2059,GSE116256,BM4
MGP,all,sample,2992,2,0.00122401050677998,3,0.0668,GSE116256,BM4
OGN,all,sample,2992,13,0.00538035944297496,15,0.4345,GSE116256,BM4
ASPN,all,sample,2992,10,0.00494994938738467,14,0.3342,GSE116256,BM4
TNC,all,sample,2992,0,0,0,0,GSE116256,BM4
LTBP1,all,sample,2992,26,0.0119246296231385,38,0.869,GSE116256,BM4
LTBP2,all,sample,2992,7,0.00231017441776553,7,0.234,GSE116256,BM4
LOX,all,sample,2992,10,0.00543934345265166,11,0.3342,GSE116256,BM4
LOXL1,all,sample,2992,6,0.00244436595691832,6,0.2005,GSE116256,BM4
LOXL2,all,sample,2992,1,0.000762396507173575,1,0.0334,GSE116256,BM4
PLOD1,all,sample,2992,76,0.0316273099820612,85,2.5401,GSE116256,BM4
PLOD2,all,sample,2992,105,0.049048616042837,167,3.5094,GSE116256,BM4
SERPINH1,all,sample,2992,39,0.0149751858978519,43,1.3035,GSE116256,BM4
SERPINE1,all,sample,2992,31,0.0144127920719099,45,1.0361,GSE116256,BM4
TIMP1,all,sample,2992,208,0.0935138485058518,245,6.9519,GSE116256,BM4
TIMP2,all,sample,2992,172,0.0744488913503469,203,5.7487,GSE116256,BM4
TIMP3,all,sample,2992,23,0.0100871030753194,27,0.7687,GSE116256,BM4
MMP2,all,sample,2992,24,0.00887707656502003,31,0.8021,GSE116256,BM4
MMP9,all,sample,2992,0,0,0,0,GSE116256,BM4
MMP14,all,sample,2992,6,0.00207567782672083,6,0.2005,GSE116256,BM4
CTSK,all,sample,2992,9,0.00436426790909562,10,0.3008,GSE116256,BM4
ADAMTS1,all,sample,2992,9,0.00552791570808715,14,0.3008,GSE116256,BM4
TGFB1,all,sample,2992,195,0.0932222885454814,211,6.5174,GSE116256,BM4
TGFB2,all,sample,2992,3,0.000983469493300147,3,0.1003,GSE116256,BM4
TGFB3,all,sample,2992,21,0.0121038435521522,24,0.7019,GSE116256,BM4
TGFBR1,all,sample,2992,265,0.127900767652761,360,8.857,GSE116256,BM4
TGFBR2,all,sample,2992,304,0.169586414397453,402,10.1604,GSE116256,BM4
PDGFA,all,sample,2992,127,0.0557358454294061,128,4.2447,GSE116256,BM4
PDGFB,all,sample,2992,3,0.00182174198989506,5,0.1003,GSE116256,BM4
PDGFRA,all,sample,2992,1,0.000246955689877528,1,0.0334,GSE116256,BM4
PDGFRB,all,sample,2992,2,0.00112707021722272,2,0.0668,GSE116256,BM4
IGF1,all,sample,2992,12,0.00716517435590735,24,0.4011,GSE116256,BM4
IGF2,all,sample,2992,2,0.00124829243558744,2,0.0668,GSE116256,BM4
VEGFA,all,sample,2992,197,0.101062046006343,281,6.5842,GSE116256,BM4
FGF2,all,sample,2992,9,0.00311954475562708,9,0.3008,GSE116256,BM4
HGF,all,sample,2992,308,0.139933443377537,573,10.2941,GSE116256,BM4
OSM,all,sample,2992,133,0.0591566040398237,176,4.4452,GSE116256,BM4
OSMR,all,sample,2992,3,0.00113254457538926,3,0.1003,GSE116256,BM4
IL11,all,sample,2992,0,0,0,0,GSE116256,BM4
SPP1,all,sample,2992,3,0.00111130298404786,3,0.1003,GSE116256,BM4
IL1B,all,sample,2992,53,0.0235382803299986,74,1.7714,GSE116256,BM4
IL6,all,sample,2992,8,0.00465295124850286,8,0.2674,GSE116256,BM4
TNF,all,sample,2992,13,0.00669835034689916,17,0.4345,GSE116256,BM4
CXCL8,all,sample,2992,33,0.0186836967604203,71,1.1029,GSE116256,BM4
IL10,all,sample,2992,9,0.00493851308338343,10,0.3008,GSE116256,BM4
IFNG,all,sample,2992,12,0.00783087858858964,17,0.4011,GSE116256,BM4
CCL2,all,sample,2992,2,0.000577378157305472,2,0.0668,GSE116256,BM4
CCL3,all,sample,2992,2,0.00140791890263997,2,0.0668,GSE116256,BM4
CCL4,all,sample,2992,0,0,0,0,GSE116256,BM4
