gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,967,1,0.00136714674799594,1,0.1034,GSE116256,BM5-34p
COL1A2,all,sample,967,0,0,0,0,GSE116256,BM5-34p
COL3A1,all,sample,967,0,0,0,0,GSE116256,BM5-34p
COL4A1,all,sample,967,2,0.00358228758822823,4,0.2068,GSE116256,BM5-34p
COL5A1,all,sample,967,26,0.0535021124510735,33,2.6887,GSE116256,BM5-34p
COL5A2,all,sample,967,0,0,0,0,GSE116256,BM5-34p
COL6A1,all,sample,967,3,0.00436234439112485,3,0.3102,GSE116256,BM5-34p
COL6A2,all,sample,967,0,0,0,0,GSE116256,BM5-34p
COL6A3,all,sample,967,0,0,0,0,GSE116256,BM5-34p
COL11A1,all,sample,967,0,0,0,0,GSE116256,BM5-34p
FN1,all,sample,967,2,0.00277159628017346,2,0.2068,GSE116256,BM5-34p
LUM,all,sample,967,0,0,0,0,GSE116256,BM5-34p
DCN,all,sample,967,0,0,0,0,GSE116256,BM5-34p
POSTN,all,sample,967,0,0,0,0,GSE116256,BM5-34p
SPARC,all,sample,967,76,0.122082070727817,89,7.8594,GSE116256,BM5-34p
BGN,all,sample,967,0,0,0,0,GSE116256,BM5-34p
VCAN,all,sample,967,2,0.00399255542037875,3,0.2068,GSE116256,BM5-34p
ELN,all,sample,967,3,0.00319554817699826,3,0.3102,GSE116256,BM5-34p
FBN1,all,sample,967,39,0.0705160485510009,51,4.0331,GSE116256,BM5-34p
MGP,all,sample,967,0,0,0,0,GSE116256,BM5-34p
OGN,all,sample,967,3,0.0050688183624615,3,0.3102,GSE116256,BM5-34p
ASPN,all,sample,967,3,0.0055134815414725,3,0.3102,GSE116256,BM5-34p
TNC,all,sample,967,1,0.00135210646981257,1,0.1034,GSE116256,BM5-34p
LTBP1,all,sample,967,6,0.00963783383034928,9,0.6205,GSE116256,BM5-34p
LTBP2,all,sample,967,1,0.00172410764658658,1,0.1034,GSE116256,BM5-34p
LOX,all,sample,967,2,0.00175184716178688,2,0.2068,GSE116256,BM5-34p
LOXL1,all,sample,967,0,0,0,0,GSE116256,BM5-34p
LOXL2,all,sample,967,2,0.00285888469176345,2,0.2068,GSE116256,BM5-34p
PLOD1,all,sample,967,5,0.0086581000877646,5,0.5171,GSE116256,BM5-34p
PLOD2,all,sample,967,73,0.121329656717265,83,7.5491,GSE116256,BM5-34p
SERPINH1,all,sample,967,11,0.0147846489208124,11,1.1375,GSE116256,BM5-34p
SERPINE1,all,sample,967,7,0.0132141262437575,7,0.7239,GSE116256,BM5-34p
TIMP1,all,sample,967,20,0.0319438255042812,23,2.0683,GSE116256,BM5-34p
TIMP2,all,sample,967,16,0.0211649093214996,18,1.6546,GSE116256,BM5-34p
TIMP3,all,sample,967,33,0.0604560715226804,38,3.4126,GSE116256,BM5-34p
MMP2,all,sample,967,8,0.0106779561975507,8,0.8273,GSE116256,BM5-34p
MMP9,all,sample,967,0,0,0,0,GSE116256,BM5-34p
MMP14,all,sample,967,2,0.00369606721144638,2,0.2068,GSE116256,BM5-34p
CTSK,all,sample,967,1,0.000979145667783513,1,0.1034,GSE116256,BM5-34p
ADAMTS1,all,sample,967,9,0.0177609613612743,11,0.9307,GSE116256,BM5-34p
