gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
COL1A2,all,sample,1016,1,0.000692021133694203,1,0.0984,GSE147989,009SCRBL
COL3A1,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
COL4A1,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
COL5A1,all,sample,1016,25,0.0166372713795389,26,2.4606,GSE147989,009SCRBL
COL5A2,all,sample,1016,1,0.000648433295845304,1,0.0984,GSE147989,009SCRBL
COL6A1,all,sample,1016,33,0.0240687944752829,35,3.248,GSE147989,009SCRBL
COL6A2,all,sample,1016,111,0.0846596656122559,121,10.9252,GSE147989,009SCRBL
COL6A3,all,sample,1016,12,0.00842829653941122,12,1.1811,GSE147989,009SCRBL
COL11A1,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
FN1,all,sample,1016,16,0.0116026798527353,17,1.5748,GSE147989,009SCRBL
LUM,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
DCN,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
POSTN,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
SPARC,all,sample,1016,406,0.339268045402694,562,39.9606,GSE147989,009SCRBL
BGN,all,sample,1016,4,0.00288501649445108,4,0.3937,GSE147989,009SCRBL
VCAN,all,sample,1016,2,0.00173319873875023,2,0.1969,GSE147989,009SCRBL
ELN,all,sample,1016,177,0.138820044606656,201,17.4213,GSE147989,009SCRBL
FBN1,all,sample,1016,15,0.0112838248652017,15,1.4764,GSE147989,009SCRBL
MGP,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
OGN,all,sample,1016,4,0.00287698724910389,4,0.3937,GSE147989,009SCRBL
ASPN,all,sample,1016,1,0.000693698230935568,1,0.0984,GSE147989,009SCRBL
TNC,all,sample,1016,4,0.00312911174025247,4,0.3937,GSE147989,009SCRBL
LTBP1,all,sample,1016,2,0.00149524179210569,3,0.1969,GSE147989,009SCRBL
LTBP2,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
LOX,all,sample,1016,48,0.0352642312466311,52,4.7244,GSE147989,009SCRBL
LOXL1,all,sample,1016,30,0.0219076025348237,30,2.9528,GSE147989,009SCRBL
LOXL2,all,sample,1016,3,0.00193813760538074,3,0.2953,GSE147989,009SCRBL
PLOD1,all,sample,1016,49,0.0358175357345637,53,4.8228,GSE147989,009SCRBL
PLOD2,all,sample,1016,106,0.0790488811051402,117,10.4331,GSE147989,009SCRBL
SERPINH1,all,sample,1016,95,0.0670581466378876,105,9.3504,GSE147989,009SCRBL
SERPINE1,all,sample,1016,21,0.0149573443642179,24,2.0669,GSE147989,009SCRBL
TIMP1,all,sample,1016,208,0.17524933256424,270,20.4724,GSE147989,009SCRBL
TIMP2,all,sample,1016,138,0.103553907793883,159,13.5827,GSE147989,009SCRBL
TIMP3,all,sample,1016,28,0.0220353290293845,34,2.7559,GSE147989,009SCRBL
MMP2,all,sample,1016,290,0.227985694787309,364,28.5433,GSE147989,009SCRBL
MMP9,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
MMP14,all,sample,1016,0,0,0,0,GSE147989,009SCRBL
CTSK,all,sample,1016,5,0.00422458040699115,5,0.4921,GSE147989,009SCRBL
