gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,5008,4,0.000905834993818108,4,0.0799,GSE185381,GSM5613771_2020-03-18-count-3
COL1A2,all,sample,5008,2,0.000974358955455549,3,0.0399,GSE185381,GSM5613771_2020-03-18-count-3
COL3A1,all,sample,5008,1,0.000382292572052359,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
COL4A1,all,sample,5008,0,0,0,0,GSE185381,GSM5613771_2020-03-18-count-3
COL5A1,all,sample,5008,20,0.00456854532769101,21,0.3994,GSE185381,GSM5613771_2020-03-18-count-3
COL5A2,all,sample,5008,10,0.0020854293524318,10,0.1997,GSE185381,GSM5613771_2020-03-18-count-3
COL6A1,all,sample,5008,4,0.00108299302929745,4,0.0799,GSE185381,GSM5613771_2020-03-18-count-3
COL6A2,all,sample,5008,25,0.0103816498345548,28,0.4992,GSE185381,GSM5613771_2020-03-18-count-3
COL6A3,all,sample,5008,353,0.0922525967028109,468,7.0487,GSE185381,GSM5613771_2020-03-18-count-3
COL11A1,all,sample,5008,943,0.274630087950617,1742,18.8299,GSE185381,GSM5613771_2020-03-18-count-3
FN1,all,sample,5008,6,0.00158536033638144,6,0.1198,GSE185381,GSM5613771_2020-03-18-count-3
LUM,all,sample,5008,1,0.000382292572052359,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
DCN,all,sample,5008,1,0.000743880176152504,7,0.02,GSE185381,GSM5613771_2020-03-18-count-3
POSTN,all,sample,5008,0,0,0,0,GSE185381,GSM5613771_2020-03-18-count-3
SPARC,all,sample,5008,123,0.0274569944921661,139,2.4561,GSE185381,GSM5613771_2020-03-18-count-3
BGN,all,sample,5008,1,0.000468946701625648,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
VCAN,all,sample,5008,1174,0.61214348272214,4648,23.4425,GSE185381,GSM5613771_2020-03-18-count-3
ELN,all,sample,5008,2,0.000669417837840545,2,0.0399,GSE185381,GSM5613771_2020-03-18-count-3
FBN1,all,sample,5008,19,0.00514586010929408,22,0.3794,GSE185381,GSM5613771_2020-03-18-count-3
MGP,all,sample,5008,145,0.0359414273717815,200,2.8954,GSE185381,GSM5613771_2020-03-18-count-3
OGN,all,sample,5008,14,0.00292243138041948,15,0.2796,GSE185381,GSM5613771_2020-03-18-count-3
ASPN,all,sample,5008,12,0.00247757150027403,12,0.2396,GSE185381,GSM5613771_2020-03-18-count-3
TNC,all,sample,5008,3,0.00115120202594203,3,0.0599,GSE185381,GSM5613771_2020-03-18-count-3
LTBP1,all,sample,5008,1012,0.287658370638454,1723,20.2077,GSE185381,GSM5613771_2020-03-18-count-3
LTBP2,all,sample,5008,3,0.00104772223165386,4,0.0599,GSE185381,GSM5613771_2020-03-18-count-3
LOX,all,sample,5008,52,0.0119395213064116,56,1.0383,GSE185381,GSM5613771_2020-03-18-count-3
LOXL1,all,sample,5008,0,0,0,0,GSE185381,GSM5613771_2020-03-18-count-3
LOXL2,all,sample,5008,3,0.000821563778818427,3,0.0599,GSE185381,GSM5613771_2020-03-18-count-3
PLOD1,all,sample,5008,143,0.0365884783728236,149,2.8554,GSE185381,GSM5613771_2020-03-18-count-3
PLOD2,all,sample,5008,7,0.00150996955354603,8,0.1398,GSE185381,GSM5613771_2020-03-18-count-3
SERPINH1,all,sample,5008,81,0.0187697647975341,85,1.6174,GSE185381,GSM5613771_2020-03-18-count-3
SERPINE1,all,sample,5008,84,0.0243854624037932,101,1.6773,GSE185381,GSM5613771_2020-03-18-count-3
TIMP1,all,sample,5008,3023,1.64029525345223,25612,60.3634,GSE185381,GSM5613771_2020-03-18-count-3
TIMP2,all,sample,5008,514,0.169477236464432,643,10.2636,GSE185381,GSM5613771_2020-03-18-count-3
TIMP3,all,sample,5008,990,0.309213324702435,2015,19.7684,GSE185381,GSM5613771_2020-03-18-count-3
MMP2,all,sample,5008,3,0.00115759320561842,3,0.0599,GSE185381,GSM5613771_2020-03-18-count-3
MMP9,all,sample,5008,11,0.00358393195426673,11,0.2196,GSE185381,GSM5613771_2020-03-18-count-3
MMP14,all,sample,5008,9,0.00259336541527613,9,0.1797,GSE185381,GSM5613771_2020-03-18-count-3
CTSK,all,sample,5008,43,0.0105082335810498,44,0.8586,GSE185381,GSM5613771_2020-03-18-count-3
ADAMTS1,all,sample,5008,6,0.00224649747012687,6,0.1198,GSE185381,GSM5613771_2020-03-18-count-3
TGFB1,all,sample,5008,2305,0.807143610542186,4617,46.0264,GSE185381,GSM5613771_2020-03-18-count-3
TGFB2,all,sample,5008,2,0.000671969427577934,2,0.0399,GSE185381,GSM5613771_2020-03-18-count-3
TGFB3,all,sample,5008,15,0.00484170849048728,15,0.2995,GSE185381,GSM5613771_2020-03-18-count-3
TGFBR1,all,sample,5008,151,0.0457434871809353,155,3.0152,GSE185381,GSM5613771_2020-03-18-count-3
TGFBR2,all,sample,5008,313,0.106604722779481,332,6.25,GSE185381,GSM5613771_2020-03-18-count-3
PDGFA,all,sample,5008,8,0.00199046334127069,9,0.1597,GSE185381,GSM5613771_2020-03-18-count-3
PDGFB,all,sample,5008,73,0.0187359241125949,83,1.4577,GSE185381,GSM5613771_2020-03-18-count-3
PDGFRA,all,sample,5008,1,0.00025817064757616,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
PDGFRB,all,sample,5008,7,0.00240287217913374,9,0.1398,GSE185381,GSM5613771_2020-03-18-count-3
CCN2,all,sample,5008,178,0.0495347321008677,254,3.5543,GSE185381,GSM5613771_2020-03-18-count-3
CCN1,all,sample,5008,1,0.000149708048515649,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
IGF1,all,sample,5008,0,0,0,0,GSE185381,GSM5613771_2020-03-18-count-3
IGF2,all,sample,5008,15,0.00395618249317174,17,0.2995,GSE185381,GSM5613771_2020-03-18-count-3
VEGFA,all,sample,5008,279,0.0919384207625621,339,5.5711,GSE185381,GSM5613771_2020-03-18-count-3
FGF2,all,sample,5008,555,0.133987495866073,724,11.0823,GSE185381,GSM5613771_2020-03-18-count-3
HGF,all,sample,5008,53,0.0159921211355542,58,1.0583,GSE185381,GSM5613771_2020-03-18-count-3
OSM,all,sample,5008,190,0.0618800370506283,231,3.7939,GSE185381,GSM5613771_2020-03-18-count-3
OSMR,all,sample,5008,1,0.000541604253187178,1,0.02,GSE185381,GSM5613771_2020-03-18-count-3
IL11,all,sample,5008,2,0.000444239019005606,2,0.0399,GSE185381,GSM5613771_2020-03-18-count-3
SPP1,all,sample,5008,3,0.000635419350583869,3,0.0599,GSE185381,GSM5613771_2020-03-18-count-3
IL1B,all,sample,5008,560,0.153693937884959,778,11.1821,GSE185381,GSM5613771_2020-03-18-count-3
IL6,all,sample,5008,11,0.00369641079492813,13,0.2196,GSE185381,GSM5613771_2020-03-18-count-3
TNF,all,sample,5008,75,0.0263013627560172,89,1.4976,GSE185381,GSM5613771_2020-03-18-count-3
CXCL8,all,sample,5008,878,0.425769897788906,3226,17.5319,GSE185381,GSM5613771_2020-03-18-count-3
IL10,all,sample,5008,20,0.00664829147711876,21,0.3994,GSE185381,GSM5613771_2020-03-18-count-3
