gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1952,1,0.000932719329335131,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL1A2,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL3A1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL4A1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL5A1,all,sample,1952,1,0.00106421330537352,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL5A2,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL6A1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL6A2,all,sample,1952,37,0.0384623765951669,42,1.8955,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL6A3,all,sample,1952,1,0.000601075572015431,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
COL11A1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
FN1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
LUM,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
DCN,all,sample,1952,2,0.00172205299657593,2,0.1025,GSE185381,GSM5613776_2020-08-26-Control4003-c3
POSTN,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
SPARC,all,sample,1952,21,0.0171061107398387,22,1.0758,GSE185381,GSM5613776_2020-08-26-Control4003-c3
BGN,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
VCAN,all,sample,1952,630,0.844157335233887,3432,32.2746,GSE185381,GSM5613776_2020-08-26-Control4003-c3
ELN,all,sample,1952,2,0.00126343939074161,2,0.1025,GSE185381,GSM5613776_2020-08-26-Control4003-c3
FBN1,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
MGP,all,sample,1952,2,0.00166745560907682,2,0.1025,GSE185381,GSM5613776_2020-08-26-Control4003-c3
OGN,all,sample,1952,1,0.000902446347626485,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
ASPN,all,sample,1952,0,0,0,0,GSE185381,GSM5613776_2020-08-26-Control4003-c3
TNC,all,sample,1952,1,0.000352603956552276,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
LTBP1,all,sample,1952,2,0.00186424826262921,2,0.1025,GSE185381,GSM5613776_2020-08-26-Control4003-c3
LTBP2,all,sample,1952,1,0.000622343389511872,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
LOX,all,sample,1952,1,0.000356020519573478,1,0.0512,GSE185381,GSM5613776_2020-08-26-Control4003-c3
LOXL1,all,sample,1952,8,0.00713710991451213,8,0.4098,GSE185381,GSM5613776_2020-08-26-Control4003-c3
