gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2663,36,0.0160039131146393,41,1.3519,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL1A2,all,sample,2663,1,0.00063593997127946,1,0.0376,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL3A1,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL4A1,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL5A1,all,sample,2663,1,0.000595284948326996,1,0.0376,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL5A2,all,sample,2663,1,0.000475317616212418,1,0.0376,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL6A1,all,sample,2663,14,0.00652429813879745,15,0.5257,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL6A2,all,sample,2663,231,0.118831773890566,291,8.6744,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL6A3,all,sample,2663,12,0.00518664407115121,12,0.4506,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
COL11A1,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
FN1,all,sample,2663,20,0.00926145090299598,37,0.751,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
LUM,all,sample,2663,2,0.00108481726150473,3,0.0751,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
DCN,all,sample,2663,1,0.000370879053626612,1,0.0376,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
POSTN,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
SPARC,all,sample,2663,23,0.00808780187905558,33,0.8637,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
BGN,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
VCAN,all,sample,2663,363,0.297698112565713,2684,13.6312,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
ELN,all,sample,2663,0,0,0,0,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
FBN1,all,sample,2663,5,0.00188555711507096,5,0.1878,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
MGP,all,sample,2663,6,0.00271624948488355,6,0.2253,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
OGN,all,sample,2663,3,0.00173090778869721,4,0.1127,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
ASPN,all,sample,2663,3,0.00133228264212886,3,0.1127,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
TNC,all,sample,2663,3,0.00124274112245022,3,0.1127,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
LTBP1,all,sample,2663,10,0.00607163538465322,15,0.3755,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
LTBP2,all,sample,2663,5,0.0022361959300395,5,0.1878,GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2
