gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
COL1A2,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
COL3A1,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
COL4A1,all,sample,4920,3,0.000440837833424585,3,0.061,GSE185381,GSM5613779_2020-09-15-AML0024
COL5A1,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
COL5A2,all,sample,4920,2,0.000270479785156313,2,0.0407,GSE185381,GSM5613779_2020-09-15-AML0024
COL6A1,all,sample,4920,44,0.00676007759062413,44,0.8943,GSE185381,GSM5613779_2020-09-15-AML0024
COL6A2,all,sample,4920,11,0.0019001654947375,14,0.2236,GSE185381,GSM5613779_2020-09-15-AML0024
COL6A3,all,sample,4920,12,0.00202224681081734,12,0.2439,GSE185381,GSM5613779_2020-09-15-AML0024
COL11A1,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
FN1,all,sample,4920,521,0.114867303483886,1082,10.5894,GSE185381,GSM5613779_2020-09-15-AML0024
LUM,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
DCN,all,sample,4920,3,0.000488834185707205,4,0.061,GSE185381,GSM5613779_2020-09-15-AML0024
POSTN,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
SPARC,all,sample,4920,11,0.00145110803633824,12,0.2236,GSE185381,GSM5613779_2020-09-15-AML0024
BGN,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
VCAN,all,sample,4920,4857,2.57115485777794,62931,98.7195,GSE185381,GSM5613779_2020-09-15-AML0024
ELN,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
FBN1,all,sample,4920,16,0.00230863966509924,16,0.3252,GSE185381,GSM5613779_2020-09-15-AML0024
MGP,all,sample,4920,13,0.00203994376662999,13,0.2642,GSE185381,GSM5613779_2020-09-15-AML0024
OGN,all,sample,4920,2,0.000288577660700702,2,0.0407,GSE185381,GSM5613779_2020-09-15-AML0024
ASPN,all,sample,4920,0,0,0,0,GSE185381,GSM5613779_2020-09-15-AML0024
TNC,all,sample,4920,3,0.00048670922706184,3,0.061,GSE185381,GSM5613779_2020-09-15-AML0024
LTBP1,all,sample,4920,21,0.00329706441835154,21,0.4268,GSE185381,GSM5613779_2020-09-15-AML0024
LTBP2,all,sample,4920,2,0.000353332972651776,2,0.0407,GSE185381,GSM5613779_2020-09-15-AML0024
LOX,all,sample,4920,2,0.000474996350014707,2,0.0407,GSE185381,GSM5613779_2020-09-15-AML0024
LOXL1,all,sample,4920,32,0.00447005515160657,32,0.6504,GSE185381,GSM5613779_2020-09-15-AML0024
LOXL2,all,sample,4920,8,0.0011277405253187,8,0.1626,GSE185381,GSM5613779_2020-09-15-AML0024
