gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2430,0,0,0,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL1A2,all,sample,2430,4,0.00372938526140235,9,0.1646,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL3A1,all,sample,2430,2,0.00230024237531236,6,0.0823,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL4A1,all,sample,2430,0,0,0,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL5A1,all,sample,2430,12,0.0058785329206295,12,0.4938,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL5A2,all,sample,2430,1,0.000770707104958838,1,0.0412,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL6A1,all,sample,2430,18,0.0105673400121761,18,0.7407,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL6A2,all,sample,2430,96,0.0639549057800064,108,3.9506,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL6A3,all,sample,2430,7,0.0045173681032525,8,0.2881,GSE185381,GSM5613787_2021-03-09-count1_0.95
COL11A1,all,sample,2430,0,0,0,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
FN1,all,sample,2430,5,0.00383548531077529,8,0.2058,GSE185381,GSM5613787_2021-03-09-count1_0.95
LUM,all,sample,2430,2,0.00125921460506486,2,0.0823,GSE185381,GSM5613787_2021-03-09-count1_0.95
DCN,all,sample,2430,3,0.0030446212954327,8,0.1235,GSE185381,GSM5613787_2021-03-09-count1_0.95
POSTN,all,sample,2430,0,0,0,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
SPARC,all,sample,2430,60,0.0309559271476745,71,2.4691,GSE185381,GSM5613787_2021-03-09-count1_0.95
BGN,all,sample,2430,0,0,0,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
VCAN,all,sample,2430,861,1.12627861185097,8290,35.4321,GSE185381,GSM5613787_2021-03-09-count1_0.95
