gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,825,2,0.00445285923147221,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL1A2,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL3A1,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL4A1,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL5A1,all,sample,825,1,0.00152393366173923,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL5A2,all,sample,825,18,0.0245339986493227,18,2.1818,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL6A1,all,sample,825,4,0.00797650575926401,4,0.4848,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL6A2,all,sample,825,16,0.0347202566332445,17,1.9394,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL6A3,all,sample,825,1,0.00109029814847993,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
COL11A1,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
FN1,all,sample,825,2,0.003356474947458,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
LUM,all,sample,825,7,0.0107956185892687,9,0.8485,GSE185381,GSM5613788_2021-03-09-Z-1-1
DCN,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
POSTN,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
SPARC,all,sample,825,17,0.0226405239037848,19,2.0606,GSE185381,GSM5613788_2021-03-09-Z-1-1
BGN,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
VCAN,all,sample,825,60,0.198323452229492,290,7.2727,GSE185381,GSM5613788_2021-03-09-Z-1-1
ELN,all,sample,825,1,0.00227121323296012,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
FBN1,all,sample,825,11,0.0144769657957241,12,1.3333,GSE185381,GSM5613788_2021-03-09-Z-1-1
MGP,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
OGN,all,sample,825,2,0.00314729374147921,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
ASPN,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
TNC,all,sample,825,1,0.00101202517392404,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
LTBP1,all,sample,825,88,0.151758804174581,153,10.6667,GSE185381,GSM5613788_2021-03-09-Z-1-1
LTBP2,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
LOX,all,sample,825,15,0.0191125712632339,15,1.8182,GSE185381,GSM5613788_2021-03-09-Z-1-1
LOXL1,all,sample,825,2,0.00314080317653641,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
LOXL2,all,sample,825,2,0.00338926423692296,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
PLOD1,all,sample,825,11,0.0183428040987096,11,1.3333,GSE185381,GSM5613788_2021-03-09-Z-1-1
PLOD2,all,sample,825,9,0.0130746035161648,9,1.0909,GSE185381,GSM5613788_2021-03-09-Z-1-1
SERPINH1,all,sample,825,2,0.00356537740610176,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
SERPINE1,all,sample,825,1,0.00303186555055266,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
TIMP1,all,sample,825,200,0.344249040500414,310,24.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
TIMP2,all,sample,825,82,0.127196426114628,104,9.9394,GSE185381,GSM5613788_2021-03-09-Z-1-1
TIMP3,all,sample,825,14,0.0214580211239277,16,1.697,GSE185381,GSM5613788_2021-03-09-Z-1-1
MMP2,all,sample,825,28,0.0350008233114314,30,3.3939,GSE185381,GSM5613788_2021-03-09-Z-1-1
MMP9,all,sample,825,1,0.00215284773130309,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
MMP14,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
CTSK,all,sample,825,9,0.0161049134198929,9,1.0909,GSE185381,GSM5613788_2021-03-09-Z-1-1
ADAMTS1,all,sample,825,8,0.0214041948056553,39,0.9697,GSE185381,GSM5613788_2021-03-09-Z-1-1
TGFB1,all,sample,825,300,0.629224660061079,429,36.3636,GSE185381,GSM5613788_2021-03-09-Z-1-1
TGFB2,all,sample,825,1,0.0017544207378091,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
TGFB3,all,sample,825,2,0.0030877377641702,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
TGFBR1,all,sample,825,59,0.104387581193784,67,7.1515,GSE185381,GSM5613788_2021-03-09-Z-1-1
TGFBR2,all,sample,825,97,0.173271173616143,110,11.7576,GSE185381,GSM5613788_2021-03-09-Z-1-1
PDGFA,all,sample,825,6,0.0100100043978159,7,0.7273,GSE185381,GSM5613788_2021-03-09-Z-1-1
PDGFB,all,sample,825,1,0.00193204830998084,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
PDGFRA,all,sample,825,1,0.00382131257302515,2,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
PDGFRB,all,sample,825,2,0.00384568941505582,2,0.2424,GSE185381,GSM5613788_2021-03-09-Z-1-1
CCN2,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
CCN1,all,sample,825,1,0.00137483827287743,1,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
IGF1,all,sample,825,8,0.00899245289556204,22,0.9697,GSE185381,GSM5613788_2021-03-09-Z-1-1
IGF2,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
VEGFA,all,sample,825,13,0.0227386036038314,16,1.5758,GSE185381,GSM5613788_2021-03-09-Z-1-1
FGF2,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
HGF,all,sample,825,9,0.0122960449284092,11,1.0909,GSE185381,GSM5613788_2021-03-09-Z-1-1
OSM,all,sample,825,18,0.0319925812205555,20,2.1818,GSE185381,GSM5613788_2021-03-09-Z-1-1
OSMR,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
IL11,all,sample,825,0,0,0,0,GSE185381,GSM5613788_2021-03-09-Z-1-1
SPP1,all,sample,825,1,0.00205669822233057,2,0.1212,GSE185381,GSM5613788_2021-03-09-Z-1-1
IL1B,all,sample,825,24,0.0419708785655386,26,2.9091,GSE185381,GSM5613788_2021-03-09-Z-1-1
