gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1347,14,0.0147201600665208,14,1.0393,GSE185381,GSM5613795_2020-05-22-5prime_2
COL1A2,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
COL3A1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
COL4A1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
COL5A1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
COL5A2,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
COL6A1,all,sample,1347,15,0.0164226523209342,19,1.1136,GSE185381,GSM5613795_2020-05-22-5prime_2
COL6A2,all,sample,1347,108,0.136256956432821,147,8.0178,GSE185381,GSM5613795_2020-05-22-5prime_2
COL6A3,all,sample,1347,190,0.222781084985157,215,14.1054,GSE185381,GSM5613795_2020-05-22-5prime_2
COL11A1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
FN1,all,sample,1347,1,0.000944747553387406,1,0.0742,GSE185381,GSM5613795_2020-05-22-5prime_2
LUM,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
DCN,all,sample,1347,1,0.00121544627457728,1,0.0742,GSE185381,GSM5613795_2020-05-22-5prime_2
POSTN,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
SPARC,all,sample,1347,2,0.00191709645034922,2,0.1485,GSE185381,GSM5613795_2020-05-22-5prime_2
BGN,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
VCAN,all,sample,1347,5,0.00606908436215057,6,0.3712,GSE185381,GSM5613795_2020-05-22-5prime_2
ELN,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
FBN1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
MGP,all,sample,1347,6,0.00668498214517019,6,0.4454,GSE185381,GSM5613795_2020-05-22-5prime_2
OGN,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
ASPN,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
TNC,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
LTBP1,all,sample,1347,0,0,0,0,GSE185381,GSM5613795_2020-05-22-5prime_2
LTBP2,all,sample,1347,1,0.00133923239057064,1,0.0742,GSE185381,GSM5613795_2020-05-22-5prime_2
LOX,all,sample,1347,1,0.00118239832411041,1,0.0742,GSE185381,GSM5613795_2020-05-22-5prime_2
LOXL1,all,sample,1347,18,0.0212998117053021,18,1.3363,GSE185381,GSM5613795_2020-05-22-5prime_2
