gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2307,10,0.00491639750407497,11,0.4335,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL1A2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL3A1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL4A1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL5A1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL5A2,all,sample,2307,1,0.000543491734430031,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL6A1,all,sample,2307,22,0.0119206371819326,25,0.9536,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL6A2,all,sample,2307,206,0.115688701332615,269,8.9293,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL6A3,all,sample,2307,58,0.0300262660434724,58,2.5141,GSE185381,GSM5613806_2021-04-29-3948_cDNA
COL11A1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
FN1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LUM,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
DCN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
POSTN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SPARC,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
BGN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
VCAN,all,sample,2307,5,0.00281151346974162,5,0.2167,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ELN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
FBN1,all,sample,2307,1,0.000597548632385354,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MGP,all,sample,2307,4,0.00234067864180487,4,0.1734,GSE185381,GSM5613806_2021-04-29-3948_cDNA
OGN,all,sample,2307,3,0.00193613607265316,3,0.13,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ASPN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TNC,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LTBP1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LTBP2,all,sample,2307,3,0.00158543615168865,3,0.13,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LOX,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LOXL1,all,sample,2307,21,0.010431020104104,21,0.9103,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LOXL2,all,sample,2307,4,0.00194116264666353,4,0.1734,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PLOD1,all,sample,2307,47,0.0244012951068579,50,2.0373,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PLOD2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SERPINH1,all,sample,2307,21,0.0107171187762176,22,0.9103,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SERPINE1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TIMP1,all,sample,2307,281,0.155509188019596,361,12.1803,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TIMP2,all,sample,2307,12,0.00738228201147516,13,0.5202,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TIMP3,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MMP2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MMP9,all,sample,2307,17,0.00957443544678736,18,0.7369,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MMP14,all,sample,2307,1,0.000439522064624031,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CTSK,all,sample,2307,12,0.006032406633864,12,0.5202,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ADAMTS1,all,sample,2307,6,0.00309378664425302,7,0.2601,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TGFB1,all,sample,2307,1867,1.59159403120657,5979,80.9276,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TGFB2,all,sample,2307,1,0.000520094744934435,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TGFB3,all,sample,2307,5,0.0023675988937902,5,0.2167,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TGFBR1,all,sample,2307,194,0.104030687124569,213,8.4092,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TGFBR2,all,sample,2307,788,0.464766406440651,1045,34.1569,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PDGFA,all,sample,2307,5,0.00263261560923254,5,0.2167,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PDGFB,all,sample,2307,22,0.0121764885383922,24,0.9536,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PDGFRA,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PDGFRB,all,sample,2307,16,0.00821580337383736,17,0.6935,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CCN2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CCN1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IGF1,all,sample,2307,1,0.000520165014933985,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IGF2,all,sample,2307,1,0.000408171119488396,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
VEGFA,all,sample,2307,4,0.00212280967732386,4,0.1734,GSE185381,GSM5613806_2021-04-29-3948_cDNA
FGF2,all,sample,2307,1,0.000623327790676123,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
HGF,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
OSM,all,sample,2307,75,0.0405119194007647,84,3.251,GSE185381,GSM5613806_2021-04-29-3948_cDNA
OSMR,all,sample,2307,2,0.00112823310684554,2,0.0867,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IL11,all,sample,2307,1,0.000580958427889335,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SPP1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IL1B,all,sample,2307,7,0.00385655507563583,7,0.3034,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IL6,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TNF,all,sample,2307,359,0.257843531245835,909,15.5613,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CXCL8,all,sample,2307,10,0.00580345566351377,11,0.4335,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IL10,all,sample,2307,7,0.003953678655746,7,0.3034,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IFNG,all,sample,2307,616,0.474611950539737,1881,26.7013,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CCL2,all,sample,2307,5,0.00249644547435562,5,0.2167,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CCL3,all,sample,2307,270,0.207171598811697,747,11.7035,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CCL4,all,sample,2307,1143,1.02210618707926,6617,49.5449,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CXCL1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CXCL2,all,sample,2307,2,0.00111020236595448,2,0.0867,GSE185381,GSM5613806_2021-04-29-3948_cDNA
IL18,all,sample,2307,1,0.00059967538444594,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
NLRP3,all,sample,2307,35,0.0206207608028949,43,1.5171,GSE185381,GSM5613806_2021-04-29-3948_cDNA
S100A8,all,sample,2307,31,0.0178733056666286,35,1.3437,GSE185381,GSM5613806_2021-04-29-3948_cDNA
S100A9,all,sample,2307,27,0.0163738022788315,34,1.1704,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PF4,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PPBP,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
VWF,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ITGA2B,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
GP9,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
NFE2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
GATA1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MPL,all,sample,2307,2,0.000982461766800224,2,0.0867,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CALR,all,sample,2307,1520,1.10280924692772,3372,65.8864,GSE185381,GSM5613806_2021-04-29-3948_cDNA
JAK2,all,sample,2307,194,0.101564534625151,212,8.4092,GSE185381,GSM5613806_2021-04-29-3948_cDNA
LEPR,all,sample,2307,11,0.00540788786487395,11,0.4768,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CXCL12,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
KITLG,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ANGPT1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
VCAM1,all,sample,2307,46,0.0298170254106546,71,1.9939,GSE185381,GSM5613806_2021-04-29-3948_cDNA
NES,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
NGFR,all,sample,2307,3,0.0017176004891842,3,0.13,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SFRP2,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SFRP4,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
GREM1,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
FAP,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
BGLAP,all,sample,2307,2,0.000947259570051923,2,0.0867,GSE185381,GSM5613806_2021-04-29-3948_cDNA
RUNX2,all,sample,2307,152,0.0798003693837614,173,6.5886,GSE185381,GSM5613806_2021-04-29-3948_cDNA
SP7,all,sample,2307,1,0.00051502164199547,1,0.0433,GSE185381,GSM5613806_2021-04-29-3948_cDNA
ACTA2,all,sample,2307,19,0.00981350671838063,19,0.8236,GSE185381,GSM5613806_2021-04-29-3948_cDNA
TAGLN,all,sample,2307,27,0.0139976632724632,27,1.1704,GSE185381,GSM5613806_2021-04-29-3948_cDNA
RGS5,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
MYH11,all,sample,2307,17,0.00947737561486218,17,0.7369,GSE185381,GSM5613806_2021-04-29-3948_cDNA
CDH5,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
PECAM1,all,sample,2307,187,0.10618454516465,230,8.1058,GSE185381,GSM5613806_2021-04-29-3948_cDNA
EMCN,all,sample,2307,0,0,0,0,GSE185381,GSM5613806_2021-04-29-3948_cDNA
