gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
COL1A2,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
COL3A1,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
COL4A1,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
COL5A1,all,sample,3602,7,0.00173636963614647,7,0.1943,GSE185991,GSM5628178_M28
COL5A2,all,sample,3602,7,0.0015149682722729,7,0.1943,GSE185991,GSM5628178_M28
COL6A1,all,sample,3602,3,0.000679936198725678,3,0.0833,GSE185991,GSM5628178_M28
COL6A2,all,sample,3602,11,0.00366041412341599,11,0.3054,GSE185991,GSM5628178_M28
COL6A3,all,sample,3602,1,0.000662454238732999,1,0.0278,GSE185991,GSM5628178_M28
COL11A1,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
FN1,all,sample,3602,16,0.00540033150668153,16,0.4442,GSE185991,GSM5628178_M28
LUM,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
DCN,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
POSTN,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
SPARC,all,sample,3602,141,0.0336749563379949,158,3.9145,GSE185991,GSM5628178_M28
BGN,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
VCAN,all,sample,3602,207,0.137227064214907,1451,5.7468,GSE185991,GSM5628178_M28
ELN,all,sample,3602,3,0.000762436642135695,3,0.0833,GSE185991,GSM5628178_M28
FBN1,all,sample,3602,12,0.00340079943421588,12,0.3331,GSE185991,GSM5628178_M28
MGP,all,sample,3602,1,0.000223374217742948,1,0.0278,GSE185991,GSM5628178_M28
OGN,all,sample,3602,1,0.000454156947900612,1,0.0278,GSE185991,GSM5628178_M28
ASPN,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
TNC,all,sample,3602,8,0.00327750789898871,8,0.2221,GSE185991,GSM5628178_M28
LTBP1,all,sample,3602,3,0.000948923453611357,5,0.0833,GSE185991,GSM5628178_M28
LTBP2,all,sample,3602,1,0.00041803215419058,1,0.0278,GSE185991,GSM5628178_M28
LOX,all,sample,3602,2,0.000673682412852663,2,0.0555,GSE185991,GSM5628178_M28
LOXL1,all,sample,3602,3,0.000658397699860621,3,0.0833,GSE185991,GSM5628178_M28
LOXL2,all,sample,3602,8,0.00237485368408703,8,0.2221,GSE185991,GSM5628178_M28
PLOD1,all,sample,3602,196,0.0534781596642972,212,5.4414,GSE185991,GSM5628178_M28
PLOD2,all,sample,3602,9,0.00273332720020421,9,0.2499,GSE185991,GSM5628178_M28
SERPINH1,all,sample,3602,159,0.0411340908902539,174,4.4142,GSE185991,GSM5628178_M28
SERPINE1,all,sample,3602,114,0.0381227148930453,153,3.1649,GSE185991,GSM5628178_M28
TIMP1,all,sample,3602,1351,0.474968580646681,2696,37.5069,GSE185991,GSM5628178_M28
TIMP2,all,sample,3602,959,0.290654829651397,1341,26.6241,GSE185991,GSM5628178_M28
TIMP3,all,sample,3602,14,0.00418584685015956,23,0.3887,GSE185991,GSM5628178_M28
MMP2,all,sample,3602,384,0.102265734417129,467,10.6607,GSE185991,GSM5628178_M28
MMP9,all,sample,3602,1,0.000361792056114424,1,0.0278,GSE185991,GSM5628178_M28
MMP14,all,sample,3602,2,0.000585559971154559,2,0.0555,GSE185991,GSM5628178_M28
CTSK,all,sample,3602,32,0.0102918169802765,33,0.8884,GSE185991,GSM5628178_M28
ADAMTS1,all,sample,3602,2,0.000707687856307183,2,0.0555,GSE185991,GSM5628178_M28
TGFB1,all,sample,3602,1216,0.40282314098286,1985,33.759,GSE185991,GSM5628178_M28
TGFB2,all,sample,3602,4,0.00125327514747119,4,0.111,GSE185991,GSM5628178_M28
TGFB3,all,sample,3602,5,0.00129848651757875,5,0.1388,GSE185991,GSM5628178_M28
TGFBR1,all,sample,3602,334,0.0919794915514832,361,9.2726,GSE185991,GSM5628178_M28
TGFBR2,all,sample,3602,390,0.115135199777841,441,10.8273,GSE185991,GSM5628178_M28
PDGFA,all,sample,3602,13,0.00271678863468696,13,0.3609,GSE185991,GSM5628178_M28
PDGFB,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
PDGFRA,all,sample,3602,2,0.000514519332776449,2,0.0555,GSE185991,GSM5628178_M28
PDGFRB,all,sample,3602,14,0.00448878863568589,16,0.3887,GSE185991,GSM5628178_M28
IGF1,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
IGF2,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
VEGFA,all,sample,3602,31,0.00877181027081107,32,0.8606,GSE185991,GSM5628178_M28
FGF2,all,sample,3602,0,0,0,0,GSE185991,GSM5628178_M28
HGF,all,sample,3602,229,0.0725580398961627,286,6.3576,GSE185991,GSM5628178_M28
