gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
COL1A2,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
COL3A1,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
COL4A1,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
COL5A1,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
COL5A2,all,sample,2410,1,0.000559872256748363,1,0.0415,GSE201966,GSM6085176_AML01M4_CR
COL6A1,all,sample,2410,4,0.00233684120435645,4,0.166,GSE201966,GSM6085176_AML01M4_CR
COL6A2,all,sample,2410,40,0.0255697595184711,45,1.6598,GSE201966,GSM6085176_AML01M4_CR
COL6A3,all,sample,2410,1,0.000717030562175082,1,0.0415,GSE201966,GSM6085176_AML01M4_CR
COL11A1,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
FN1,all,sample,2410,6,0.00457617637684437,6,0.249,GSE201966,GSM6085176_AML01M4_CR
LUM,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
DCN,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
POSTN,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
SPARC,all,sample,2410,35,0.0199839813688847,59,1.4523,GSE201966,GSM6085176_AML01M4_CR
BGN,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
VCAN,all,sample,2410,4,0.00595075628998484,4,0.166,GSE201966,GSM6085176_AML01M4_CR
ELN,all,sample,2410,3,0.000813523607781603,3,0.1245,GSE201966,GSM6085176_AML01M4_CR
FBN1,all,sample,2410,10,0.00172115043479488,11,0.4149,GSE201966,GSM6085176_AML01M4_CR
MGP,all,sample,2410,1,0.000631909675438104,1,0.0415,GSE201966,GSM6085176_AML01M4_CR
OGN,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
ASPN,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
TNC,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
LTBP1,all,sample,2410,66,0.0194438401782282,115,2.7386,GSE201966,GSM6085176_AML01M4_CR
LTBP2,all,sample,2410,7,0.00183702030265756,7,0.2905,GSE201966,GSM6085176_AML01M4_CR
LOX,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
LOXL1,all,sample,2410,5,0.00244085199611823,5,0.2075,GSE201966,GSM6085176_AML01M4_CR
LOXL2,all,sample,2410,1,0.000653333000111465,1,0.0415,GSE201966,GSM6085176_AML01M4_CR
PLOD1,all,sample,2410,63,0.022025120368845,73,2.6141,GSE201966,GSM6085176_AML01M4_CR
PLOD2,all,sample,2410,15,0.00253589704792551,18,0.6224,GSE201966,GSM6085176_AML01M4_CR
SERPINH1,all,sample,2410,102,0.0346073895678565,152,4.2324,GSE201966,GSM6085176_AML01M4_CR
SERPINE1,all,sample,2410,2,0.00122153255163629,2,0.083,GSE201966,GSM6085176_AML01M4_CR
TIMP1,all,sample,2410,332,0.207566133480841,629,13.7759,GSE201966,GSM6085176_AML01M4_CR
TIMP2,all,sample,2410,19,0.00931433229122872,22,0.7884,GSE201966,GSM6085176_AML01M4_CR
TIMP3,all,sample,2410,50,0.0145265755533847,68,2.0747,GSE201966,GSM6085176_AML01M4_CR
MMP2,all,sample,2410,11,0.00556635278393676,12,0.4564,GSE201966,GSM6085176_AML01M4_CR
MMP9,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
MMP14,all,sample,2410,2,0.000499765270349613,2,0.083,GSE201966,GSM6085176_AML01M4_CR
CTSK,all,sample,2410,2,0.00111520882806854,2,0.083,GSE201966,GSM6085176_AML01M4_CR
ADAMTS1,all,sample,2410,23,0.013704211559941,23,0.9544,GSE201966,GSM6085176_AML01M4_CR
TGFB1,all,sample,2410,539,0.357112991147045,877,22.3651,GSE201966,GSM6085176_AML01M4_CR
TGFB2,all,sample,2410,0,0,0,0,GSE201966,GSM6085176_AML01M4_CR
TGFB3,all,sample,2410,19,0.00756620264512814,21,0.7884,GSE201966,GSM6085176_AML01M4_CR
TGFBR1,all,sample,2410,69,0.0428570799160242,75,2.8631,GSE201966,GSM6085176_AML01M4_CR
