gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,7231,8,0.00163961183533983,8,0.1106,GSE201966,GSM6085181_AML03M5_P
COL1A2,all,sample,7231,18,0.00352493513533721,18,0.2489,GSE201966,GSM6085181_AML03M5_P
COL3A1,all,sample,7231,10,0.00203267458966581,11,0.1383,GSE201966,GSM6085181_AML03M5_P
COL4A1,all,sample,7231,10,0.00174338756415887,10,0.1383,GSE201966,GSM6085181_AML03M5_P
COL5A1,all,sample,7231,27,0.00520827051395103,27,0.3734,GSE201966,GSM6085181_AML03M5_P
COL5A2,all,sample,7231,10,0.00226773299240202,10,0.1383,GSE201966,GSM6085181_AML03M5_P
COL6A1,all,sample,7231,8,0.00191858252839611,11,0.1106,GSE201966,GSM6085181_AML03M5_P
COL6A2,all,sample,7231,21,0.00479828557336309,28,0.2904,GSE201966,GSM6085181_AML03M5_P
COL6A3,all,sample,7231,17,0.00353692598859707,17,0.2351,GSE201966,GSM6085181_AML03M5_P
COL11A1,all,sample,7231,6,0.0010423826060943,6,0.083,GSE201966,GSM6085181_AML03M5_P
FN1,all,sample,7231,54,0.0122180599316259,66,0.7468,GSE201966,GSM6085181_AML03M5_P
LUM,all,sample,7231,4,0.0011275820687387,12,0.0553,GSE201966,GSM6085181_AML03M5_P
DCN,all,sample,7231,23,0.00440529990764376,27,0.3181,GSE201966,GSM6085181_AML03M5_P
POSTN,all,sample,7231,4,0.000666346338618002,4,0.0553,GSE201966,GSM6085181_AML03M5_P
SPARC,all,sample,7231,11,0.00216349992145596,14,0.1521,GSE201966,GSM6085181_AML03M5_P
BGN,all,sample,7231,2,0.000474265040698727,3,0.0277,GSE201966,GSM6085181_AML03M5_P
VCAN,all,sample,7231,3886,1.17026244816864,9300,53.7408,GSE201966,GSM6085181_AML03M5_P
ELN,all,sample,7231,7,0.00143984542314392,7,0.0968,GSE201966,GSM6085181_AML03M5_P
FBN1,all,sample,7231,18,0.00401997455517851,19,0.2489,GSE201966,GSM6085181_AML03M5_P
MGP,all,sample,7231,4,0.00110182656205173,16,0.0553,GSE201966,GSM6085181_AML03M5_P
OGN,all,sample,7231,1,0.000264629461254254,1,0.0138,GSE201966,GSM6085181_AML03M5_P
ASPN,all,sample,7231,0,0,0,0,GSE201966,GSM6085181_AML03M5_P
TNC,all,sample,7231,16,0.00336047924732318,16,0.2213,GSE201966,GSM6085181_AML03M5_P
LTBP1,all,sample,7231,7,0.0014606841680732,7,0.0968,GSE201966,GSM6085181_AML03M5_P
LTBP2,all,sample,7231,7,0.00139923978449355,7,0.0968,GSE201966,GSM6085181_AML03M5_P
LOX,all,sample,7231,3,0.00049195713885608,3,0.0415,GSE201966,GSM6085181_AML03M5_P
LOXL1,all,sample,7231,8,0.00147856365557379,8,0.1106,GSE201966,GSM6085181_AML03M5_P
LOXL2,all,sample,7231,6,0.00118828059488518,7,0.083,GSE201966,GSM6085181_AML03M5_P
PLOD1,all,sample,7231,332,0.0723322106911124,346,4.5913,GSE201966,GSM6085181_AML03M5_P
PLOD2,all,sample,7231,6,0.00139887596207726,6,0.083,GSE201966,GSM6085181_AML03M5_P
SERPINH1,all,sample,7231,117,0.024019659959703,120,1.618,GSE201966,GSM6085181_AML03M5_P
SERPINE1,all,sample,7231,19,0.00395712308806784,19,0.2628,GSE201966,GSM6085181_AML03M5_P
TIMP1,all,sample,7231,4719,1.28584459873099,9224,65.2607,GSE201966,GSM6085181_AML03M5_P
TIMP2,all,sample,7231,2062,0.474218737153386,2486,28.5161,GSE201966,GSM6085181_AML03M5_P
TIMP3,all,sample,7231,13,0.00260098144459429,13,0.1798,GSE201966,GSM6085181_AML03M5_P
MMP2,all,sample,7231,10,0.00206897467811778,11,0.1383,GSE201966,GSM6085181_AML03M5_P
