gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2844,2,0.000940422012840004,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
COL1A2,all,sample,2844,12,0.00750227839391658,12,0.4219,GSE201966,GSM6085182_AML03M5_RE
COL3A1,all,sample,2844,8,0.00343579821708016,8,0.2813,GSE201966,GSM6085182_AML03M5_RE
COL4A1,all,sample,2844,5,0.00251271792655415,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
COL5A1,all,sample,2844,14,0.00548016598502367,14,0.4923,GSE201966,GSM6085182_AML03M5_RE
COL5A2,all,sample,2844,10,0.00422521250898172,10,0.3516,GSE201966,GSM6085182_AML03M5_RE
COL6A1,all,sample,2844,6,0.00247424063143576,6,0.211,GSE201966,GSM6085182_AML03M5_RE
COL6A2,all,sample,2844,248,0.141839353864952,305,8.7201,GSE201966,GSM6085182_AML03M5_RE
COL6A3,all,sample,2844,27,0.0118050331742564,27,0.9494,GSE201966,GSM6085182_AML03M5_RE
COL11A1,all,sample,2844,5,0.00210201578797735,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
FN1,all,sample,2844,21,0.00919145161169891,21,0.7384,GSE201966,GSM6085182_AML03M5_RE
LUM,all,sample,2844,2,0.00156154104069134,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
DCN,all,sample,2844,15,0.00742918022300535,15,0.5274,GSE201966,GSM6085182_AML03M5_RE
POSTN,all,sample,2844,5,0.00220548405052418,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
SPARC,all,sample,2844,23,0.00739980541039454,23,0.8087,GSE201966,GSM6085182_AML03M5_RE
BGN,all,sample,2844,2,0.000743899665636237,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
VCAN,all,sample,2844,41,0.0262870838838385,70,1.4416,GSE201966,GSM6085182_AML03M5_RE
ELN,all,sample,2844,23,0.00774868104220175,23,0.8087,GSE201966,GSM6085182_AML03M5_RE
FBN1,all,sample,2844,10,0.00427528804817985,11,0.3516,GSE201966,GSM6085182_AML03M5_RE
MGP,all,sample,2844,2,0.00172709984524943,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
OGN,all,sample,2844,4,0.00184138828259195,4,0.1406,GSE201966,GSM6085182_AML03M5_RE
ASPN,all,sample,2844,1,0.000231616824965293,1,0.0352,GSE201966,GSM6085182_AML03M5_RE
TNC,all,sample,2844,17,0.00943347571343862,17,0.5977,GSE201966,GSM6085182_AML03M5_RE
LTBP1,all,sample,2844,16,0.00674056395424609,20,0.5626,GSE201966,GSM6085182_AML03M5_RE
LTBP2,all,sample,2844,10,0.00298495369344416,11,0.3516,GSE201966,GSM6085182_AML03M5_RE
LOX,all,sample,2844,5,0.00249601320621112,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
LOXL1,all,sample,2844,6,0.00322825308945601,6,0.211,GSE201966,GSM6085182_AML03M5_RE
LOXL2,all,sample,2844,6,0.00309484272121986,6,0.211,GSE201966,GSM6085182_AML03M5_RE
PLOD1,all,sample,2844,70,0.0346235804787687,73,2.4613,GSE201966,GSM6085182_AML03M5_RE
PLOD2,all,sample,2844,9,0.00345739130837296,9,0.3165,GSE201966,GSM6085182_AML03M5_RE
SERPINH1,all,sample,2844,38,0.0161586923791587,43,1.3361,GSE201966,GSM6085182_AML03M5_RE
SERPINE1,all,sample,2844,8,0.00414893569543974,8,0.2813,GSE201966,GSM6085182_AML03M5_RE
TIMP1,all,sample,2844,666,0.37060372573229,1286,23.4177,GSE201966,GSM6085182_AML03M5_RE
TIMP2,all,sample,2844,76,0.0307422801145547,91,2.6723,GSE201966,GSM6085182_AML03M5_RE
TIMP3,all,sample,2844,21,0.00646676434214481,28,0.7384,GSE201966,GSM6085182_AML03M5_RE
MMP2,all,sample,2844,17,0.00626527404529243,18,0.5977,GSE201966,GSM6085182_AML03M5_RE
MMP9,all,sample,2844,10,0.0070211052122716,10,0.3516,GSE201966,GSM6085182_AML03M5_RE
MMP14,all,sample,2844,2,0.000640707337758262,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
CTSK,all,sample,2844,4,0.001954369716941,4,0.1406,GSE201966,GSM6085182_AML03M5_RE
ADAMTS1,all,sample,2844,7,0.00344208687747042,7,0.2461,GSE201966,GSM6085182_AML03M5_RE
TGFB1,all,sample,2844,1428,0.858006021267851,2386,50.211,GSE201966,GSM6085182_AML03M5_RE
TGFB2,all,sample,2844,3,0.00147514769517654,3,0.1055,GSE201966,GSM6085182_AML03M5_RE
TGFB3,all,sample,2844,8,0.00386108906262074,8,0.2813,GSE201966,GSM6085182_AML03M5_RE
TGFBR1,all,sample,2844,119,0.0623719669426012,125,4.1842,GSE201966,GSM6085182_AML03M5_RE
TGFBR2,all,sample,2844,177,0.0909558199217607,186,6.2236,GSE201966,GSM6085182_AML03M5_RE
PDGFA,all,sample,2844,15,0.0073557267135713,15,0.5274,GSE201966,GSM6085182_AML03M5_RE
PDGFB,all,sample,2844,20,0.010472179227497,20,0.7032,GSE201966,GSM6085182_AML03M5_RE
PDGFRA,all,sample,2844,18,0.00901789921717776,18,0.6329,GSE201966,GSM6085182_AML03M5_RE
PDGFRB,all,sample,2844,42,0.0222154593680514,44,1.4768,GSE201966,GSM6085182_AML03M5_RE
IGF1,all,sample,2844,13,0.0051546318780862,13,0.4571,GSE201966,GSM6085182_AML03M5_RE
IGF2,all,sample,2844,10,0.00392359824083086,10,0.3516,GSE201966,GSM6085182_AML03M5_RE
VEGFA,all,sample,2844,12,0.00452156797130095,12,0.4219,GSE201966,GSM6085182_AML03M5_RE
FGF2,all,sample,2844,3,0.00143622096855879,3,0.1055,GSE201966,GSM6085182_AML03M5_RE
HGF,all,sample,2844,13,0.00466380909734523,13,0.4571,GSE201966,GSM6085182_AML03M5_RE
OSM,all,sample,2844,30,0.0114493203070495,32,1.0549,GSE201966,GSM6085182_AML03M5_RE
OSMR,all,sample,2844,5,0.00202056124620387,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
IL11,all,sample,2844,1,0.000574500368352056,1,0.0352,GSE201966,GSM6085182_AML03M5_RE
SPP1,all,sample,2844,4,0.00132072108412458,4,0.1406,GSE201966,GSM6085182_AML03M5_RE
IL1B,all,sample,2844,126,0.0532478593400844,295,4.4304,GSE201966,GSM6085182_AML03M5_RE
IL6,all,sample,2844,0,0,0,0,GSE201966,GSM6085182_AML03M5_RE
TNF,all,sample,2844,95,0.0503968101116676,102,3.3404,GSE201966,GSM6085182_AML03M5_RE
CXCL8,all,sample,2844,4,0.00272974918096609,6,0.1406,GSE201966,GSM6085182_AML03M5_RE
IL10,all,sample,2844,2,0.000726034214776899,2,0.0703,GSE201966,GSM6085182_AML03M5_RE
IFNG,all,sample,2844,190,0.105676848417871,224,6.6807,GSE201966,GSM6085182_AML03M5_RE
CCL2,all,sample,2844,0,0,0,0,GSE201966,GSM6085182_AML03M5_RE
CCL3,all,sample,2844,98,0.0595813996803676,167,3.4459,GSE201966,GSM6085182_AML03M5_RE
CCL4,all,sample,2844,1311,0.914629808736503,2909,46.097,GSE201966,GSM6085182_AML03M5_RE
CXCL1,all,sample,2844,6,0.00215653221001229,6,0.211,GSE201966,GSM6085182_AML03M5_RE
CXCL2,all,sample,2844,15,0.00566271254299287,16,0.5274,GSE201966,GSM6085182_AML03M5_RE
IL18,all,sample,2844,138,0.0527211973188538,225,4.8523,GSE201966,GSM6085182_AML03M5_RE
NLRP3,all,sample,2844,26,0.0108783353299656,29,0.9142,GSE201966,GSM6085182_AML03M5_RE
S100A8,all,sample,2844,164,0.136449490770137,2287,5.7665,GSE201966,GSM6085182_AML03M5_RE
S100A9,all,sample,2844,185,0.143701427245277,1592,6.5049,GSE201966,GSM6085182_AML03M5_RE
PF4,all,sample,2844,1,0.000606142117438912,1,0.0352,GSE201966,GSM6085182_AML03M5_RE
PPBP,all,sample,2844,0,0,0,0,GSE201966,GSM6085182_AML03M5_RE
VWF,all,sample,2844,6,0.00362493600563614,6,0.211,GSE201966,GSM6085182_AML03M5_RE
ITGA2B,all,sample,2844,117,0.0472372660162663,236,4.1139,GSE201966,GSM6085182_AML03M5_RE
GP9,all,sample,2844,5,0.00142618858120263,5,0.1758,GSE201966,GSM6085182_AML03M5_RE
NFE2,all,sample,2844,115,0.0467860085890373,171,4.0436,GSE201966,GSM6085182_AML03M5_RE
GATA1,all,sample,2844,53,0.0235082303193252,112,1.8636,GSE201966,GSM6085182_AML03M5_RE
MPL,all,sample,2844,3,0.00151321556701236,3,0.1055,GSE201966,GSM6085182_AML03M5_RE
CALR,all,sample,2844,1447,0.913139395948907,3261,50.879,GSE201966,GSM6085182_AML03M5_RE
JAK2,all,sample,2844,85,0.039459504119894,88,2.9887,GSE201966,GSM6085182_AML03M5_RE
LEPR,all,sample,2844,27,0.0118254562223238,29,0.9494,GSE201966,GSM6085182_AML03M5_RE
CXCL12,all,sample,2844,5,0.00315834719645628,9,0.1758,GSE201966,GSM6085182_AML03M5_RE
KITLG,all,sample,2844,4,0.00169565762247247,4,0.1406,GSE201966,GSM6085182_AML03M5_RE
ANGPT1,all,sample,2844,110,0.0416238962082642,173,3.8678,GSE201966,GSM6085182_AML03M5_RE
VCAM1,all,sample,2844,17,0.0101951517385122,18,0.5977,GSE201966,GSM6085182_AML03M5_RE
NES,all,sample,2844,4,0.00122067122474904,5,0.1406,GSE201966,GSM6085182_AML03M5_RE
NGFR,all,sample,2844,10,0.00462769515695501,10,0.3516,GSE201966,GSM6085182_AML03M5_RE
SFRP2,all,sample,2844,1,0.000479019492179475,1,0.0352,GSE201966,GSM6085182_AML03M5_RE
SFRP4,all,sample,2844,7,0.00239526869121728,7,0.2461,GSE201966,GSM6085182_AML03M5_RE
GREM1,all,sample,2844,109,0.0534671845058146,113,3.8326,GSE201966,GSM6085182_AML03M5_RE
FAP,all,sample,2844,4,0.00187220176738755,4,0.1406,GSE201966,GSM6085182_AML03M5_RE
BGLAP,all,sample,2844,17,0.00755346062861644,17,0.5977,GSE201966,GSM6085182_AML03M5_RE
RUNX2,all,sample,2844,177,0.08070723467449,276,6.2236,GSE201966,GSM6085182_AML03M5_RE
