gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,9924,39,0.00384249852900612,44,0.393,GSE207356,GSM6284912_TS173_04_Sample_D
COL1A2,all,sample,9924,1,5.96947252467828e-05,1,0.0101,GSE207356,GSM6284912_TS173_04_Sample_D
COL3A1,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
COL4A1,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
COL5A1,all,sample,9924,768,0.045858762905222,866,7.7388,GSE207356,GSM6284912_TS173_04_Sample_D
COL5A2,all,sample,9924,7,0.000507260718543061,7,0.0705,GSE207356,GSM6284912_TS173_04_Sample_D
COL6A1,all,sample,9924,598,0.0386987077828441,690,6.0258,GSE207356,GSM6284912_TS173_04_Sample_D
COL6A2,all,sample,9924,517,0.0428620283561149,608,5.2096,GSE207356,GSM6284912_TS173_04_Sample_D
COL6A3,all,sample,9924,32,0.00243836120607657,32,0.3225,GSE207356,GSM6284912_TS173_04_Sample_D
COL11A1,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
FN1,all,sample,9924,41,0.00282058520703349,43,0.4131,GSE207356,GSM6284912_TS173_04_Sample_D
LUM,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
DCN,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
POSTN,all,sample,9924,0,0,0,0,GSE207356,GSM6284912_TS173_04_Sample_D
SPARC,all,sample,9924,1878,0.123375756793602,2538,18.9238,GSE207356,GSM6284912_TS173_04_Sample_D
BGN,all,sample,9924,1,5.30820573181938e-05,1,0.0101,GSE207356,GSM6284912_TS173_04_Sample_D
VCAN,all,sample,9924,49,0.00997141434884998,368,0.4938,GSE207356,GSM6284912_TS173_04_Sample_D
ELN,all,sample,9924,41,0.00239905854508831,41,0.4131,GSE207356,GSM6284912_TS173_04_Sample_D
FBN1,all,sample,9924,12,0.000914256599630271,12,0.1209,GSE207356,GSM6284912_TS173_04_Sample_D
MGP,all,sample,9924,14,0.00126506709614717,14,0.1411,GSE207356,GSM6284912_TS173_04_Sample_D
OGN,all,sample,9924,54,0.00388140844909396,55,0.5441,GSE207356,GSM6284912_TS173_04_Sample_D
ASPN,all,sample,9924,11,0.000810786548936589,11,0.1108,GSE207356,GSM6284912_TS173_04_Sample_D
TNC,all,sample,9924,8,0.000383165311457307,8,0.0806,GSE207356,GSM6284912_TS173_04_Sample_D
LTBP1,all,sample,9924,10,0.00109566975605632,25,0.1008,GSE207356,GSM6284912_TS173_04_Sample_D
LTBP2,all,sample,9924,11,0.001245085316586,11,0.1108,GSE207356,GSM6284912_TS173_04_Sample_D
LOX,all,sample,9924,4,0.000222595072739271,5,0.0403,GSE207356,GSM6284912_TS173_04_Sample_D
LOXL1,all,sample,9924,182,0.0113397651412307,185,1.8339,GSE207356,GSM6284912_TS173_04_Sample_D
LOXL2,all,sample,9924,23,0.00198323396575657,23,0.2318,GSE207356,GSM6284912_TS173_04_Sample_D
PLOD1,all,sample,9924,195,0.0127171961586393,201,1.9649,GSE207356,GSM6284912_TS173_04_Sample_D
PLOD2,all,sample,9924,23,0.00136030885618991,23,0.2318,GSE207356,GSM6284912_TS173_04_Sample_D
