gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,6089,15,0.00245164002513334,16,0.2463,GSE207356,GSM6284913_TS173_05_Sample_E
COL1A2,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
COL3A1,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
COL4A1,all,sample,6089,3,0.000439532385166897,3,0.0493,GSE207356,GSM6284913_TS173_05_Sample_E
COL5A1,all,sample,6089,185,0.0163727577411942,205,3.0383,GSE207356,GSM6284913_TS173_05_Sample_E
COL5A2,all,sample,6089,5,0.000693518683178668,7,0.0821,GSE207356,GSM6284913_TS173_05_Sample_E
COL6A1,all,sample,6089,290,0.0271170986273213,323,4.7627,GSE207356,GSM6284913_TS173_05_Sample_E
COL6A2,all,sample,6089,264,0.0285705095186275,305,4.3357,GSE207356,GSM6284913_TS173_05_Sample_E
COL6A3,all,sample,6089,24,0.00405194438875959,36,0.3942,GSE207356,GSM6284913_TS173_05_Sample_E
COL11A1,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
FN1,all,sample,6089,24,0.00287831954540468,29,0.3942,GSE207356,GSM6284913_TS173_05_Sample_E
LUM,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
DCN,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
POSTN,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
SPARC,all,sample,6089,786,0.079627106703732,978,12.9085,GSE207356,GSM6284913_TS173_05_Sample_E
BGN,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
VCAN,all,sample,6089,345,0.107657808202978,2171,5.666,GSE207356,GSM6284913_TS173_05_Sample_E
ELN,all,sample,6089,11,0.00116426264194657,12,0.1807,GSE207356,GSM6284913_TS173_05_Sample_E
FBN1,all,sample,6089,35,0.00748559342077502,39,0.5748,GSE207356,GSM6284913_TS173_05_Sample_E
MGP,all,sample,6089,2,0.000251696653259072,3,0.0328,GSE207356,GSM6284913_TS173_05_Sample_E
OGN,all,sample,6089,8,0.000703753678340673,8,0.1314,GSE207356,GSM6284913_TS173_05_Sample_E
ASPN,all,sample,6089,3,0.000258811903324081,3,0.0493,GSE207356,GSM6284913_TS173_05_Sample_E
TNC,all,sample,6089,2,0.000316792981968408,2,0.0328,GSE207356,GSM6284913_TS173_05_Sample_E
LTBP1,all,sample,6089,37,0.00855751263738835,179,0.6077,GSE207356,GSM6284913_TS173_05_Sample_E
LTBP2,all,sample,6089,7,0.000724655737239041,7,0.115,GSE207356,GSM6284913_TS173_05_Sample_E
LOX,all,sample,6089,1,7.81607905219619e-05,1,0.0164,GSE207356,GSM6284913_TS173_05_Sample_E
LOXL1,all,sample,6089,93,0.0111146959232136,96,1.5273,GSE207356,GSM6284913_TS173_05_Sample_E
LOXL2,all,sample,6089,19,0.001720021288533,19,0.312,GSE207356,GSM6284913_TS173_05_Sample_E
PLOD1,all,sample,6089,242,0.0297044148131993,252,3.9744,GSE207356,GSM6284913_TS173_05_Sample_E
PLOD2,all,sample,6089,11,0.00129012057882975,15,0.1807,GSE207356,GSM6284913_TS173_05_Sample_E
SERPINH1,all,sample,6089,113,0.0106589429825114,117,1.8558,GSE207356,GSM6284913_TS173_05_Sample_E
SERPINE1,all,sample,6089,164,0.0199601997941003,225,2.6934,GSE207356,GSM6284913_TS173_05_Sample_E
TIMP1,all,sample,6089,1428,0.215867110245038,2717,23.4521,GSE207356,GSM6284913_TS173_05_Sample_E
TIMP2,all,sample,6089,1930,0.317525586187555,2741,31.6965,GSE207356,GSM6284913_TS173_05_Sample_E
TIMP3,all,sample,6089,334,0.0380651675693585,596,5.4853,GSE207356,GSM6284913_TS173_05_Sample_E
MMP2,all,sample,6089,6,0.000535202520464575,6,0.0985,GSE207356,GSM6284913_TS173_05_Sample_E
MMP9,all,sample,6089,9,0.00245805224780121,9,0.1478,GSE207356,GSM6284913_TS173_05_Sample_E
MMP14,all,sample,6089,2,0.000252570701648289,2,0.0328,GSE207356,GSM6284913_TS173_05_Sample_E
CTSK,all,sample,6089,43,0.00622633505698091,43,0.7062,GSE207356,GSM6284913_TS173_05_Sample_E
ADAMTS1,all,sample,6089,4,0.000699610042172582,6,0.0657,GSE207356,GSM6284913_TS173_05_Sample_E
TGFB1,all,sample,6089,3078,0.59165550619162,6358,50.5502,GSE207356,GSM6284913_TS173_05_Sample_E
TGFB2,all,sample,6089,6,0.0006841004107579,7,0.0985,GSE207356,GSM6284913_TS173_05_Sample_E
TGFB3,all,sample,6089,36,0.004223587644234,36,0.5912,GSE207356,GSM6284913_TS173_05_Sample_E
TGFBR1,all,sample,6089,619,0.0798920142421398,690,10.1659,GSE207356,GSM6284913_TS173_05_Sample_E
TGFBR2,all,sample,6089,956,0.142077660622765,1151,15.7004,GSE207356,GSM6284913_TS173_05_Sample_E
PDGFA,all,sample,6089,25,0.00300994895793511,33,0.4106,GSE207356,GSM6284913_TS173_05_Sample_E
PDGFB,all,sample,6089,3,0.000325880993461796,3,0.0493,GSE207356,GSM6284913_TS173_05_Sample_E
PDGFRA,all,sample,6089,1,9.13725388909862e-05,1,0.0164,GSE207356,GSM6284913_TS173_05_Sample_E
PDGFRB,all,sample,6089,15,0.00231193391786727,19,0.2463,GSE207356,GSM6284913_TS173_05_Sample_E
CCN2,all,sample,6089,1,0.000327708254954784,2,0.0164,GSE207356,GSM6284913_TS173_05_Sample_E
CCN1,all,sample,6089,4,0.000603308284266381,4,0.0657,GSE207356,GSM6284913_TS173_05_Sample_E
IGF1,all,sample,6089,10,0.00142316389937908,14,0.1642,GSE207356,GSM6284913_TS173_05_Sample_E
IGF2,all,sample,6089,0,0,0,0,GSE207356,GSM6284913_TS173_05_Sample_E
VEGFA,all,sample,6089,162,0.0274021594537325,203,2.6605,GSE207356,GSM6284913_TS173_05_Sample_E
FGF2,all,sample,6089,1,9.35309575219416e-05,1,0.0164,GSE207356,GSM6284913_TS173_05_Sample_E
HGF,all,sample,6089,265,0.0393644940659042,362,4.3521,GSE207356,GSM6284913_TS173_05_Sample_E
OSM,all,sample,6089,239,0.0299006053195469,297,3.9251,GSE207356,GSM6284913_TS173_05_Sample_E
OSMR,all,sample,6089,6,0.000504793723339978,6,0.0985,GSE207356,GSM6284913_TS173_05_Sample_E
IL11,all,sample,6089,33,0.00323123103018425,41,0.542,GSE207356,GSM6284913_TS173_05_Sample_E
SPP1,all,sample,6089,4,0.0005802038322051,5,0.0657,GSE207356,GSM6284913_TS173_05_Sample_E
IL1B,all,sample,6089,546,0.0799034399278906,1115,8.967,GSE207356,GSM6284913_TS173_05_Sample_E
IL6,all,sample,6089,8,0.000979408006767948,8,0.1314,GSE207356,GSM6284913_TS173_05_Sample_E
TNF,all,sample,6089,277,0.0573240186766408,455,4.5492,GSE207356,GSM6284913_TS173_05_Sample_E
CXCL8,all,sample,6089,3072,1.13223334508274,30230,50.4516,GSE207356,GSM6284913_TS173_05_Sample_E
IL10,all,sample,6089,10,0.00125144681578369,11,0.1642,GSE207356,GSM6284913_TS173_05_Sample_E
IFNG,all,sample,6089,57,0.0161093488246566,196,0.9361,GSE207356,GSM6284913_TS173_05_Sample_E
CCL2,all,sample,6089,2,0.000638594043700813,2,0.0328,GSE207356,GSM6284913_TS173_05_Sample_E
CCL3,all,sample,6089,606,0.146774132455522,3084,9.9524,GSE207356,GSM6284913_TS173_05_Sample_E
CCL4,all,sample,6089,472,0.157647412982122,3322,7.7517,GSE207356,GSM6284913_TS173_05_Sample_E
CXCL1,all,sample,6089,488,0.118952755795246,1033,8.0145,GSE207356,GSM6284913_TS173_05_Sample_E
CXCL2,all,sample,6089,1100,0.196665044870737,3820,18.0654,GSE207356,GSM6284913_TS173_05_Sample_E
IL18,all,sample,6089,2279,0.33207720008708,4716,37.4281,GSE207356,GSM6284913_TS173_05_Sample_E
NLRP3,all,sample,6089,942,0.138411420171948,1526,15.4705,GSE207356,GSM6284913_TS173_05_Sample_E
