gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,1743,29,0.00643974612156047,37,1.6638,GSE227903,1886_R
COL1A2,all,sample,1743,0,0,0,0,GSE227903,1886_R
COL3A1,all,sample,1743,0,0,0,0,GSE227903,1886_R
COL4A1,all,sample,1743,0,0,0,0,GSE227903,1886_R
COL5A1,all,sample,1743,41,0.00952098221464665,46,2.3523,GSE227903,1886_R
COL5A2,all,sample,1743,12,0.00234663598699662,16,0.6885,GSE227903,1886_R
COL6A1,all,sample,1743,99,0.0253946295430223,147,5.6799,GSE227903,1886_R
COL6A2,all,sample,1743,137,0.0375127292286923,204,7.86,GSE227903,1886_R
COL6A3,all,sample,1743,15,0.00240378790163919,15,0.8606,GSE227903,1886_R
COL11A1,all,sample,1743,0,0,0,0,GSE227903,1886_R
FN1,all,sample,1743,19,0.003649282513768,19,1.0901,GSE227903,1886_R
LUM,all,sample,1743,1,0.000159846624742277,1,0.0574,GSE227903,1886_R
DCN,all,sample,1743,0,0,0,0,GSE227903,1886_R
POSTN,all,sample,1743,0,0,0,0,GSE227903,1886_R
SPARC,all,sample,1743,256,0.0544354853240629,405,14.6873,GSE227903,1886_R
BGN,all,sample,1743,0,0,0,0,GSE227903,1886_R
VCAN,all,sample,1743,32,0.0191877880056744,154,1.8359,GSE227903,1886_R
ELN,all,sample,1743,37,0.00894103182174668,43,2.1228,GSE227903,1886_R
FBN1,all,sample,1743,81,0.0192335268920578,103,4.6472,GSE227903,1886_R
MGP,all,sample,1743,28,0.00440108188233202,34,1.6064,GSE227903,1886_R
OGN,all,sample,1743,27,0.00530182474104002,27,1.5491,GSE227903,1886_R
ASPN,all,sample,1743,5,0.000760310963767456,5,0.2869,GSE227903,1886_R
TNC,all,sample,1743,3,0.000773686342728746,3,0.1721,GSE227903,1886_R
LTBP1,all,sample,1743,87,0.0192449628906917,123,4.9914,GSE227903,1886_R
LTBP2,all,sample,1743,2,0.000269788277573744,2,0.1147,GSE227903,1886_R
LOX,all,sample,1743,314,0.0775517193950644,582,18.0149,GSE227903,1886_R
LOXL1,all,sample,1743,80,0.0134487429781991,86,4.5898,GSE227903,1886_R
LOXL2,all,sample,1743,12,0.0022762739272361,13,0.6885,GSE227903,1886_R
PLOD1,all,sample,1743,232,0.043953405436666,269,13.3104,GSE227903,1886_R
PLOD2,all,sample,1743,2,0.000590394082491499,2,0.1147,GSE227903,1886_R
SERPINH1,all,sample,1743,100,0.0170456069452612,110,5.7372,GSE227903,1886_R
SERPINE1,all,sample,1743,530,0.187498088368031,1406,30.4073,GSE227903,1886_R
TIMP1,all,sample,1743,1415,0.812663811627298,7718,81.1819,GSE227903,1886_R
TIMP2,all,sample,1743,964,0.281889843095229,1830,55.3069,GSE227903,1886_R
TIMP3,all,sample,1743,27,0.00717158950546614,49,1.5491,GSE227903,1886_R
MMP2,all,sample,1743,534,0.128145516015576,875,30.6368,GSE227903,1886_R
MMP9,all,sample,1743,35,0.0106465391728797,56,2.008,GSE227903,1886_R
MMP14,all,sample,1743,250,0.0522446288856995,367,14.3431,GSE227903,1886_R
CTSK,all,sample,1743,53,0.00968568976980938,59,3.0407,GSE227903,1886_R
ADAMTS1,all,sample,1743,7,0.00476136885535387,14,0.4016,GSE227903,1886_R
TGFB1,all,sample,1743,1588,0.984572837615633,8097,91.1073,GSE227903,1886_R
TGFB2,all,sample,1743,10,0.00185741656410923,10,0.5737,GSE227903,1886_R
TGFB3,all,sample,1743,86,0.0206161568227243,120,4.934,GSE227903,1886_R
TGFBR1,all,sample,1743,848,0.239270290690746,1529,48.6517,GSE227903,1886_R
TGFBR2,all,sample,1743,898,0.274313256599013,1781,51.5204,GSE227903,1886_R
PDGFA,all,sample,1743,807,0.366262285284521,3329,46.2995,GSE227903,1886_R
PDGFB,all,sample,1743,71,0.0232978400067445,161,4.0734,GSE227903,1886_R
PDGFRA,all,sample,1743,28,0.00529412831997666,30,1.6064,GSE227903,1886_R
PDGFRB,all,sample,1743,370,0.0695681841994144,461,21.2278,GSE227903,1886_R
CCN2,all,sample,1743,3,0.00173063310958963,3,0.1721,GSE227903,1886_R
CCN1,all,sample,1743,31,0.00713866396911797,38,1.7785,GSE227903,1886_R
IGF1,all,sample,1743,4,0.00139624276526834,6,0.2295,GSE227903,1886_R
IGF2,all,sample,1743,0,0,0,0,GSE227903,1886_R
VEGFA,all,sample,1743,492,0.165400156333258,1380,28.2272,GSE227903,1886_R
FGF2,all,sample,1743,11,0.00303778304806367,29,0.6311,GSE227903,1886_R
HGF,all,sample,1743,75,0.0153921932022184,85,4.3029,GSE227903,1886_R
OSM,all,sample,1743,354,0.100105724343635,681,20.3098,GSE227903,1886_R
OSMR,all,sample,1743,13,0.001916657824845,13,0.7458,GSE227903,1886_R
IL11,all,sample,1743,508,0.170633205727921,1368,29.1452,GSE227903,1886_R
SPP1,all,sample,1743,16,0.00543854969096078,48,0.918,GSE227903,1886_R
IL1B,all,sample,1743,619,0.315777963051153,10926,35.5135,GSE227903,1886_R
IL6,all,sample,1743,29,0.0204014119167581,251,1.6638,GSE227903,1886_R
TNF,all,sample,1743,599,0.251311191730127,2463,34.366,GSE227903,1886_R
CXCL8,all,sample,1743,1648,2.58833189959023,119620,94.5496,GSE227903,1886_R
IL10,all,sample,1743,25,0.00558936688656334,36,1.4343,GSE227903,1886_R
IFNG,all,sample,1743,38,0.0323549107675371,149,2.1801,GSE227903,1886_R
CCL2,all,sample,1743,320,0.182293420645731,3273,18.3592,GSE227903,1886_R
CCL3,all,sample,1743,732,0.500429468287028,10693,41.9966,GSE227903,1886_R
CCL4,all,sample,1743,972,0.784242293880742,17252,55.7659,GSE227903,1886_R
CXCL1,all,sample,1743,405,0.205061985040292,2483,23.2358,GSE227903,1886_R
CXCL2,all,sample,1743,952,0.69574119555203,12544,54.6185,GSE227903,1886_R
IL18,all,sample,1743,1281,0.537257180143426,4315,73.494,GSE227903,1886_R
NLRP3,all,sample,1743,668,0.206704027204701,1371,38.3247,GSE227903,1886_R
S100A8,all,sample,1743,45,0.042078212139829,1101,2.5818,GSE227903,1886_R
S100A9,all,sample,1743,137,0.086121886178388,2336,7.86,GSE227903,1886_R
PF4,all,sample,1743,55,0.0216941357907118,810,3.1555,GSE227903,1886_R
PPBP,all,sample,1743,30,0.0110520038469178,362,1.7212,GSE227903,1886_R
VWF,all,sample,1743,18,0.00347954659065418,21,1.0327,GSE227903,1886_R
ITGA2B,all,sample,1743,288,0.0931420463542926,688,16.5232,GSE227903,1886_R
GP9,all,sample,1743,98,0.0226168945355137,130,5.6225,GSE227903,1886_R
NFE2,all,sample,1743,552,0.139844220126782,937,31.6695,GSE227903,1886_R
GATA1,all,sample,1743,57,0.0155429146196972,85,3.2702,GSE227903,1886_R
MPL,all,sample,1743,10,0.00167512710161558,10,0.5737,GSE227903,1886_R
CALR,all,sample,1743,1685,1.69593825681084,27472,96.6724,GSE227903,1886_R
JAK2,all,sample,1743,427,0.0997607942582158,575,24.498,GSE227903,1886_R
LEPR,all,sample,1743,154,0.0387701370714661,271,8.8353,GSE227903,1886_R
CXCL12,all,sample,1743,1,0.000190627194917364,1,0.0574,GSE227903,1886_R
