gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2223,6,0.00198126532347077,6,0.2699,GSE227903,5750_MRD
COL1A2,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
COL3A1,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
COL4A1,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
COL5A1,all,sample,2223,24,0.00525226846655083,29,1.0796,GSE227903,5750_MRD
COL5A2,all,sample,2223,1,0.000461329582838464,1,0.045,GSE227903,5750_MRD
COL6A1,all,sample,2223,9,0.00230732082956867,10,0.4049,GSE227903,5750_MRD
COL6A2,all,sample,2223,15,0.00718531264027538,23,0.6748,GSE227903,5750_MRD
COL6A3,all,sample,2223,25,0.00518003332785649,25,1.1246,GSE227903,5750_MRD
COL11A1,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
FN1,all,sample,2223,20,0.00621474801286334,41,0.8997,GSE227903,5750_MRD
LUM,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
DCN,all,sample,2223,1,0.000137272268743375,1,0.045,GSE227903,5750_MRD
POSTN,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
SPARC,all,sample,2223,383,0.10213240545346,785,17.229,GSE227903,5750_MRD
BGN,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
VCAN,all,sample,2223,1210,0.955784627695478,8465,54.4309,GSE227903,5750_MRD
ELN,all,sample,2223,29,0.00582150322010776,49,1.3045,GSE227903,5750_MRD
FBN1,all,sample,2223,44,0.0100520813244353,58,1.9793,GSE227903,5750_MRD
MGP,all,sample,2223,6,0.00187383201389116,6,0.2699,GSE227903,5750_MRD
OGN,all,sample,2223,14,0.00228276836474594,14,0.6298,GSE227903,5750_MRD
ASPN,all,sample,2223,14,0.00267798737590001,14,0.6298,GSE227903,5750_MRD
TNC,all,sample,2223,0,0,0,0,GSE227903,5750_MRD
LTBP1,all,sample,2223,41,0.0102178000986991,51,1.8444,GSE227903,5750_MRD
LTBP2,all,sample,2223,6,0.00105206499740209,7,0.2699,GSE227903,5750_MRD
LOX,all,sample,2223,12,0.00228140177516873,15,0.5398,GSE227903,5750_MRD
LOXL1,all,sample,2223,27,0.0037535107608178,28,1.2146,GSE227903,5750_MRD
LOXL2,all,sample,2223,11,0.00305790063027949,12,0.4948,GSE227903,5750_MRD
PLOD1,all,sample,2223,163,0.0344881846546762,188,7.3324,GSE227903,5750_MRD
PLOD2,all,sample,2223,42,0.00720104986892632,46,1.8893,GSE227903,5750_MRD
SERPINH1,all,sample,2223,66,0.0122831745020382,73,2.969,GSE227903,5750_MRD
SERPINE1,all,sample,2223,223,0.0615930307797643,352,10.0315,GSE227903,5750_MRD
