gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,5191,1,0.000100323639772193,1,0.0193,GSE239721,PT27A
COL1A2,all,sample,5191,2,0.000298436614145214,3,0.0385,GSE239721,PT27A
COL3A1,all,sample,5191,0,0,0,0,GSE239721,PT27A
COL4A1,all,sample,5191,0,0,0,0,GSE239721,PT27A
COL5A1,all,sample,5191,123,0.0174199918116888,128,2.3695,GSE239721,PT27A
COL5A2,all,sample,5191,4,0.000639257587224409,4,0.0771,GSE239721,PT27A
COL6A1,all,sample,5191,483,0.0771046966888585,552,9.3046,GSE239721,PT27A
COL6A2,all,sample,5191,587,0.0935230988002114,673,11.308,GSE239721,PT27A
COL6A3,all,sample,5191,6,0.000861646672211231,6,0.1156,GSE239721,PT27A
FN1,all,sample,5191,31,0.00476440828641979,37,0.5972,GSE239721,PT27A
LUM,all,sample,5191,3,0.000353339318133757,3,0.0578,GSE239721,PT27A
DCN,all,sample,5191,0,0,0,0,GSE239721,PT27A
POSTN,all,sample,5191,0,0,0,0,GSE239721,PT27A
SPARC,all,sample,5191,2077,0.355322274213411,3229,40.0116,GSE239721,PT27A
BGN,all,sample,5191,4,0.000503988412318631,4,0.0771,GSE239721,PT27A
VCAN,all,sample,5191,8,0.00116986403877523,8,0.1541,GSE239721,PT27A
ELN,all,sample,5191,247,0.0382856036089414,292,4.7582,GSE239721,PT27A
FBN1,all,sample,5191,66,0.00965618257441221,70,1.2714,GSE239721,PT27A
MGP,all,sample,5191,15,0.00192507215002141,16,0.289,GSE239721,PT27A
OGN,all,sample,5191,35,0.00457866953741465,35,0.6742,GSE239721,PT27A
ASPN,all,sample,5191,4,0.000563937165428732,4,0.0771,GSE239721,PT27A
TNC,all,sample,5191,0,0,0,0,GSE239721,PT27A
LTBP1,all,sample,5191,10,0.00161865972586672,10,0.1926,GSE239721,PT27A
LTBP2,all,sample,5191,8,0.00105708618410616,8,0.1541,GSE239721,PT27A
LOX,all,sample,5191,30,0.00422590346701126,31,0.5779,GSE239721,PT27A
LOXL1,all,sample,5191,352,0.0492024984903414,366,6.781,GSE239721,PT27A
LOXL2,all,sample,5191,33,0.00454963467575562,34,0.6357,GSE239721,PT27A
PLOD1,all,sample,5191,362,0.0491533483936035,385,6.9736,GSE239721,PT27A
PLOD2,all,sample,5191,116,0.0173480177947065,123,2.2346,GSE239721,PT27A
SERPINH1,all,sample,5191,465,0.0668375168775628,514,8.9578,GSE239721,PT27A
SERPINE1,all,sample,5191,822,0.16660485324021,1820,15.8351,GSE239721,PT27A
TIMP1,all,sample,5191,3752,0.860229138064432,8813,72.2789,GSE239721,PT27A
TIMP2,all,sample,5191,470,0.0659244170132461,495,9.0541,GSE239721,PT27A
TIMP3,all,sample,5191,2469,0.598290098739769,7565,47.5631,GSE239721,PT27A
MMP2,all,sample,5191,255,0.0353422523005469,268,4.9123,GSE239721,PT27A
MMP9,all,sample,5191,12,0.00183535129770386,13,0.2312,GSE239721,PT27A
MMP14,all,sample,5191,96,0.0133629461752353,99,1.8494,GSE239721,PT27A
CTSK,all,sample,5191,57,0.00855261322733665,58,1.0981,GSE239721,PT27A
ADAMTS1,all,sample,5191,221,0.0396935178773261,368,4.2574,GSE239721,PT27A
TGFB1,all,sample,5191,2498,0.435392882785133,3709,48.1217,GSE239721,PT27A
TGFB2,all,sample,5191,17,0.00248560956219986,17,0.3275,GSE239721,PT27A
TGFB3,all,sample,5191,8,0.00130002069172502,8,0.1541,GSE239721,PT27A
TGFBR1,all,sample,5191,327,0.0461546598370529,348,6.2994,GSE239721,PT27A
TGFBR2,all,sample,5191,948,0.145294457427556,1107,18.2624,GSE239721,PT27A
PDGFA,all,sample,5191,62,0.00914974784786949,63,1.1944,GSE239721,PT27A
PDGFB,all,sample,5191,2,0.000356687997122193,2,0.0385,GSE239721,PT27A
PDGFRA,all,sample,5191,3,0.000360808697514914,3,0.0578,GSE239721,PT27A
PDGFRB,all,sample,5191,79,0.0111721686376138,82,1.5219,GSE239721,PT27A
CCN2,all,sample,5191,24,0.00357592296514478,28,0.4623,GSE239721,PT27A
CCN1,all,sample,5191,869,0.171432041742189,1793,16.7405,GSE239721,PT27A
IGF1,all,sample,5191,7,0.00102855387010377,7,0.1348,GSE239721,PT27A
IGF2,all,sample,5191,0,0,0,0,GSE239721,PT27A
VEGFA,all,sample,5191,426,0.0634588931057826,486,8.2065,GSE239721,PT27A
FGF2,all,sample,5191,0,0,0,0,GSE239721,PT27A
HGF,all,sample,5191,52,0.00723816337685529,52,1.0017,GSE239721,PT27A
OSM,all,sample,5191,608,0.0997670124918161,866,11.7126,GSE239721,PT27A
