gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,4958,2037,0.613770977415605,74042,41.0851,GSE253355,GSM8019212_H14_MACS
COL1A2,all,sample,4958,2662,1.1509177058615,74987,53.691,GSE253355,GSM8019212_H14_MACS
COL3A1,all,sample,4958,1908,0.799825398940962,28590,38.4833,GSE253355,GSM8019212_H14_MACS
COL4A1,all,sample,4958,1423,0.388226532344314,7429,28.7011,GSE253355,GSM8019212_H14_MACS
COL5A1,all,sample,4958,1180,0.217255345570816,3113,23.7999,GSE253355,GSM8019212_H14_MACS
COL5A2,all,sample,4958,1927,0.555150972248481,13048,38.8665,GSE253355,GSM8019212_H14_MACS
COL6A1,all,sample,4958,2169,0.636556847949918,13028,43.7475,GSE253355,GSM8019212_H14_MACS
COL6A2,all,sample,4958,2169,0.713263964017039,14142,43.7475,GSE253355,GSM8019212_H14_MACS
COL6A3,all,sample,4958,1343,0.365146420139078,7178,27.0875,GSE253355,GSM8019212_H14_MACS
COL11A1,all,sample,4958,1211,0.31119919502557,4989,24.4252,GSE253355,GSM8019212_H14_MACS
FN1,all,sample,4958,2111,0.748316357259291,17063,42.5777,GSE253355,GSM8019212_H14_MACS
LUM,all,sample,4958,2181,0.951065419243166,27776,43.9895,GSE253355,GSM8019212_H14_MACS
DCN,all,sample,4958,2436,1.25601714350818,44474,49.1327,GSE253355,GSM8019212_H14_MACS
POSTN,all,sample,4958,95,0.0251530059435856,484,1.9161,GSE253355,GSM8019212_H14_MACS
SPARC,all,sample,4958,2702,0.900032220926729,32261,54.4978,GSE253355,GSM8019212_H14_MACS
BGN,all,sample,4958,1710,0.462356077815257,7593,34.4897,GSE253355,GSM8019212_H14_MACS
VCAN,all,sample,4958,2030,1.19932565286648,111251,40.9439,GSE253355,GSM8019212_H14_MACS
ELN,all,sample,4958,303,0.0547707477081466,693,6.1113,GSE253355,GSM8019212_H14_MACS
FBN1,all,sample,4958,2287,0.971262110269437,33194,46.1275,GSE253355,GSM8019212_H14_MACS
MGP,all,sample,4958,2477,1.21283283308701,61053,49.9597,GSE253355,GSM8019212_H14_MACS
OGN,all,sample,4958,332,0.0488204040152027,561,6.6962,GSE253355,GSM8019212_H14_MACS
ASPN,all,sample,4958,301,0.0414619693867621,494,6.071,GSE253355,GSM8019212_H14_MACS
TNC,all,sample,4958,1607,0.748197386954496,31673,32.4123,GSE253355,GSM8019212_H14_MACS
LTBP1,all,sample,4958,2097,0.524830967665192,8903,42.2953,GSE253355,GSM8019212_H14_MACS
LTBP2,all,sample,4958,1828,0.538054892651668,9113,36.8697,GSE253355,GSM8019212_H14_MACS
LOX,all,sample,4958,981,0.184000126897082,2183,19.7862,GSE253355,GSM8019212_H14_MACS
LOXL1,all,sample,4958,426,0.0604541640786658,688,8.5922,GSE253355,GSM8019212_H14_MACS
LOXL2,all,sample,4958,706,0.121039626134616,1849,14.2396,GSE253355,GSM8019212_H14_MACS
PLOD1,all,sample,4958,693,0.0737152950495538,853,13.9774,GSE253355,GSM8019212_H14_MACS
PLOD2,all,sample,4958,1316,0.295480581597573,5348,26.543,GSE253355,GSM8019212_H14_MACS
SERPINH1,all,sample,4958,1467,0.281004176666113,3661,29.5885,GSE253355,GSM8019212_H14_MACS
SERPINE1,all,sample,4958,210,0.0538420151484612,1341,4.2356,GSE253355,GSM8019212_H14_MACS
TIMP1,all,sample,4958,2975,0.677868035414503,13299,60.004,GSE253355,GSM8019212_H14_MACS
TIMP2,all,sample,4958,3278,0.713261548811059,11647,66.1154,GSE253355,GSM8019212_H14_MACS
TIMP3,all,sample,4958,2377,0.972591044919126,27988,47.9427,GSE253355,GSM8019212_H14_MACS
MMP2,all,sample,4958,1608,0.470953908968671,8788,32.4324,GSE253355,GSM8019212_H14_MACS
MMP9,all,sample,4958,56,0.0286684912570526,265,1.1295,GSE253355,GSM8019212_H14_MACS
MMP14,all,sample,4958,991,0.17322147926438,2071,19.9879,GSE253355,GSM8019212_H14_MACS
CTSK,all,sample,4958,1164,0.224912139012684,2386,23.4772,GSE253355,GSM8019212_H14_MACS
ADAMTS1,all,sample,4958,1137,0.336969781448006,8645,22.9326,GSE253355,GSM8019212_H14_MACS
TGFB1,all,sample,4958,2726,0.540101312898756,10514,54.9818,GSE253355,GSM8019212_H14_MACS
TGFB2,all,sample,4958,368,0.0712728195290177,985,7.4223,GSE253355,GSM8019212_H14_MACS
TGFB3,all,sample,4958,291,0.0366737098859604,384,5.8693,GSE253355,GSM8019212_H14_MACS
TGFBR1,all,sample,4958,1412,0.213721087115229,2855,28.4792,GSE253355,GSM8019212_H14_MACS
TGFBR2,all,sample,4958,2274,0.660203192258206,11996,45.8653,GSE253355,GSM8019212_H14_MACS
PDGFA,all,sample,4958,623,0.106365212431078,1315,12.5656,GSE253355,GSM8019212_H14_MACS
PDGFB,all,sample,4958,145,0.0266915440935955,224,2.9246,GSE253355,GSM8019212_H14_MACS
PDGFRA,all,sample,4958,1823,0.565528702411956,9754,36.7689,GSE253355,GSM8019212_H14_MACS
PDGFRB,all,sample,4958,1697,0.442345955849576,6748,34.2275,GSE253355,GSM8019212_H14_MACS
IGF1,all,sample,4958,2002,0.422573151582418,14451,40.3792,GSE253355,GSM8019212_H14_MACS
IGF2,all,sample,4958,0,0,0,0,GSE253355,GSM8019212_H14_MACS
VEGFA,all,sample,4958,1311,0.197420687943503,2865,26.4421,GSE253355,GSM8019212_H14_MACS
FGF2,all,sample,4958,191,0.0292453345865473,420,3.8524,GSE253355,GSM8019212_H14_MACS
HGF,all,sample,4958,802,0.136113719232298,2165,16.1759,GSE253355,GSM8019212_H14_MACS
OSM,all,sample,4958,32,0.00564895433856914,61,0.6454,GSE253355,GSM8019212_H14_MACS
OSMR,all,sample,4958,1771,0.552039062429733,16038,35.72,GSE253355,GSM8019212_H14_MACS
IL11,all,sample,4958,3,0.000299485008418072,3,0.0605,GSE253355,GSM8019212_H14_MACS
SPP1,all,sample,4958,792,0.333617649959075,46154,15.9742,GSE253355,GSM8019212_H14_MACS
IL1B,all,sample,4958,27,0.00895416015101885,436,0.5446,GSE253355,GSM8019212_H14_MACS
IL6,all,sample,4958,147,0.0325603546736772,682,2.9649,GSE253355,GSM8019212_H14_MACS
TNF,all,sample,4958,20,0.00323293881449703,34,0.4034,GSE253355,GSM8019212_H14_MACS
CXCL8,all,sample,4958,184,0.0741842083180015,2311,3.7112,GSE253355,GSM8019212_H14_MACS
IL10,all,sample,4958,9,0.000974369422168364,13,0.1815,GSE253355,GSM8019212_H14_MACS
IFNG,all,sample,4958,27,0.00359236433806697,73,0.5446,GSE253355,GSM8019212_H14_MACS
CCL2,all,sample,4958,667,0.19275315729441,4606,13.453,GSE253355,GSM8019212_H14_MACS
CCL3,all,sample,4958,168,0.0421797937105859,4629,3.3885,GSE253355,GSM8019212_H14_MACS
CCL4,all,sample,4958,138,0.0445535357025536,5916,2.7834,GSE253355,GSM8019212_H14_MACS
CXCL1,all,sample,4958,39,0.0127698451566261,142,0.7866,GSE253355,GSM8019212_H14_MACS
CXCL2,all,sample,4958,391,0.123179745046913,3915,7.8862,GSE253355,GSM8019212_H14_MACS
IL18,all,sample,4958,189,0.0238812319578785,269,3.812,GSE253355,GSM8019212_H14_MACS
NLRP3,all,sample,4958,28,0.00742061429255139,137,0.5647,GSE253355,GSM8019212_H14_MACS
S100A8,all,sample,4958,263,0.146114431080409,11032,5.3046,GSE253355,GSM8019212_H14_MACS
S100A9,all,sample,4958,212,0.137126004176886,7728,4.2759,GSE253355,GSM8019212_H14_MACS
PF4,all,sample,4958,76,0.0232429039850373,506,1.5329,GSE253355,GSM8019212_H14_MACS
PPBP,all,sample,4958,82,0.0270336470347738,709,1.6539,GSE253355,GSM8019212_H14_MACS
VWF,all,sample,4958,374,0.132388203362219,3133,7.5434,GSE253355,GSM8019212_H14_MACS
ITGA2B,all,sample,4958,84,0.0110548791198226,110,1.6942,GSE253355,GSM8019212_H14_MACS
GP9,all,sample,4958,26,0.0077745338898745,51,0.5244,GSE253355,GSM8019212_H14_MACS
NFE2,all,sample,4958,34,0.00657693357370834,40,0.6858,GSE253355,GSM8019212_H14_MACS
GATA1,all,sample,4958,14,0.00255315804159014,24,0.2824,GSE253355,GSM8019212_H14_MACS
MPL,all,sample,4958,9,0.00121685395475131,9,0.1815,GSE253355,GSM8019212_H14_MACS
CALR,all,sample,4958,3614,0.942401153669543,23389,72.8923,GSE253355,GSM8019212_H14_MACS
JAK2,all,sample,4958,2143,0.471313543349187,8170,43.2231,GSE253355,GSM8019212_H14_MACS
LEPR,all,sample,4958,2250,1.08839305601813,50529,45.3812,GSE253355,GSM8019212_H14_MACS
CXCL12,all,sample,4958,2921,1.6408943607944,147950,58.9149,GSE253355,GSM8019212_H14_MACS
KITLG,all,sample,4958,1837,0.521176801509907,9172,37.0512,GSE253355,GSM8019212_H14_MACS
ANGPT1,all,sample,4958,1583,0.661534310988453,21272,31.9282,GSE253355,GSM8019212_H14_MACS
VCAM1,all,sample,4958,1742,0.666363737061121,18947,35.1351,GSE253355,GSM8019212_H14_MACS
NES,all,sample,4958,319,0.0651407907395768,651,6.434,GSE253355,GSM8019212_H14_MACS
NGFR,all,sample,4958,903,0.159696523513921,1757,18.213,GSE253355,GSM8019212_H14_MACS
SFRP2,all,sample,4958,17,0.00468471557286617,62,0.3429,GSE253355,GSM8019212_H14_MACS
SFRP4,all,sample,4958,646,0.230560513685858,6196,13.0294,GSE253355,GSM8019212_H14_MACS
GREM1,all,sample,4958,17,0.00231065493756957,29,0.3429,GSE253355,GSM8019212_H14_MACS
FAP,all,sample,4958,344,0.0504781699607439,590,6.9383,GSE253355,GSM8019212_H14_MACS
BGLAP,all,sample,4958,625,0.22556448848522,5635,12.6059,GSE253355,GSM8019212_H14_MACS
RUNX2,all,sample,4958,2249,0.83676985704815,28278,45.361,GSE253355,GSM8019212_H14_MACS
SP7,all,sample,4958,219,0.0348100030699606,340,4.4171,GSE253355,GSM8019212_H14_MACS
ACTA2,all,sample,4958,1015,0.343658479456279,9348,20.472,GSE253355,GSM8019212_H14_MACS
TAGLN,all,sample,4958,2310,0.98813131683783,28491,46.5914,GSE253355,GSM8019212_H14_MACS
RGS5,all,sample,4958,400,0.173175108279332,8071,8.0678,GSE253355,GSM8019212_H14_MACS
MYH11,all,sample,4958,386,0.116893748612855,4051,7.7854,GSE253355,GSM8019212_H14_MACS
CDH5,all,sample,4958,369,0.0923966970650021,1152,7.4425,GSE253355,GSM8019212_H14_MACS
PECAM1,all,sample,4958,1952,0.442691560369817,12744,39.3707,GSE253355,GSM8019212_H14_MACS
EMCN,all,sample,4958,488,0.174088713279259,4063,9.8427,GSE253355,GSM8019212_H14_MACS
HIF1A,all,sample,4958,2422,0.592079754041184,9857,48.8503,GSE253355,GSM8019212_H14_MACS
EPAS1,all,sample,4958,2949,1.03909585337648,22071,59.4796,GSE253355,GSM8019212_H14_MACS
CA9,all,sample,4958,13,0.00169124533049762,22,0.2622,GSE253355,GSM8019212_H14_MACS
LDHA,all,sample,4958,2838,0.526579933809455,8573,57.2408,GSE253355,GSM8019212_H14_MACS
SLC2A1,all,sample,4958,359,0.0325417540697806,485,7.2408,GSE253355,GSM8019212_H14_MACS
PGK1,all,sample,4958,2436,0.34719604977942,4842,49.1327,GSE253355,GSM8019212_H14_MACS
ADM,all,sample,4958,449,0.0636953035276476,930,9.0561,GSE253355,GSM8019212_H14_MACS
BNIP3,all,sample,4958,1509,0.175454402047323,2367,30.4357,GSE253355,GSM8019212_H14_MACS
NDRG1,all,sample,4958,2174,0.388816736007205,6363,43.8483,GSE253355,GSM8019212_H14_MACS
SNAI1,all,sample,4958,762,0.12373070338246,1285,15.3691,GSE253355,GSM8019212_H14_MACS
SNAI2,all,sample,4958,1402,0.322685382816073,4205,28.2775,GSE253355,GSM8019212_H14_MACS
TWIST1,all,sample,4958,1176,0.246046174774899,3338,23.7192,GSE253355,GSM8019212_H14_MACS
ZEB1,all,sample,4958,2828,0.821690426857674,18754,57.0391,GSE253355,GSM8019212_H14_MACS
ZEB2,all,sample,4958,2412,0.843518289542788,16993,48.6486,GSE253355,GSM8019212_H14_MACS
