gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,5113,2271,0.695490649291296,39189,44.4162,GSE253355,GSM8019214_H23
COL1A2,all,sample,5113,2962,1.18589245934579,43247,57.9308,GSE253355,GSM8019214_H23
COL3A1,all,sample,5113,2157,0.887157302551679,23168,42.1866,GSE253355,GSM8019214_H23
COL4A1,all,sample,5113,1716,0.518756818739548,5972,33.5615,GSE253355,GSM8019214_H23
COL5A1,all,sample,5113,1074,0.229751746849953,2112,21.0053,GSE253355,GSM8019214_H23
COL5A2,all,sample,5113,2196,0.664727768281992,8077,42.9493,GSE253355,GSM8019214_H23
COL6A1,all,sample,5113,2204,0.669949045817388,8683,43.1058,GSE253355,GSM8019214_H23
COL6A2,all,sample,5113,2480,0.858593626760778,12868,48.5038,GSE253355,GSM8019214_H23
COL6A3,all,sample,5113,1145,0.358949972552491,5274,22.3939,GSE253355,GSM8019214_H23
COL11A1,all,sample,5113,1010,0.280027706213678,2731,19.7536,GSE253355,GSM8019214_H23
FN1,all,sample,5113,2579,0.929933211179288,14080,50.4401,GSE253355,GSM8019214_H23
LUM,all,sample,5113,2708,1.21791531967519,27656,52.963,GSE253355,GSM8019214_H23
DCN,all,sample,5113,3044,1.743333739499,69934,59.5345,GSE253355,GSM8019214_H23
POSTN,all,sample,5113,41,0.0106753362014974,144,0.8019,GSE253355,GSM8019214_H23
SPARC,all,sample,5113,2752,0.849032758254224,18231,53.8236,GSE253355,GSM8019214_H23
BGN,all,sample,5113,1898,0.557546414615275,6490,37.1211,GSE253355,GSM8019214_H23
VCAN,all,sample,5113,1861,0.713875228278035,17816,36.3974,GSE253355,GSM8019214_H23
ELN,all,sample,5113,448,0.0972137323553406,707,8.762,GSE253355,GSM8019214_H23
FBN1,all,sample,5113,2439,0.794638467706244,10508,47.7019,GSE253355,GSM8019214_H23
MGP,all,sample,5113,3048,1.55314158566905,73826,59.6128,GSE253355,GSM8019214_H23
OGN,all,sample,5113,392,0.0827653387602206,809,7.6667,GSE253355,GSM8019214_H23
ASPN,all,sample,5113,440,0.10694283716482,1321,8.6055,GSE253355,GSM8019214_H23
TNC,all,sample,5113,1225,0.452747601888244,7190,23.9585,GSE253355,GSM8019214_H23
LTBP1,all,sample,5113,2084,0.611817811556811,6362,40.7588,GSE253355,GSM8019214_H23
LTBP2,all,sample,5113,1640,0.431101433340972,3842,32.0751,GSE253355,GSM8019214_H23
LOX,all,sample,5113,821,0.167147530094529,1310,16.0571,GSE253355,GSM8019214_H23
