gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,15194,27,0.00169487259776888,35,0.1777,Petti2019,809653
COL1A2,all,sample,15194,1,0.000143821653142229,2,0.0066,Petti2019,809653
COL3A1,all,sample,15194,0,0,0,0,Petti2019,809653
COL4A1,all,sample,15194,4,0.000188807483899091,4,0.0263,Petti2019,809653
COL5A1,all,sample,15194,173,0.00738697307067009,189,1.1386,Petti2019,809653
COL5A2,all,sample,15194,13,0.000928234675466815,13,0.0856,Petti2019,809653
COL6A1,all,sample,15194,138,0.00835218081932816,156,0.9083,Petti2019,809653
COL6A2,all,sample,15194,232,0.0200406016707634,252,1.5269,Petti2019,809653
COL6A3,all,sample,15194,24,0.0018821541802935,27,0.158,Petti2019,809653
COL11A1,all,sample,15194,0,0,0,0,Petti2019,809653
FN1,all,sample,15194,29,0.00169695552853295,34,0.1909,Petti2019,809653
LUM,all,sample,15194,1,0.000199530176196626,5,0.0066,Petti2019,809653
DCN,all,sample,15194,1,0.000105215602863205,1,0.0066,Petti2019,809653
POSTN,all,sample,15194,0,0,0,0,Petti2019,809653
SPARC,all,sample,15194,1611,0.0837973607220611,2588,10.6029,Petti2019,809653
BGN,all,sample,15194,1,0.000199530176196626,5,0.0066,Petti2019,809653
VCAN,all,sample,15194,920,0.107313162552034,4081,6.055,Petti2019,809653
ELN,all,sample,15194,45,0.00202873523685431,50,0.2962,Petti2019,809653
FBN1,all,sample,15194,145,0.00639548503530255,159,0.9543,Petti2019,809653
MGP,all,sample,15194,20,0.00173664057882433,22,0.1316,Petti2019,809653
OGN,all,sample,15194,29,0.00179980664656789,31,0.1909,Petti2019,809653
ASPN,all,sample,15194,3,0.000165899674108832,3,0.0197,Petti2019,809653
TNC,all,sample,15194,3,0.000111264550452485,3,0.0197,Petti2019,809653
LTBP1,all,sample,15194,31,0.00181754047322443,77,0.204,Petti2019,809653
LTBP2,all,sample,15194,26,0.00176218291621151,27,0.1711,Petti2019,809653
LOX,all,sample,15194,49,0.00218333702027398,55,0.3225,Petti2019,809653
LOXL1,all,sample,15194,268,0.0122311472519474,286,1.7639,Petti2019,809653
LOXL2,all,sample,15194,55,0.00439833934943014,58,0.362,Petti2019,809653
PLOD1,all,sample,15194,1297,0.0689511820786435,1591,8.5363,Petti2019,809653
PLOD2,all,sample,15194,30,0.00181248179246099,41,0.1974,Petti2019,809653
SERPINH1,all,sample,15194,743,0.0366783407157675,836,4.8901,Petti2019,809653
SERPINE1,all,sample,15194,95,0.00538000737733434,155,0.6252,Petti2019,809653
TIMP1,all,sample,15194,6512,0.65076528135033,22756,42.859,Petti2019,809653
TIMP2,all,sample,15194,1731,0.0977671507058347,2269,11.3927,Petti2019,809653
TIMP3,all,sample,15194,195,0.0101949073179769,327,1.2834,Petti2019,809653
