gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,4542,14,0.00376413092359718,16,0.3082,Petti2019,ND_083017
COL1A2,all,sample,4542,2,0.000631602011034326,2,0.044,Petti2019,ND_083017
COL3A1,all,sample,4542,1,0.000387139535782425,1,0.022,Petti2019,ND_083017
COL4A1,all,sample,4542,0,0,0,0,Petti2019,ND_083017
COL5A1,all,sample,4542,10,0.00151938900618986,10,0.2202,Petti2019,ND_083017
COL5A2,all,sample,4542,0,0,0,0,Petti2019,ND_083017
COL6A1,all,sample,4542,17,0.00452860149221952,18,0.3743,Petti2019,ND_083017
COL6A2,all,sample,4542,79,0.0258453688828989,93,1.7393,Petti2019,ND_083017
COL6A3,all,sample,4542,32,0.00820253079003922,32,0.7045,Petti2019,ND_083017
COL11A1,all,sample,4542,0,0,0,0,Petti2019,ND_083017
FN1,all,sample,4542,38,0.0104332288515918,40,0.8366,Petti2019,ND_083017
LUM,all,sample,4542,1,0.000387139535782425,1,0.022,Petti2019,ND_083017
DCN,all,sample,4542,1,0.000602150188243477,3,0.022,Petti2019,ND_083017
POSTN,all,sample,4542,0,0,0,0,Petti2019,ND_083017
SPARC,all,sample,4542,73,0.0167697100081858,92,1.6072,Petti2019,ND_083017
BGN,all,sample,4542,0,0,0,0,Petti2019,ND_083017
VCAN,all,sample,4542,513,0.226897201540981,1551,11.2946,Petti2019,ND_083017
ELN,all,sample,4542,5,0.000954358972729876,5,0.1101,Petti2019,ND_083017
FBN1,all,sample,4542,25,0.00415490733267438,29,0.5504,Petti2019,ND_083017
MGP,all,sample,4542,9,0.00252859947002996,14,0.1982,Petti2019,ND_083017
OGN,all,sample,4542,0,0,0,0,Petti2019,ND_083017
ASPN,all,sample,4542,1,8.63194288079815e-05,1,0.022,Petti2019,ND_083017
TNC,all,sample,4542,2,0.000400546283701361,2,0.044,Petti2019,ND_083017
LTBP1,all,sample,4542,23,0.00589091558451699,26,0.5064,Petti2019,ND_083017
LTBP2,all,sample,4542,3,0.000773540166341658,4,0.0661,Petti2019,ND_083017
LOX,all,sample,4542,3,0.000385919900642084,3,0.0661,Petti2019,ND_083017
LOXL1,all,sample,4542,20,0.00530072626690215,20,0.4403,Petti2019,ND_083017
LOXL2,all,sample,4542,6,0.00153382311734715,7,0.1321,Petti2019,ND_083017
PLOD1,all,sample,4542,93,0.0235220306116052,97,2.0476,Petti2019,ND_083017
PLOD2,all,sample,4542,26,0.00330221574547265,28,0.5724,Petti2019,ND_083017
SERPINH1,all,sample,4542,52,0.0124386347370892,54,1.1449,Petti2019,ND_083017
