gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,2577,4,0.00248558622527903,4,0.1552,Petti2019,Normal_sorted_170531
COL1A2,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
COL3A1,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
COL4A1,all,sample,2577,2,0.000693230163077852,2,0.0776,Petti2019,Normal_sorted_170531
COL5A1,all,sample,2577,14,0.00468843017504593,14,0.5433,Petti2019,Normal_sorted_170531
COL5A2,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
COL6A1,all,sample,2577,1,0.000564475094645299,1,0.0388,Petti2019,Normal_sorted_170531
COL6A2,all,sample,2577,44,0.0278577809912854,47,1.7074,Petti2019,Normal_sorted_170531
COL6A3,all,sample,2577,53,0.0295114535339015,55,2.0567,Petti2019,Normal_sorted_170531
COL11A1,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
FN1,all,sample,2577,18,0.00920745854146195,19,0.6985,Petti2019,Normal_sorted_170531
LUM,all,sample,2577,1,0.000406568923456203,1,0.0388,Petti2019,Normal_sorted_170531
DCN,all,sample,2577,1,0.000429733264288439,2,0.0388,Petti2019,Normal_sorted_170531
POSTN,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
SPARC,all,sample,2577,67,0.0271016863084594,80,2.5999,Petti2019,Normal_sorted_170531
BGN,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
VCAN,all,sample,2577,607,0.575382299086374,2961,23.5545,Petti2019,Normal_sorted_170531
ELN,all,sample,2577,2,0.000725007364964599,2,0.0776,Petti2019,Normal_sorted_170531
FBN1,all,sample,2577,8,0.00306269208947416,8,0.3104,Petti2019,Normal_sorted_170531
MGP,all,sample,2577,2,0.00154099531811631,2,0.0776,Petti2019,Normal_sorted_170531
OGN,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
ASPN,all,sample,2577,2,0.000650030956925603,2,0.0776,Petti2019,Normal_sorted_170531
TNC,all,sample,2577,3,0.00111183624741305,3,0.1164,Petti2019,Normal_sorted_170531
LTBP1,all,sample,2577,14,0.00643389259688184,20,0.5433,Petti2019,Normal_sorted_170531
LTBP2,all,sample,2577,3,0.00150968057545868,3,0.1164,Petti2019,Normal_sorted_170531
LOX,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
LOXL1,all,sample,2577,10,0.00437670684412647,10,0.388,Petti2019,Normal_sorted_170531
LOXL2,all,sample,2577,3,0.00135706975762933,3,0.1164,Petti2019,Normal_sorted_170531
PLOD1,all,sample,2577,53,0.0271322634288396,53,2.0567,Petti2019,Normal_sorted_170531
PLOD2,all,sample,2577,31,0.0106834782214235,34,1.2029,Petti2019,Normal_sorted_170531
SERPINH1,all,sample,2577,16,0.00637397765296857,16,0.6209,Petti2019,Normal_sorted_170531
SERPINE1,all,sample,2577,1,0.000568313841705554,1,0.0388,Petti2019,Normal_sorted_170531
TIMP1,all,sample,2577,713,0.434718947878208,1250,27.6678,Petti2019,Normal_sorted_170531
TIMP2,all,sample,2577,256,0.13400377386408,328,9.934,Petti2019,Normal_sorted_170531
TIMP3,all,sample,2577,13,0.00450880749313688,13,0.5045,Petti2019,Normal_sorted_170531
MMP2,all,sample,2577,21,0.00680703355047425,23,0.8149,Petti2019,Normal_sorted_170531
MMP9,all,sample,2577,9,0.00480511231635046,9,0.3492,Petti2019,Normal_sorted_170531
MMP14,all,sample,2577,11,0.00461158131906687,11,0.4269,Petti2019,Normal_sorted_170531
CTSK,all,sample,2577,15,0.00707994619448364,15,0.5821,Petti2019,Normal_sorted_170531
ADAMTS1,all,sample,2577,2,0.00108944166560671,2,0.0776,Petti2019,Normal_sorted_170531
TGFB1,all,sample,2577,652,0.369999185172362,794,25.3007,Petti2019,Normal_sorted_170531
TGFB2,all,sample,2577,1,0.000184055476338382,1,0.0388,Petti2019,Normal_sorted_170531
TGFB3,all,sample,2577,6,0.00258678042164747,6,0.2328,Petti2019,Normal_sorted_170531
TGFBR1,all,sample,2577,120,0.0615971375760141,125,4.6566,Petti2019,Normal_sorted_170531
TGFBR2,all,sample,2577,316,0.169351906022089,348,12.2623,Petti2019,Normal_sorted_170531
PDGFA,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
PDGFB,all,sample,2577,4,0.002569578515849,4,0.1552,Petti2019,Normal_sorted_170531
PDGFRA,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
PDGFRB,all,sample,2577,8,0.00396699039990711,8,0.3104,Petti2019,Normal_sorted_170531
IGF1,all,sample,2577,6,0.00256691967466868,6,0.2328,Petti2019,Normal_sorted_170531
IGF2,all,sample,2577,0,0,0,0,Petti2019,Normal_sorted_170531
VEGFA,all,sample,2577,78,0.0422679608674376,92,3.0268,Petti2019,Normal_sorted_170531
FGF2,all,sample,2577,2,0.000893861161457505,2,0.0776,Petti2019,Normal_sorted_170531
