gene,stratum,level,n_samples,median_pct_nonzero,p90_pct_nonzero,frac_samples_gt1pct,mean_lognorm,category
VIM,B_Plasma,bin,132,70.8207,93.5484,1,1.56147469873944,emt
CALR,B_Plasma,bin,132,52.74075,83.25356,1,0.876348479957474,megakaryocyte_fibrosis_axis
HIF1A,B_Plasma,bin,132,33.4098,62.24206,0.984848484848485,0.553301787091385,hypoxia
PLAC8,B_Plasma,bin,132,33.3333,54.5455,1,0.502614301481058,monocyte_marker
PGK1,B_Plasma,bin,132,31.4003,63.7148,1,0.455887408976777,hypoxia
LDHA,B_Plasma,bin,132,30.09435,65.1817,1,0.47886320598191,hypoxia
ZEB2,B_Plasma,bin,132,26.73165,57.88942,0.992424242424242,0.503869615706242,emt
TGFB1,B_Plasma,bin,132,24.88165,60.88285,0.977272727272727,0.367538840104419,profibrotic_cytokine_gf
SELL,B_Plasma,bin,132,18.05935,55.12601,0.992424242424242,0.402907162630631,monocyte_marker
TGFBR2,B_Plasma,bin,132,17.68025,35.70451,0.977272727272727,0.262662031822622,profibrotic_cytokine_gf
ZEB1,B_Plasma,bin,132,13.37005,54.6519200000001,0.984848484848485,0.255939049407148,emt
TIMP1,B_Plasma,bin,132,9.2229,40.6601,0.946969696969697,0.177867605897846,ecm_remodeling
PECAM1,B_Plasma,bin,132,8.5152,54.25788,0.977272727272727,0.185163645940671,msc_niche
S100A9,B_Plasma,bin,132,8.5132,49.94949,0.803030303030303,0.300156906301409,inflammatory_cytokine
SLC2A1,B_Plasma,bin,132,7.6597,15.7202,0.924242424242424,0.0924755256731052,hypoxia
S100A8,B_Plasma,bin,132,6.39055,31.478,0.795454545454545,0.207785309723452,inflammatory_cytokine
NDRG1,B_Plasma,bin,132,5.6431,30.10276,0.946969696969697,0.11001568670971,hypoxia
JAK2,B_Plasma,bin,132,5.46745,16.1893,0.924242424242424,0.0764794511612723,megakaryocyte_fibrosis_axis
TGFBR1,B_Plasma,bin,132,5.02335,26.52793,0.871212121212121,0.0894832989667185,profibrotic_cytokine_gf
TIMP2,B_Plasma,bin,132,4.89985,36.61114,0.848484848484848,0.110997510351689,ecm_remodeling
CD96,B_Plasma,bin,132,4.13815,14.75922,0.848484848484848,0.0854293003536811,nectin_target
BNIP3,B_Plasma,bin,132,3.9715,18.76195,0.901515151515152,0.0582910191222484,hypoxia
CXCL8,B_Plasma,bin,132,2.78365,21.11356,0.689393939393939,0.119269414758517,inflammatory_cytokine
CSF3R,B_Plasma,bin,132,2.515,9.48051,0.689393939393939,0.0488168748572705,monocyte_marker
CCL3,B_Plasma,bin,132,2.45525,9.04497,0.727272727272727,0.0664919281791535,inflammatory_cytokine
TAGLN,B_Plasma,bin,132,2.3374,8.08676,0.75,0.0347816757797304,msc_niche
SEPP1,B_Plasma,bin,28,2.1248,8.6957,0.642857142857143,0.041251789730084,macrophage_marker
RUNX2,B_Plasma,bin,132,1.9377,14.50881,0.666666666666667,0.0432962389130274,msc_niche
TNF,B_Plasma,bin,132,1.68285,10.21941,0.643939393939394,0.050058185888111,inflammatory_cytokine
VCAN,B_Plasma,bin,132,1.6808,7.70465,0.613636363636364,0.0423250657069907,monocyte_marker
MYH11,B_Plasma,bin,132,1.52125,5.76213,0.553030303030303,0.0224035585372135,msc_niche
IGF1,B_Plasma,bin,132,1.47875,29.25535,0.53030303030303,0.0780393751374141,profibrotic_cytokine_gf
IL18,B_Plasma,bin,132,1.44175,9.99364,0.590909090909091,0.0334774461553914,inflammatory_cytokine
VEGFA,B_Plasma,bin,132,1.3869,11.07842,0.568181818181818,0.0289303750922755,profibrotic_cytokine_gf
FCN1,B_Plasma,bin,132,1.32505,7.4141,0.537878787878788,0.0374156172739675,monocyte_marker
CCL4,B_Plasma,bin,132,1.18885,7.66906,0.53030303030303,0.0476319116489825,inflammatory_cytokine
IL6,B_Plasma,bin,132,0.99525,6.43802,0.5,0.0324258354264275,inflammatory_cytokine
CTGF,B_Plasma,bin,67,0.9474,7.99828,0.492537313432836,0.0234978543582494,profibrotic_cytokine_gf
ADM,B_Plasma,bin,132,0.9176,9.11313,0.477272727272727,0.0303280542989403,hypoxia
PLOD1,B_Plasma,bin,132,0.85855,7.22152,0.477272727272727,0.0155614227338428,ecm_remodeling
IL1B,B_Plasma,bin,132,0.82455,8.11107,0.477272727272727,0.039066857504236,inflammatory_cytokine
NLRP3,B_Plasma,bin,132,0.7943,4.10305,0.416666666666667,0.0145006546013997,inflammatory_cytokine
S100A12,B_Plasma,bin,132,0.77565,5.12384,0.446969696969697,0.0277561463832286,monocyte_marker
TIGIT,B_Plasma,bin,132,0.71085,3.94712,0.371212121212121,0.0143124981592086,nectin_target
HGF,B_Plasma,bin,132,0.59775,6.05006000000001,0.409090909090909,0.0221447615016658,profibrotic_cytokine_gf
CXCL2,B_Plasma,bin,132,0.55815,4.38046,0.333333333333333,0.0159300708367807,inflammatory_cytokine
ACTA2,B_Plasma,bin,132,0.51545,3.11464,0.333333333333333,0.0114561992207698,msc_niche
NECTIN1,B_Plasma,bin,113,0.5025,4.9261,0.389380530973451,0.0165754795958678,nectin_target
NECTIN2,B_Plasma,bin,113,0.4878,7.27938,0.36283185840708,0.0218026049626565,nectin_target
SPARC,B_Plasma,bin,132,0.4792,8.70831,0.401515151515151,0.0199283847108981,collagen_ecm_structural
SELENOP,B_Plasma,bin,113,0.4756,10.83958,0.353982300884956,0.0259189144639437,macrophage_marker
CD226,B_Plasma,bin,132,0.46395,4.12508,0.310606060606061,0.0106269581393655,nectin_target
COL1A1,B_Plasma,bin,132,0.4444,6.89187,0.378787878787879,0.0165587938423427,collagen_ecm_structural
OSM,B_Plasma,bin,132,0.4163,2.9412,0.325757575757576,0.0105448334583444,profibrotic_cytokine_gf
PDGFA,B_Plasma,bin,132,0.41425,7.98938,0.371212121212121,0.0288553349257694,profibrotic_cytokine_gf
MAF,B_Plasma,bin,132,0.38455,2.08276,0.295454545454545,0.00977058230198641,macrophage_marker
NFE2,B_Plasma,bin,132,0.3755,2.77399,0.340909090909091,0.0141352280715346,megakaryocyte_fibrosis_axis
CTSK,B_Plasma,bin,132,0.33465,1.79534,0.227272727272727,0.00751737463172486,ecm_remodeling
PVRL1,B_Plasma,bin,28,0.29645,2.32789,0.25,0.0057746627876009,nectin_target
ANGPT1,B_Plasma,bin,132,0.2721,3.36144,0.333333333333333,0.0160987135975653,msc_niche
STAB1,B_Plasma,bin,132,0.2232,2.96082,0.21969696969697,0.0106205682010842,macrophage_marker
TGFB3,B_Plasma,bin,132,0.2177,3.28257,0.25,0.00773692950409709,profibrotic_cytokine_gf
CCN2,B_Plasma,bin,65,0.2114,2.11304,0.230769230769231,0.0166279866167813,profibrotic_cytokine_gf
SNAI1,B_Plasma,bin,132,0.203,3.53723,0.310606060606061,0.00957105969226266,emt
BGLAP,B_Plasma,bin,132,0.17705,1.6293,0.166666666666667,0.00578319056319086,msc_niche
COL5A1,B_Plasma,bin,132,0.13655,14.4375,0.295454545454545,0.0348572194516915,collagen_ecm_structural
LTBP1,B_Plasma,bin,132,0.11965,6.11375000000001,0.295454545454545,0.0177185005799447,collagen_ecm_structural
LEPR,B_Plasma,bin,132,0.11365,4.65332,0.25,0.00889210269416115,msc_niche
FN1,B_Plasma,bin,132,0.10225,2.25605,0.196969696969697,0.00742224372822166,collagen_ecm_structural
SERPINH1,B_Plasma,bin,132,0.08775,2.06327,0.204545454545455,0.00761515360468518,ecm_remodeling
ITGA2B,B_Plasma,bin,132,0.0801,1.74141,0.196969696969697,0.0121602663409671,megakaryocyte_fibrosis_axis
COL1A2,B_Plasma,bin,132,0,2.29661,0.121212121212121,0.00633157939055168,collagen_ecm_structural
COL3A1,B_Plasma,bin,132,0,0.63408,0.0757575757575758,0.00239936367763896,collagen_ecm_structural
COL4A1,B_Plasma,bin,132,0,0.1832,0.0454545454545455,0.000546410946573223,collagen_ecm_structural
COL5A2,B_Plasma,bin,132,0,1.42509,0.106060606060606,0.00276589683422268,collagen_ecm_structural
COL6A1,B_Plasma,bin,132,0,4.43472,0.265151515151515,0.00743359436737607,collagen_ecm_structural
COL6A2,B_Plasma,bin,132,0,3.8762,0.227272727272727,0.00795609678726256,collagen_ecm_structural
COL6A3,B_Plasma,bin,132,0,5.99179000000001,0.272727272727273,0.0233916759021732,collagen_ecm_structural
COL11A1,B_Plasma,bin,132,0,0.11268,0.0151515151515152,0.000687864572470085,collagen_ecm_structural
LUM,B_Plasma,bin,132,0,0.892250000000001,0.0909090909090909,0.00295510947726004,collagen_ecm_structural
DCN,B_Plasma,bin,132,0,1.12514,0.136363636363636,0.00443371955470027,collagen_ecm_structural
POSTN,B_Plasma,bin,132,0,0,0.0151515151515152,0.000261393873067527,collagen_ecm_structural
BGN,B_Plasma,bin,132,0,0.492280000000001,0.0681818181818182,0.00119525769984577,collagen_ecm_structural
ELN,B_Plasma,bin,132,0,0.14949,0,0.000451038745832391,collagen_ecm_structural
FBN1,B_Plasma,bin,132,0,3.50541,0.242424242424242,0.00637181182789737,collagen_ecm_structural
MGP,B_Plasma,bin,132,0,2.21099,0.166666666666667,0.00854307199955572,collagen_ecm_structural
OGN,B_Plasma,bin,132,0,2.77980000000001,0.151515151515152,0.00366490273739889,collagen_ecm_structural
ASPN,B_Plasma,bin,132,0,1.58441,0.121212121212121,0.00266725789371934,collagen_ecm_structural
TNC,B_Plasma,bin,132,0,1.18832,0.113636363636364,0.00224595067209314,collagen_ecm_structural
LTBP2,B_Plasma,bin,132,0,1.44136,0.128787878787879,0.00260006155402845,collagen_ecm_structural
LOX,B_Plasma,bin,132,0,0.56877,0.0606060606060606,0.00154643228850724,ecm_remodeling
LOXL1,B_Plasma,bin,132,0,0.65679,0.0606060606060606,0.00181710575666164,ecm_remodeling
LOXL2,B_Plasma,bin,132,0,2.0053,0.166666666666667,0.00415116221977873,ecm_remodeling
PLOD2,B_Plasma,bin,132,0,1.64215,0.181818181818182,0.00314455523672309,ecm_remodeling
SERPINE1,B_Plasma,bin,132,0,2.42596,0.204545454545455,0.00924942890190434,ecm_remodeling
TIMP3,B_Plasma,bin,132,0,3.29024,0.25,0.00817436401094969,ecm_remodeling
MMP2,B_Plasma,bin,132,0,1.07404,0.106060606060606,0.00278058692626823,ecm_remodeling
MMP9,B_Plasma,bin,132,0,1.28122,0.136363636363636,0.00401560148988686,ecm_remodeling
MMP14,B_Plasma,bin,132,0,0.795560000000001,0.0757575757575758,0.00226088130628614,ecm_remodeling
ADAMTS1,B_Plasma,bin,132,0,1.30135,0.113636363636364,0.00209393986527045,ecm_remodeling
TGFB2,B_Plasma,bin,132,0,1.3158,0.181818181818182,0.00475867846472773,profibrotic_cytokine_gf
PDGFB,B_Plasma,bin,132,0,0.16034,0.0151515151515152,0.000353826567219757,profibrotic_cytokine_gf
PDGFRA,B_Plasma,bin,132,0,0.33771,0.0681818181818182,0.00116277240072557,profibrotic_cytokine_gf
PDGFRB,B_Plasma,bin,132,0,1.61251,0.143939393939394,0.00330147484478871,profibrotic_cytokine_gf
IGF2,B_Plasma,bin,132,0,1.29596,0.121212121212121,0.00742523725112853,profibrotic_cytokine_gf
