group,n_cells,HALLMARK_TGF_BETA_SIGNALING_UCell,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,KEGG_ECM_RECEPTOR_INTERACTION_UCell,REACTOME_COLLAGEN_FORMATION_UCell,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,HALLMARK_HYPOXIA_UCell,HALLMARK_INFLAMMATORY_RESPONSE_UCell,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,HALLMARK_ANGIOGENESIS_UCell,HALLMARK_COAGULATION_UCell,HALLMARK_P53_PATHWAY_UCell,dataset,sample,unit,timepoint,uid_patient,study
Mono_DC,703,0.0856123123391464,0.0786548930341171,0.0376869936302792,0.0471515571325026,0.0233106002222189,0.0289328372355638,0.0627129685109039,0.101131795190011,0.0579402646850607,0.111856479935681,0.0663275059826784,0.0816565095212271,0.0591425357901371,0.0914353937623526,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
LMPP_GMP,33,0.0464343491508177,0.0678871893597512,0.0298670850966494,0.030148173011797,0.0122990502921892,0.0155237490060453,0.0383684107960635,0.0779854276960386,0.0350227895243972,0.0696500914828889,0.0366314719762995,0.048521268484144,0.0363866926333683,0.0717461864085659,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
unassigned,17,0.0832014677215916,0.0709503030920982,0.0397552741308245,0.0466619806996735,0.0277046667723693,0.0273460547276089,0.0617702750982494,0.0937187651051846,0.0607205304415442,0.113462476094404,0.0682090475447473,0.0745435534996989,0.0552880210181728,0.086834373620831,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
HSC_MPP,8,0.064253599949695,0.0724178080093146,0.0290093925386599,0.0226749515493731,0.00661398350077596,0.00896212902486537,0.0306698821007503,0.0697673276170061,0.0436285280457306,0.0774258663808503,0.0447069991789819,0.0423404863689204,0.0367818209909376,0.0785729278313684,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
Erythroid,4,0.0550996667295479,0.0722432690329556,0.0345254632401664,0.023571840705041,0.0123427672955975,0.0111464420763149,0.0276674705251875,0.0770851196856019,0.0470569846373705,0.0581975705609147,0.0369862716306682,0.041453388082649,0.0326954444832809,0.0737156127188282,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
B_Plasma,3,0.0667337399652057,0.0749850082509335,0.0368436599366114,0.0260714393733176,0.018456805249258,0.0218211680226118,0.0284798142193641,0.0693217815886626,0.050415029177087,0.0881713707276409,0.0542345585449034,0.00320620992237597,0.0194680418150473,0.0844301536262951,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
T_NK,1,0.0542161856253537,0.0693975724309395,0.034416688621177,0.0240054534583162,0.0128522420975251,0.01690538940453,0.0407377634869597,0.0729081814933905,0.053201143265452,0.078388710253662,0.0381733926992548,0.0358401769977875,0.017458677162642,0.0941764916041443,Chen2023,AML103_CD34,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
Stromal,438,0.121947741401424,0.105671479156527,0.06124109930981,0.0974426279954456,0.105156604258439,0.113082843199581,0.186310497388989,0.127881121111421,0.0524392273169968,0.150416672784311,0.0910734003701647,0.178875546589914,0.0985649743106882,0.0927543635120828,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
B_Plasma,493,0.0514057395883436,0.068527189316316,0.0231424099812855,0.0318696156489136,0.0177673245911602,0.0297640555493187,0.041624076839961,0.0810785545692571,0.0394299036094461,0.0822902847800612,0.0542173685993193,0.0370787834726103,0.0280489728201672,0.0771726790283693,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
unassigned,48,0.0882549676161731,0.0769460183957151,0.0411976384930424,0.0483004910206389,0.0448224665795421,0.0427215824452848,0.0797339451589853,0.0875199103846612,0.0430405204239609,0.0974390407288317,0.0630629697170646,0.0840423088461395,0.0498349344930238,0.0815178039776111,Chen2023,AML103_Niche_Immune,bin,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery
