dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
Chen2023,AML103_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML103_CD34.rds,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,AML103_Niche_Immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML103_Niche_Immune.rds,Diagnosis,Chen2023:AML103,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,736,FALSE
Chen2023,AML162_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML162_CD34.rds,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,AML162_niche_immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML162_niche_immune.rds,Diagnosis,Chen2023:AML162,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1767,FALSE
Chen2023,AML24_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML24_CD34.rds,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,AML24_Niche_Immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML24_Niche_Immune.rds,Diagnosis,Chen2023:AML24,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,1652,FALSE
Chen2023,AML304_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML304_CD34.rds,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,AML304_Niche_Immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML304_Niche_Immune.rds,Diagnosis,Chen2023:AML304,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,3214,FALSE
Chen2023,AML320_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML320_CD34.rds,Diagnosis,Chen2023:AML320,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,AML320_NICHE_IMMUNE,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML320_NICHE_IMMUNE.rds,Diagnosis,Chen2023:AML320,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,4896,FALSE
Chen2023,AML469_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/AML469_CD34.rds,Diagnosis,Chen2023:AML469,Chen 2023 Blood Cancer Discovery,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,,TRUE
Chen2023,NBM1_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/NBM1_CD34.rds,Healthy,Chen2023:NBM1,Chen 2023 Blood Cancer Discovery,TRUE,Diagnosis,TRUE,TRUE,core,TRUE,,TRUE
Chen2023,NBM1_Niche_Immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/NBM1_Niche_Immune.rds,Healthy,Chen2023:NBM1,Chen 2023 Blood Cancer Discovery,TRUE,Diagnosis,TRUE,TRUE,core,TRUE,3976,FALSE
Chen2023,NBM2_CD34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/NBM2_CD34.rds,Healthy,Chen2023:NBM2,Chen 2023 Blood Cancer Discovery,TRUE,Diagnosis,TRUE,TRUE,core,TRUE,,TRUE
Chen2023,NBM2_Niche_Immune,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Chen2023/NBM2_Niche_Immune.rds,Healthy,Chen2023:NBM2,Chen 2023 Blood Cancer Discovery,TRUE,Diagnosis,TRUE,TRUE,core,TRUE,1681,FALSE
