dataset,arm_frac_min,n_dg,n_healthy,median_dg,median_healthy,auc,p,verdict
GSE185381,0.5,27,15,9,8,0.556,0.561,no separation
GSE185381,0.8,27,15,3,4,0.52,0.843,no separation
Petti2019,0.5,5,4,5,13,0.1,0.0651,INVERTED (healthy > AML)
Petti2019,0.8,5,4,2,9,0.075,0.0453,INVERTED (healthy > AML)
Chen2023,0.5,5,4,14,15,0.575,0.805,no separation
Chen2023,0.8,5,4,10,8.5,0.725,0.321,separates
GSE116256,0.5,4,3,13,18,0.333,0.582,no separation
GSE116256,0.8,4,3,9,11,0.542,1,no separation
ALL,0.5,73,26,9,9.5,0.463,0.58,no separation
ALL,0.8,73,26,4,5.5,0.455,0.5,no separation
