stratum,gene,n_samples_WT,n_samples_mut,n_cells_WT,n_cells_mut,n_pos_WT,n_pos_mut,mean_lognorm_WT,mean_lognorm_mut,pct_mut,pct_WT,log_or,se,z_cell,odds_ratio,p_cell_two_sided,n_pairs,median_delta_log2cpm,p_sample_higher,frac_pairs_mut_higher,category,fdr_sample
HSC_MPP,CCN1,3,3,1456,749,29,7,0.0105475969334437,0.00298059033449415,0.934579439252336,1.99175824175824,-0.715830171950199,0.411435250262937,-1.73983675801412,0.488786166752269,0.081887686038588,3,,,0,profibrotic_cytokine_gf,
HSC_MPP,CCN2,3,3,1456,749,2,0,0.000524891620634436,0,0,0.137362637362637,-0.946426752041497,1.54984571628929,-0.610658688212834,0.38812541694463,0.541425560833838,3,,,0,profibrotic_cytokine_gf,
HSC_MPP,CTGF,2,5,746,1867,1,20,0.00140688251122901,0.00964983799129866,1.07123727905731,0.134048257372654,1.70742625941863,0.846953250235095,2.01596281606416,5.51474966170501,0.0438038641793127,2,,,1,other,
HSC_MPP,CYR61,2,5,746,1867,0,5,0,0.00187003487756117,0.267809319764328,0,1.4836159395239,1.47773295263339,1.00398108933013,4.40885906040268,0.315387728725114,2,,,0.5,other,
HSC_MPP,SEPP1,1,1,585,1095,2,525,0.00335303063024534,0.416747047580127,47.9452054794521,0.341880341880342,5.37059074086733,0.636686417327024,8.43522116179968,214.989833479404,3.30577077327635e-17,1,,,1,other,
HSC_MPP,ANGPT1,5,8,2202,2616,365,1616,0.165830433108709,0.874069492852376,61.7737003058104,16.5758401453224,2.09465839503886,0.0699879741488691,29.9288330675693,8.12266575330666,8.29797856609028e-197,5,0.357596762548691,0.03125,1,msc_niche,0.65625
HSC_MPP,CCL4,5,8,2202,2616,373,205,0.185485418221855,0.0914473454022549,7.83639143730887,16.9391462306994,-0.873678225686348,0.0922216531567756,-9.4736777728448,0.417413381496128,2.70160402872168e-21,5,0.0341793701516677,0.0625,0.8,inflammatory_cytokine,0.870535714285714
HSC_MPP,OSM,5,8,2202,2616,202,168,0.0438697565476403,0.049704232993667,6.42201834862385,9.17347865576748,-0.38588257959926,0.108541595949869,-3.55515851984968,0.679850349294227,0.000377751270894029,5,0.0184464334290479,0.0625,0.8,profibrotic_cytokine_gf,0.5625
HSC_MPP,TGFB3,5,8,2202,2616,40,38,0.00843643449808306,0.0101521374140047,1.45259938837921,1.81653042688465,-0.226586607503734,0.226970557830158,-0.998308369463887,0.797250291465274,0.31812985042225,5,0.00566996818839414,0.0625,0.8,profibrotic_cytokine_gf,0.5625
HSC_MPP,GP9,5,8,2202,2616,11,47,0.0040816990646066,0.0112347698516867,1.79663608562691,0.499545867393279,1.25925758909797,0.329931269444213,3.81672701474843,3.52280514733876,0.000135233649487326,5,0.0130409903050829,0.09375,0.8,megakaryocyte_fibrosis_axis,0.625
HSC_MPP,PECAM1,5,8,2202,2616,828,1271,0.27222831738383,0.52985896596589,48.585626911315,37.6021798365123,0.449660085433897,0.0588576986840585,7.63978367295027,1.56777918392675,2.17587009052389e-14,5,0.056515128571811,0.09375,0.8,msc_niche,0.984375
HSC_MPP,PGK1,5,8,2202,2616,1782,1992,0.989206285526813,1.18041076011395,76.1467889908257,80.9264305177112,-0.28413359177671,0.0710091133897164,-4.00136796832418,0.752666087989606,6.29773327019539e-05,5,0.105947625404373,0.09375,0.8,hypoxia,0.675
