stratum,pathway,n_cells_mut,n_cells_WT,auc,p_cell,mean_mut,mean_WT,n_pairs,median_delta,p_sample_higher,fdr_sample
HSC_MPP,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,2628,2216,0.362200548522163,1.6103956895901e-61,0.0824953683625097,0.0928602177281239,8,0.00282361321988486,0.15625,0.615234375
HSC_MPP,HALLMARK_ANGIOGENESIS_UCell,2628,2216,0.442947101198424,7.28112864521042e-12,0.0336952195061032,0.0374856381533498,8,0.00516772425291612,0.23046875,0.615234375
HSC_MPP,REACTOME_COLLAGEN_FORMATION_UCell,2628,2216,0.539938969525631,1.61340118272622e-06,0.0147057014460334,0.0137242184613997,8,0.000638460362029228,0.2734375,0.615234375
HSC_MPP,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,2628,2216,0.335915477721181,1.89738602907011e-86,0.0483059298969195,0.0638257166722754,8,0.00411867610246652,0.2734375,0.615234375
HSC_MPP,HALLMARK_INFLAMMATORY_RESPONSE_UCell,2628,2216,0.354585132892647,2.68172087436594e-68,0.0457143342670219,0.0592923207489008,8,0.00115957263392676,0.37109375,0.615234375
HSC_MPP,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,2628,2216,0.298111767744204,7.16731384146143e-130,0.0767574858220184,0.124106120126709,8,0.000157063419243569,0.37109375,0.615234375
HSC_MPP,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,2628,2216,0.473927339014995,0.00174025860265104,0.0267553897939476,0.0275328664917076,8,0.00141706816378397,0.421875,0.615234375
HSC_MPP,HALLMARK_COAGULATION_UCell,2628,2216,0.385483377429405,4.8596564969524e-43,0.0261343727394792,0.0309802491731647,8,0.00141246253970069,0.47265625,0.615234375
HSC_MPP,HALLMARK_TGF_BETA_SIGNALING_UCell,2628,2216,0.313649708910978,6.08459166725267e-111,0.0819760561340723,0.116686322722298,8,0.00328534018369903,0.52734375,0.615234375
HSC_MPP,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,2628,2216,0.325606647242416,2.10337602599244e-97,0.0373135690854638,0.0488062200823864,8,-0.000880917628992284,0.52734375,0.615234375
HSC_MPP,KEGG_ECM_RECEPTOR_INTERACTION_UCell,2628,2216,0.413859405650891,4.38874946126302e-25,0.0183929956060998,0.0215284774826019,8,-0.00086153078961182,0.52734375,0.615234375
HSC_MPP,HALLMARK_P53_PATHWAY_UCell,2628,2216,0.340967723323937,2.53937478006512e-81,0.0760938919803387,0.0861241121442289,8,-0.000729914051320679,0.52734375,0.615234375
HSC_MPP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,2628,2216,0.327263083208326,1.34277326467501e-95,0.0339524464597326,0.0425652324902009,8,1.86803268122787e-06,0.578125,0.622596153846154
HSC_MPP,HALLMARK_HYPOXIA_UCell,2628,2216,0.363047354510437,8.67585460246309e-61,0.072076521675767,0.0818832425324671,8,-0.00281573559829616,0.76953125,0.76953125
Mono_DC,HALLMARK_COAGULATION_UCell,5446,14576,0.547853144665941,1.67237675257917e-25,0.0476272739115632,0.045271369502442,8,0.00872147318699418,0.07421875,0.3828125
