dataset,sample,pair_id,arm,n_cells_total,n_mono_dc,n_macrophage_like,n_monocyte_like
GSE116256,AML556-D0,2,TP53-WT,1554,1254,1,1251
GSE116256,AML916-D0,2,TP53-mut,658,17,2,6
GSE116256,AML707B-D18,3,TP53-WT,1413,1,0,1
GSE116256,AML328-D113,3,TP53-mut,1647,48,4,44
GSE116256,AML420B-D14,4,TP53-WT,938,0,0,0
GSE116256,AML328-D171,4,TP53-mut,961,6,0,6
GSE116256,AML556-D31,5,TP53-WT,1104,561,0,555
GSE116256,AML328-D29,5,TP53-mut,1250,16,2,14
Petti2019,782328,6,TP53-WT,15148,12246,1,12224
Petti2019,809653,6,TP53-mut,15194,1452,32,1413
GSE227903,4978_R,7,TP53-WT,2035,9,1,6
GSE227903,1886_R,7,TP53-mut,1743,72,14,54
GSE227903,1216_R,8,TP53-WT,5745,884,13,767
GSE227903,6323_R,8,TP53-mut,892,215,0,213
GSE289435,GSM8791434_MLL_17746,9,TP53-WT,5273,430,158,122
GSE289435,GSM8791438_MLL_28830,9,TP53-mut,5502,3409,10,3337
