gene,category,n_pairs,frac_pairs_mut_higher,median_delta_log2cpm,p_sample_higher,pct_mut,pct_WT,frac_p05,n_up,sig
COL4A1,collagen_ecm_structural,9,0.111111111111111,-0.00226222464170409,0.9921875,0.0281254394599916,0.0787455491646124,0,1,not significant
COL6A3,collagen_ecm_structural,9,0.111111111111111,-0.00404663054008001,0.99609375,1.95120236253691,3.76951520131471,0,1,not significant
POSTN,collagen_ecm_structural,9,0.111111111111111,0.00109903940551647,0.5,0.00351567993249895,0,0,1,not significant
ASPN,collagen_ecm_structural,9,0.222222222222222,-0.000964331926219452,0.890625,0.0597665588524821,0.184880854560394,0,2,not significant
COL11A1,collagen_ecm_structural,9,0.222222222222222,-0.000646269169122094,0.8125,0.0140627197299958,0.0136948781155848,0,2,not significant
COL1A2,collagen_ecm_structural,9,0.222222222222222,-0.00161555625436276,0.890625,0.0246097595274926,0.0308134757600657,0,2,not significant
COL3A1,collagen_ecm_structural,9,0.222222222222222,-0.000152244060890563,0.78125,0.0175783996624947,0.0273897562311695,0,2,not significant
COL6A1,collagen_ecm_structural,9,0.222222222222222,-0.0053845667348616,0.9453125,0.903529742652229,5.47110380717612,0,2,not significant
DCN,collagen_ecm_structural,9,0.222222222222222,-7.8065801439813e-05,0.40625,0.0457038391224863,0.0102711585866886,0,2,not significant
LUM,collagen_ecm_structural,9,0.222222222222222,-0.00283251284734044,0.9453125,0.0281254394599916,0.893590797041906,0,2,not significant
BGN,collagen_ecm_structural,9,0.333333333333333,0.0012459100591723,0.1875,0.0246097595274926,0.00684743905779239,0,3,not significant
ELN,collagen_ecm_structural,9,0.333333333333333,-3.12926043333134e-05,0.421875,0.348052313317396,0.362914270062996,0,3,not significant
OGN,collagen_ecm_structural,9,0.333333333333333,-0.00016717734552963,0.91796875,0.253128955139924,0.294439879485073,0,3,not significant
SPARC,collagen_ecm_structural,9,0.333333333333333,-0.0016533035610783,0.6328125,8.28645760090002,10.6135305395782,0.01,3,not significant
COL1A1,collagen_ecm_structural,9,0.444444444444444,0.000295663552811893,0.52734375,0.29883279426241,0.0753218296357162,0,4,not significant
COL6A2,collagen_ecm_structural,9,0.444444444444444,-0.00211557533522863,0.76953125,1.43439741245957,3.15324568611339,0.02,4,not significant
LTBP1,collagen_ecm_structural,9,0.444444444444444,-0.00069008059976752,0.71484375,0.6679791871748,5.85113667488359,0,4,not significant
LTBP2,collagen_ecm_structural,9,0.444444444444444,-0.00103603191345783,0.787109375,0.161721276894951,0.513557929334429,0,4,not significant
TNC,collagen_ecm_structural,9,0.555555555555556,5.22358997883719e-05,0.71484375,0.0703135986499789,0.208846891262668,0.008,5,not significant
FN1,collagen_ecm_structural,9,0.666666666666667,0.00147827627575111,0.150390625,0.530867669807341,0.256778964667214,0.178,6,not significant
MGP,collagen_ecm_structural,9,0.666666666666667,0.00203152759408902,0.212890625,0.256644635072423,0.297863599013969,0.354,6,not significant
COL5A1,collagen_ecm_structural,9,0.777777777777778,0.00375566008086138,0.08203125,0.875404303192237,0.506710490276637,0.388,7,not significant
COL5A2,collagen_ecm_structural,9,0.777777777777778,0.0006189805663078,0.248046875,0.140627197299958,0.212270610791564,0.24,7,not significant
FBN1,collagen_ecm_structural,9,0.777777777777778,0.00121048824979087,0.150390625,1.09337645900717,0.869624760339633,0.144,7,not significant
MMP9,ecm_remodeling,9,0.222222222222222,-0.00195504033278882,0.6875,1.50822669104205,0.787455491646124,0,2,not significant
PLOD1,ecm_remodeling,9,0.222222222222222,-0.0079593094896356,0.951171875,7.0137814653354,8.76814571350315,0,2,not significant
TIMP2,ecm_remodeling,9,0.222222222222222,-0.068374823242609,0.986328125,13.7674026156659,29.0879211175021,0,2,not significant
CTSK,ecm_remodeling,9,0.333333333333333,-0.00531451937192422,0.951171875,0.945717901842216,2.00629964393317,0,3,not significant
SERPINE1,ecm_remodeling,9,0.333333333333333,-0.0042950268884198,0.951171875,2.69301082829419,4.26937825253355,0,3,not significant
