gene,category,n_pairs,frac_pairs_mut_higher,median_delta_log2cpm,p_sample_higher,pct_mut,pct_WT,frac_p05,n_up,sig
SNAI2,emt,9,0.222222222222222,2.4053023347632e-05,0.5625,0.0316411193924905,0.00684743905779239,0,2,not significant
TWIST1,emt,9,0.222222222222222,-0.00220862355567501,0.98828125,0.105470397974968,1.63311421528348,0,2,not significant
VIM,emt,9,0.333333333333333,-0.319423946554319,0.935546875,83.8349036703699,89.7801972062449,0,3,not significant
ZEB2,emt,9,0.333333333333333,-0.108316334021364,0.935546875,33.0755168049501,62.7499315256094,0,3,not significant
CDH2,emt,9,0.444444444444444,-0.00106045634865592,0.751953125,2.53480523133174,1.48589427554095,0,4,not significant
SNAI1,emt,9,0.666666666666667,0.01049677079389,0.28515625,4.30319223737871,2.61572172007669,0.29,6,not significant
ZEB1,emt,9,0.666666666666667,0.0664184481208903,0.150390625,15.6447756996203,10.3738701725555,0.444,6,not significant
NDRG1,hypoxia,9,0.333333333333333,-0.024614735716761,0.962890625,13.6373224581634,15.995617639003,0,3,not significant
BNIP3,hypoxia,9,0.444444444444444,-0.0166351592235233,0.787109375,10.7966530727043,7.47397973158039,0,4,not significant
CA9,hypoxia,9,0.444444444444444,0.00091317482536906,0.15625,0.123048797637463,0.0582032319912353,0.052,4,not significant
ADM,hypoxia,9,0.555555555555556,0.01183849948192,0.6328125,2.0109689213894,3.74212544508354,0,5,not significant
EPAS1,hypoxia,9,0.555555555555556,0.00223169842332873,0.150390625,1.08986077907467,0.70186250342372,0.068,5,not significant
HIF1A,hypoxia,9,0.555555555555556,0.00467950153636199,0.673828125,34.4606946983547,39.0064365927143,0,5,not significant
LDHA,hypoxia,9,0.555555555555556,0.00839111398643011,0.544921875,55.087188862326,56.8234730210901,0,5,not significant
PGK1,hypoxia,9,0.777777777777778,0.0343011814513299,0.009765625,58.2020812825201,58.5010955902493,0.374,7,p < 0.05 (uncorrected)
SLC2A1,hypoxia,9,0.888888888888889,0.0146079207845167,0.00390625,7.92785824778512,2.89989044097508,0.682,8,p < 0.05 (uncorrected)
CCL3,inflammatory_cytokine,9,0.333333333333333,-0.00241673680925182,0.37109375,10.1849247644494,10.5313612708847,0,3,not significant
NLRP3,inflammatory_cytokine,9,0.333333333333333,-0.0539622412207304,0.962890625,9.80874701167206,16.2044645302657,0,3,not significant
CCL4,inflammatory_cytokine,9,0.444444444444444,0.246379074815942,0.0625,12.6564477569962,3.73185428649685,0,4,not significant
CXCL1,inflammatory_cytokine,9,0.444444444444444,-0.000484766209659089,0.578125,2.39417803403178,3.08134757600657,0.126,4,not significant
CXCL2,inflammatory_cytokine,9,0.444444444444444,-0.00506199515605819,0.58984375,9.11967374490226,10.9319364557655,0.084,4,not significant
IL10,inflammatory_cytokine,9,0.444444444444444,-0.00012905762097151,0.673828125,0.991421740964703,0.725828540125993,0,4,not significant
IL6,inflammatory_cytokine,9,0.444444444444444,0.00368938592357357,0.21875,0.344536633384897,0.0582032319912353,0,4,not significant
CCL2,inflammatory_cytokine,9,0.555555555555556,0.00047356351015266,0.544921875,1.29728589509211,3.58121062722542,0,5,not significant
CXCL8,inflammatory_cytokine,9,0.555555555555556,0.0117298168701199,0.8203125,13.5423990999859,28.6051766639277,0,5,not significant
IL18,inflammatory_cytokine,9,0.555555555555556,0.0148844674170196,0.544921875,18.4573196456195,26.4208436044919,0.006,5,not significant
IL1B,inflammatory_cytokine,9,0.555555555555556,0.00630934433263225,0.248046875,14.5303051610181,14.2529443987949,0.256,5,not significant
S100A8,inflammatory_cytokine,9,0.666666666666667,0.0379344757075041,0.544921875,25.105470397975,53.9680909339907,0,6,not significant
S100A9,inflammatory_cytokine,9,0.666666666666667,0.0833781439898076,0.58984375,25.3796934327099,54.5432758148453,0,6,not significant
TNF,inflammatory_cytokine,9,0.666666666666667,0.0381441588827678,0.150390625,9.02826606665729,6.35784716516023,0.326,6,not significant
IFNG,inflammatory_cytokine,9,0.777777777777778,0.015650567347752,0.009765625,2.46449163268176,0.273897562311695,0.162,7,p < 0.05 (uncorrected)
NES,msc_niche,9,0.111111111111111,-0.00125646957884044,0.9375,0.0773449585149768,0.0855929882224048,0,1,not significant
SFRP2,msc_niche,9,0.111111111111111,-0.000483250073634038,0.75,0.00703135986499789,0.017118597644481,0,1,not significant
FAP,msc_niche,9,0.222222222222222,-0.00040430518514191,0.84375,0.0457038391224863,0.55806628321008,0,2,not significant
GREM1,msc_niche,9,0.222222222222222,-0.00166700387271968,0.59375,0.175783996624947,0.50328677074774,0,2,not significant
KITLG,msc_niche,9,0.222222222222222,-0.00263291744280056,0.890625,0.453522711292364,0.397151465351958,0,2,not significant
LEPR,msc_niche,9,0.222222222222222,-0.0214551147350347,0.994140625,1.75783996624947,3.06422897836209,0,2,not significant
PECAM1,msc_niche,9,0.222222222222222,-0.073967950840916,0.849609375,25.6082126283223,35.7299370035607,0,2,not significant
CXCL12,msc_niche,9,0.333333333333333,-0.00180653244327611,0.92578125,0.0492195190549852,0.0821692686935086,0,3,not significant
RGS5,msc_niche,9,0.333333333333333,-0.000378419340604803,0.673828125,0.450007031359865,0.489591892632156,0,3,not significant
RUNX2,msc_niche,9,0.333333333333333,-0.0171485780460871,0.71484375,15.8522008156377,15.5950424541222,0,3,not significant
TAGLN,msc_niche,9,0.333333333333333,-0.0036776814953843,0.71484375,1.6664322880045,4.96439331689948,0.002,3,not significant
SFRP4,msc_niche,9,0.444444444444444,-0.000362367075333068,0.7265625,0.0843763183799747,0.695015064365927,0.026,4,not significant
VCAM1,msc_niche,9,0.444444444444444,0.000172514734736735,0.62890625,0.151174237097455,0.0445083538756505,0,4,not significant
MYH11,msc_niche,9,0.555555555555556,0.00078958301086984,0.751953125,1.22697229644213,2.36579019446727,0.054,5,not significant
SP7,msc_niche,9,0.555555555555556,0.00104259683366545,0.078125,0.0738292785824779,0.0205423171733772,0.158,5,not significant
ACTA2,msc_niche,9,0.666666666666667,0.0335846485665363,0.1796875,4.97468710448601,5.7586962476034,0.098,6,not significant
BGLAP,msc_niche,9,0.666666666666667,0.0046157858825045,0.125,1.83518492476445,1.45165708025199,0.094,6,not significant
CDH5,msc_niche,9,0.666666666666667,0.000964334416588794,0.015625,0.481648150752356,0.0342371952889619,1,6,p < 0.05 (uncorrected)
EMCN,msc_niche,9,0.666666666666667,0.000949572412756831,0.125,0.372662072844888,0.147219939742536,0.038,6,not significant
NGFR,msc_niche,9,0.666666666666667,0.00145331192985734,0.0390625,0.326958233722402,0.106135305395782,0.202,6,p < 0.05 (uncorrected)
