dataset,sample,pathway,score,pair_id,arm,family,short,arm_s
GSE116256,AML328-D0,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0557421031671173,1,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE116256,AML328-D0,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0668911024378961,1,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE116256,AML328-D0,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0342416141894698,1,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE116256,AML328-D0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0278123108366331,1,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE116256,AML328-D0,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0223400757770721,1,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
GSE116256,AML328-D0,REACTOME_COLLAGEN_FORMATION_UCell,0.0163344189979602,1,TP53-mut,ECM organisation / receptor,COLLAGEN FORMATION,mut
GSE116256,AML328-D0,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_UCell,0.0287435480367181,1,TP53-mut,EMT,"EPITHELIAL
MESENCHYMAL
TRANSITION",mut
GSE116256,AML328-D0,HALLMARK_HYPOXIA_UCell,0.0529603746971131,1,TP53-mut,Hypoxia,HYPOXIA,mut
GSE116256,AML328-D0,HALLMARK_INFLAMMATORY_RESPONSE_UCell,0.0437808519793202,1,TP53-mut,Inflammatory response,INFLAMMATORY RESPONSE,mut
GSE116256,AML328-D0,HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell,0.0572007171740566,1,TP53-mut,Inflammatory response,"TNFA SIGNALING VIA
NFKB",mut
GSE116256,AML328-D0,HALLMARK_IL6_JAK_STAT3_SIGNALING_UCell,0.0557069443148546,1,TP53-mut,Inflammatory response,"IL6 JAK STAT3
SIGNALING",mut
GSE116256,AML328-D113,HALLMARK_TGF_BETA_SIGNALING_UCell,0.0473786759979797,3,TP53-mut,TGF-beta signalling,TGF BETA SIGNALING,mut
GSE116256,AML328-D113,REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS_UCell,0.0586026068436407,3,TP53-mut,TGF-beta signalling,"SIGNALING BY TGFB
FAMILY MEMBERS",mut
GSE116256,AML328-D113,KEGG_TGF_BETA_SIGNALING_PATHWAY_UCell,0.0332608903568564,3,TP53-mut,TGF-beta signalling,"TGF BETA SIGNALING
PATHWAY",mut
GSE116256,AML328-D113,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION_UCell,0.0200080937190866,3,TP53-mut,ECM organisation / receptor,"EXTRACELLULAR MATRIX
ORGANIZATION",mut
GSE116256,AML328-D113,KEGG_ECM_RECEPTOR_INTERACTION_UCell,0.0177073738678028,3,TP53-mut,ECM organisation / receptor,"ECM RECEPTOR
INTERACTION",mut
