dataset,sample,arm,pair_id,gene,pct,expr,n_cells,role
GSE116256,AML328-D0,TP53-mut,1,NECTIN4,0.1675,0.00358506998752804,597,ligand side (nectins / PVR)
GSE116256,AML328-D0,TP53-mut,1,NECTIN1,0.335,0.00495391434318336,597,ligand side (nectins / PVR)
GSE116256,AML328-D0,TP53-mut,1,NECTIN2,1.8425,0.0296894319462996,597,ligand side (nectins / PVR)
GSE116256,AML328-D0,TP53-mut,1,NECTIN3,0,0,597,ligand side (nectins / PVR)
GSE116256,AML328-D0,TP53-mut,1,PVR,1.675,0.0291644370213258,597,ligand side (nectins / PVR)
GSE116256,AML328-D0,TP53-mut,1,TIGIT,3.3501,0.0767865686026913,597,receptor side (TIGIT / CD226)
GSE116256,AML328-D0,TP53-mut,1,CD226,1.1725,0.0266350128380632,597,receptor side (TIGIT / CD226)
GSE116256,AML328-D113,TP53-mut,3,NECTIN4,0.0607,0.0012325177242427,1647,ligand side (nectins / PVR)
GSE116256,AML328-D113,TP53-mut,3,NECTIN1,0.2429,0.00449656245864849,1647,ligand side (nectins / PVR)
GSE116256,AML328-D113,TP53-mut,3,NECTIN2,0.6679,0.0103192678396777,1647,ligand side (nectins / PVR)
GSE116256,AML328-D113,TP53-mut,3,NECTIN3,0.425,0.00823698696143851,1647,ligand side (nectins / PVR)
GSE116256,AML328-D113,TP53-mut,3,PVR,0.4857,0.00842321013350872,1647,ligand side (nectins / PVR)
GSE116256,AML328-D113,TP53-mut,3,TIGIT,9.9575,0.209572764986935,1647,receptor side (TIGIT / CD226)
GSE116256,AML328-D113,TP53-mut,3,CD226,5.7073,0.108838324421223,1647,receptor side (TIGIT / CD226)
GSE116256,AML328-D171,TP53-mut,4,NECTIN4,0.1041,0.0018851359427693,961,ligand side (nectins / PVR)
GSE116256,AML328-D171,TP53-mut,4,NECTIN1,0.3122,0.00699071868240916,961,ligand side (nectins / PVR)
GSE116256,AML328-D171,TP53-mut,4,NECTIN2,0.2081,0.00330544303253915,961,ligand side (nectins / PVR)
GSE116256,AML328-D171,TP53-mut,4,NECTIN3,0.5203,0.010196527905354,961,ligand side (nectins / PVR)
GSE116256,AML328-D171,TP53-mut,4,PVR,0.3122,0.00609742730427963,961,ligand side (nectins / PVR)
GSE116256,AML328-D171,TP53-mut,4,TIGIT,6.3476,0.132378071291991,961,receptor side (TIGIT / CD226)
GSE116256,AML328-D171,TP53-mut,4,CD226,3.8502,0.0783407097111586,961,receptor side (TIGIT / CD226)
GSE116256,AML328-D29,TP53-mut,5,NECTIN4,0.32,0.00396361462080248,1250,ligand side (nectins / PVR)
GSE116256,AML328-D29,TP53-mut,5,NECTIN1,0.48,0.0063886671818675,1250,ligand side (nectins / PVR)
GSE116256,AML328-D29,TP53-mut,5,NECTIN2,2.16,0.0287434969557023,1250,ligand side (nectins / PVR)
GSE116256,AML328-D29,TP53-mut,5,NECTIN3,0,0,1250,ligand side (nectins / PVR)
GSE116256,AML328-D29,TP53-mut,5,PVR,2.32,0.0305348709031474,1250,ligand side (nectins / PVR)
GSE116256,AML328-D29,TP53-mut,5,TIGIT,3.36,0.0659485434451367,1250,receptor side (TIGIT / CD226)
GSE116256,AML328-D29,TP53-mut,5,CD226,1.76,0.032292045663439,1250,receptor side (TIGIT / CD226)
GSE116256,AML420B-D14,TP53-WT,4,NECTIN4,0.1066,0.00241108940777832,938,ligand side (nectins / PVR)
GSE116256,AML420B-D14,TP53-WT,4,NECTIN1,0.1066,0.00171684286162688,938,ligand side (nectins / PVR)
GSE116256,AML420B-D14,TP53-WT,4,NECTIN2,0,0,938,ligand side (nectins / PVR)
GSE116256,AML420B-D14,TP53-WT,4,NECTIN3,1.1727,0.0233437271405102,938,ligand side (nectins / PVR)
GSE116256,AML420B-D14,TP53-WT,4,PVR,0.2132,0.00351909102123271,938,ligand side (nectins / PVR)
GSE116256,AML420B-D14,TP53-WT,4,TIGIT,6.9296,0.139849130142394,938,receptor side (TIGIT / CD226)
GSE116256,AML420B-D14,TP53-WT,4,CD226,6.3966,0.132497086702991,938,receptor side (TIGIT / CD226)
GSE116256,AML556-D0,TP53-WT,2,NECTIN4,0.0644,0.000458626248043502,1554,ligand side (nectins / PVR)
GSE116256,AML556-D0,TP53-WT,2,NECTIN1,0.6435,0.0100853908874029,1554,ligand side (nectins / PVR)
GSE116256,AML556-D0,TP53-WT,2,NECTIN2,2.6384,0.0419067699777046,1554,ligand side (nectins / PVR)
GSE116256,AML556-D0,TP53-WT,2,NECTIN3,0.2574,0.00501805652706097,1554,ligand side (nectins / PVR)
GSE116256,AML556-D0,TP53-WT,2,PVR,1.287,0.0194335255699328,1554,ligand side (nectins / PVR)
GSE116256,AML556-D0,TP53-WT,2,TIGIT,0,0,1554,receptor side (TIGIT / CD226)
GSE116256,AML556-D0,TP53-WT,2,CD226,0.1287,0.00230904169909376,1554,receptor side (TIGIT / CD226)
GSE116256,AML556-D31,TP53-WT,5,NECTIN4,0.2717,0.0045694557395693,1104,ligand side (nectins / PVR)
GSE116256,AML556-D31,TP53-WT,5,NECTIN1,0.7246,0.011243861237417,1104,ligand side (nectins / PVR)
GSE116256,AML556-D31,TP53-WT,5,NECTIN2,0.6341,0.00813340273723359,1104,ligand side (nectins / PVR)
GSE116256,AML556-D31,TP53-WT,5,NECTIN3,0.9058,0.0144013979649012,1104,ligand side (nectins / PVR)
GSE116256,AML556-D31,TP53-WT,5,PVR,0.8152,0.0107536353826028,1104,ligand side (nectins / PVR)
GSE116256,AML556-D31,TP53-WT,5,TIGIT,0.3623,0.00594728308131166,1104,receptor side (TIGIT / CD226)
GSE116256,AML556-D31,TP53-WT,5,CD226,0.6341,0.00980779232023302,1104,receptor side (TIGIT / CD226)
GSE116256,AML707B-D0,TP53-WT,1,NECTIN4,0.1646,0.00236151910177762,1215,ligand side (nectins / PVR)
GSE116256,AML707B-D0,TP53-WT,1,NECTIN1,0.0823,0.00112969361480322,1215,ligand side (nectins / PVR)
GSE116256,AML707B-D0,TP53-WT,1,NECTIN2,1.1523,0.0160917728432562,1215,ligand side (nectins / PVR)
GSE116256,AML707B-D0,TP53-WT,1,NECTIN3,0.0823,0.00153114592349932,1215,ligand side (nectins / PVR)
GSE116256,AML707B-D0,TP53-WT,1,PVR,3.1276,0.0417601989226591,1215,ligand side (nectins / PVR)
GSE116256,AML707B-D0,TP53-WT,1,TIGIT,0.4938,0.00906825801377347,1215,receptor side (TIGIT / CD226)
GSE116256,AML707B-D0,TP53-WT,1,CD226,1.3992,0.0212915499863207,1215,receptor side (TIGIT / CD226)
GSE116256,AML707B-D18,TP53-WT,3,NECTIN4,0.0708,0.00165303346455182,1413,ligand side (nectins / PVR)
GSE116256,AML707B-D18,TP53-WT,3,NECTIN1,0.0708,0.00146201280150683,1413,ligand side (nectins / PVR)
GSE116256,AML707B-D18,TP53-WT,3,NECTIN2,0.2123,0.00344014510508227,1413,ligand side (nectins / PVR)
GSE116256,AML707B-D18,TP53-WT,3,NECTIN3,0.4246,0.00929832236263665,1413,ligand side (nectins / PVR)
GSE116256,AML707B-D18,TP53-WT,3,PVR,0.4246,0.00829795384970216,1413,ligand side (nectins / PVR)
GSE116256,AML707B-D18,TP53-WT,3,TIGIT,10.8988,0.234278740374862,1413,receptor side (TIGIT / CD226)
GSE116256,AML707B-D18,TP53-WT,3,CD226,5.0955,0.102063482124088,1413,receptor side (TIGIT / CD226)
GSE116256,AML916-D0,TP53-mut,2,NECTIN4,0.304,0.00588496418945746,658,ligand side (nectins / PVR)
GSE116256,AML916-D0,TP53-mut,2,NECTIN1,0,0,658,ligand side (nectins / PVR)
GSE116256,AML916-D0,TP53-mut,2,NECTIN2,0.9119,0.018961000391209,658,ligand side (nectins / PVR)
GSE116256,AML916-D0,TP53-mut,2,NECTIN3,0.152,0.00234517020838338,658,ligand side (nectins / PVR)
GSE116256,AML916-D0,TP53-mut,2,PVR,1.0638,0.0201493626836188,658,ligand side (nectins / PVR)
GSE116256,AML916-D0,TP53-mut,2,TIGIT,0,0,658,receptor side (TIGIT / CD226)
GSE116256,AML916-D0,TP53-mut,2,CD226,0.304,0.00498730487281561,658,receptor side (TIGIT / CD226)
GSE227903,1886_R,TP53-mut,7,NECTIN4,0.9753,0.0030844965687833,1743,ligand side (nectins / PVR)
GSE227903,1886_R,TP53-mut,7,NECTIN1,9.2943,0.0417955352969231,1743,ligand side (nectins / PVR)
GSE227903,1886_R,TP53-mut,7,NECTIN2,53.6431,0.273674282537046,1743,ligand side (nectins / PVR)
GSE227903,1886_R,TP53-mut,7,NECTIN3,1.1474,0.00579316106699795,1743,ligand side (nectins / PVR)
GSE227903,1886_R,TP53-mut,7,PVR,16.2937,0.0585593475905208,1743,ligand side (nectins / PVR)
GSE227903,1886_R,TP53-mut,7,TIGIT,1.2048,0.0142262377613047,1743,receptor side (TIGIT / CD226)
GSE227903,1886_R,TP53-mut,7,CD226,3.4997,0.0352963649160254,1743,receptor side (TIGIT / CD226)
GSE227903,3853_R,TP53-WT,8,NECTIN4,0,0,528,ligand side (nectins / PVR)
GSE227903,3853_R,TP53-WT,8,NECTIN1,3.5985,0.0149105379798733,528,ligand side (nectins / PVR)
GSE227903,3853_R,TP53-WT,8,NECTIN2,33.3333,0.179256119301014,528,ligand side (nectins / PVR)
GSE227903,3853_R,TP53-WT,8,NECTIN3,0,0,528,ligand side (nectins / PVR)
GSE227903,3853_R,TP53-WT,8,PVR,12.6894,0.0592167902552296,528,ligand side (nectins / PVR)
GSE227903,3853_R,TP53-WT,8,TIGIT,0.1894,0.00277013284384533,528,receptor side (TIGIT / CD226)
GSE227903,3853_R,TP53-WT,8,CD226,1.1364,0.00643060240009906,528,receptor side (TIGIT / CD226)
GSE227903,4978_R,TP53-WT,7,NECTIN4,0.688,0.00283344140695909,2035,ligand side (nectins / PVR)
GSE227903,4978_R,TP53-WT,7,NECTIN1,25.5037,0.1369908161761,2035,ligand side (nectins / PVR)
GSE227903,4978_R,TP53-WT,7,NECTIN2,41.5725,0.204720844073636,2035,ligand side (nectins / PVR)
GSE227903,4978_R,TP53-WT,7,NECTIN3,1.2285,0.00565897404775038,2035,ligand side (nectins / PVR)
GSE227903,4978_R,TP53-WT,7,PVR,22.4079,0.102659949711018,2035,ligand side (nectins / PVR)
GSE227903,4978_R,TP53-WT,7,TIGIT,1.1302,0.00573858098483844,2035,receptor side (TIGIT / CD226)
GSE227903,4978_R,TP53-WT,7,CD226,6.5848,0.029075608968265,2035,receptor side (TIGIT / CD226)
GSE227903,6323_R,TP53-mut,8,NECTIN4,0.2242,0.00169337474746406,892,ligand side (nectins / PVR)
GSE227903,6323_R,TP53-mut,8,NECTIN1,5.9417,0.0346450356429906,892,ligand side (nectins / PVR)
GSE227903,6323_R,TP53-mut,8,NECTIN2,21.861,0.129512684180136,892,ligand side (nectins / PVR)
GSE227903,6323_R,TP53-mut,8,NECTIN3,0.5605,0.00776846880570008,892,ligand side (nectins / PVR)
GSE227903,6323_R,TP53-mut,8,PVR,7.3991,0.0368294088671567,892,ligand side (nectins / PVR)
GSE227903,6323_R,TP53-mut,8,TIGIT,0.7848,0.00924121599792724,892,receptor side (TIGIT / CD226)
GSE227903,6323_R,TP53-mut,8,CD226,3.9238,0.0492216472434574,892,receptor side (TIGIT / CD226)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,NECTIN4,0,0,5273,ligand side (nectins / PVR)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,NECTIN1,2.1809,0.0290568700652987,5273,ligand side (nectins / PVR)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,NECTIN2,19.0783,0.274083956475584,5273,ligand side (nectins / PVR)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,NECTIN3,0.4551,0.00641322888365631,5273,ligand side (nectins / PVR)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,PVR,3.2809,0.0455006312889011,5273,ligand side (nectins / PVR)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,TIGIT,0.2276,0.00336211457517272,5273,receptor side (TIGIT / CD226)
GSE289435,GSM8791434_MLL_17746,TP53-WT,9,CD226,0.1328,0.00209711307438746,5273,receptor side (TIGIT / CD226)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,NECTIN4,0.1999,0.00269749833986861,5502,ligand side (nectins / PVR)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,NECTIN1,1.9266,0.0268280906820247,5502,ligand side (nectins / PVR)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,NECTIN2,7.4155,0.0856579074726895,5502,ligand side (nectins / PVR)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,NECTIN3,0.0364,0.000928783080033844,5502,ligand side (nectins / PVR)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,PVR,1.3268,0.0172453904845918,5502,ligand side (nectins / PVR)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,TIGIT,0.3999,0.00652735055255469,5502,receptor side (TIGIT / CD226)
GSE289435,GSM8791438_MLL_28830,TP53-mut,9,CD226,0.1272,0.00182298363286405,5502,receptor side (TIGIT / CD226)
Petti2019,782328,TP53-WT,6,NECTIN4,0.4753,0.00502413393880878,15148,ligand side (nectins / PVR)
Petti2019,782328,TP53-WT,6,NECTIN1,2.4624,0.0266484653347914,15148,ligand side (nectins / PVR)
Petti2019,782328,TP53-WT,6,NECTIN2,10.0079,0.0962125479803593,15148,ligand side (nectins / PVR)
Petti2019,782328,TP53-WT,6,NECTIN3,0.0132,0.000141209247395721,15148,ligand side (nectins / PVR)
Petti2019,782328,TP53-WT,6,PVR,2.9971,0.029421654349733,15148,ligand side (nectins / PVR)
Petti2019,782328,TP53-WT,6,TIGIT,0.4753,0.00720757007100786,15148,receptor side (TIGIT / CD226)
Petti2019,782328,TP53-WT,6,CD226,0.8978,0.00932703830114982,15148,receptor side (TIGIT / CD226)
Petti2019,809653,TP53-mut,6,NECTIN4,0.0132,0.000104823628423128,15194,ligand side (nectins / PVR)
Petti2019,809653,TP53-mut,6,NECTIN1,0.8753,0.00674855818176498,15194,ligand side (nectins / PVR)
Petti2019,809653,TP53-mut,6,NECTIN2,11.7415,0.0928486925795906,15194,ligand side (nectins / PVR)
Petti2019,809653,TP53-mut,6,NECTIN3,0.4344,0.0055982158651034,15194,ligand side (nectins / PVR)
Petti2019,809653,TP53-mut,6,PVR,3.4948,0.0252649546902885,15194,ligand side (nectins / PVR)
Petti2019,809653,TP53-mut,6,TIGIT,5.9695,0.0894589601789755,15194,receptor side (TIGIT / CD226)
Petti2019,809653,TP53-mut,6,CD226,7.1081,0.0910496139399696,15194,receptor side (TIGIT / CD226)
