suggested_sample_id	gsm	srr_list	inventory_name
Patient20_scRNA-seq	GSM7670493	SRR25468532	Patient20 scRNA-seq
Patient19_scRNA-seq	GSM7670492	SRR25468533	Patient19 scRNA-seq
Patient18_scRNA-seq	GSM7670491	SRR25468534	Patient18 scRNA-seq
Patient17_scRNA-seq	GSM7670490	SRR25468535	Patient17 scRNA-seq
Patient16_scRNA-seq	GSM7670489	SRR25468536	Patient16 scRNA-seq
Patient15_scRNA-seq	GSM7670488	SRR25468537	Patient15 scRNA-seq
Patient14_scRNA-seq	GSM7670487	SRR25468538	Patient14 scRNA-seq
Patient13_scRNA-seq	GSM7670486	SRR25468539	Patient13 scRNA-seq
Patient12_scRNA-seq	GSM7670485	SRR25468540	Patient12 scRNA-seq
Patient11_scRNA-seq	GSM7670484	SRR25468541	Patient11 scRNA-seq
Patient10_scRNA-seq	GSM7670483	SRR25468542	Patient10 scRNA-seq
Patient9_scRNA-seq	GSM7670482	SRR25468543	Patient9 scRNA-seq
Patient8_scRNA-seq	GSM7670481	SRR25468544	Patient8 scRNA-seq
Patient7_scRNA-seq	GSM7670480	SRR25468545	Patient7 scRNA-seq
Patient6_scRNA-seq	GSM7670479	SRR25468546	Patient6 scRNA-seq
Patient5_scRNA-seq	GSM7670478	SRR25468547	Patient5 scRNA-seq
Patient4_scRNA-seq	GSM7670477	SRR25468548	Patient4 scRNA-seq
Patient3_scRNA-seq	GSM7670476	SRR25468549	Patient3 scRNA-seq
Patient2_scRNA-seq	GSM7670475	SRR25468550	Patient2 scRNA-seq
Patient1_scRNA-seq	GSM7670474	SRR25468551	Patient1 scRNA-seq
