dataset,sample,hierarchy_bin,mal_status,n_cells,n_high_error
Chen2023,AML103_CD34,Mono_DC,no_consensus,703,13
Chen2023,AML103_CD34,LMPP_GMP,no_consensus,33,3
Chen2023,AML103_CD34,HSC_MPP,no_consensus,8,0
Chen2023,AML103_CD34,Erythroid,no_consensus,4,1
Chen2023,AML103_CD34,B_Plasma,no_consensus,3,0
Chen2023,AML103_CD34,T_NK,no_consensus,1,1
Chen2023,AML103_Niche_Immune,B_Plasma,normal,413,0
Chen2023,AML103_Niche_Immune,B_Plasma,malignant,80,0
Chen2023,AML103_Niche_Immune,T_NK,normal,218,7
Chen2023,AML103_Niche_Immune,Mono_DC,malignant,3,1
Chen2023,AML103_Niche_Immune,Erythroid,normal,4,0
Chen2023,AML103_Niche_Immune,Mono_DC,normal,3,0
Chen2023,AML103_Niche_Immune,Erythroid,malignant,3,1
Chen2023,AML103_Niche_Immune,LMPP_GMP,normal,2,0
Chen2023,AML103_Niche_Immune,T_NK,malignant,15,0
Chen2023,AML103_Niche_Immune,HSC_MPP,malignant,4,3
Chen2023,AML103_Niche_Immune,Megakaryocyte,normal,2,0
Chen2023,AML103_Niche_Immune,Megakaryocyte,malignant,1,0
Chen2023,AML162_CD34,LMPP_GMP,no_consensus,574,52
Chen2023,AML162_CD34,Mono_DC,no_consensus,1355,52
Chen2023,AML162_CD34,Erythroid,no_consensus,53,6
Chen2023,AML162_CD34,Megakaryocyte,no_consensus,35,0
Chen2023,AML162_CD34,HSC_MPP,no_consensus,87,7
Chen2023,AML162_CD34,T_NK,no_consensus,1,0
Chen2023,AML162_niche_immune,Mono_DC,normal,79,4
Chen2023,AML162_niche_immune,B_Plasma,normal,605,1
Chen2023,AML162_niche_immune,T_NK,normal,944,86
Chen2023,AML162_niche_immune,B_Plasma,malignant,130,1
Chen2023,AML162_niche_immune,T_NK,malignant,22,9
Chen2023,AML162_niche_immune,LMPP_GMP,normal,73,12
Chen2023,AML162_niche_immune,Erythroid,normal,2,0
Chen2023,AML162_niche_immune,LMPP_GMP,malignant,14,1
Chen2023,AML162_niche_immune,HSC_MPP,normal,10,7
Chen2023,AML162_niche_immune,HSC_MPP,malignant,6,2
Chen2023,AML162_niche_immune,Mono_DC,malignant,6,1
Chen2023,AML24_CD34,Mono_DC,no_consensus,9197,70
Chen2023,AML24_CD34,HSC_MPP,no_consensus,23,1
Chen2023,AML24_CD34,LMPP_GMP,no_consensus,15,0
Chen2023,AML24_CD34,T_NK,no_consensus,3,1
Chen2023,AML24_CD34,B_Plasma,no_consensus,1,0
Chen2023,AML24_CD34,Megakaryocyte,no_consensus,3,0
Chen2023,AML24_CD34,Erythroid,no_consensus,3,0
Chen2023,AML24_Niche_Immune,Erythroid,normal,26,0
Chen2023,AML24_Niche_Immune,T_NK,normal,1220,185
Chen2023,AML24_Niche_Immune,B_Plasma,normal,532,0
Chen2023,AML24_Niche_Immune,Erythroid,malignant,17,0
Chen2023,AML24_Niche_Immune,T_NK,malignant,19,0
Chen2023,AML24_Niche_Immune,B_Plasma,malignant,3,0
Chen2023,AML24_Niche_Immune,Megakaryocyte,malignant,9,0
Chen2023,AML24_Niche_Immune,Megakaryocyte,normal,4,0
Chen2023,AML24_Niche_Immune,Mono_DC,normal,4,0
Chen2023,AML24_Niche_Immune,LMPP_GMP,normal,2,0
Chen2023,AML24_Niche_Immune,Mono_DC,malignant,1,0
Chen2023,AML304_CD34,Mono_DC,no_consensus,1572,41
Chen2023,AML304_CD34,HSC_MPP,no_consensus,654,66
Chen2023,AML304_CD34,LMPP_GMP,no_consensus,297,9
Chen2023,AML304_CD34,T_NK,no_consensus,39,0
Chen2023,AML304_CD34,Erythroid,no_consensus,2,0
Chen2023,AML304_CD34,Megakaryocyte,no_consensus,1,0
Chen2023,AML304_Niche_Immune,T_NK,normal,1838,136
Chen2023,AML304_Niche_Immune,B_Plasma,malignant,296,1
Chen2023,AML304_Niche_Immune,B_Plasma,normal,794,0
Chen2023,AML304_Niche_Immune,Mono_DC,normal,212,14
Chen2023,AML304_Niche_Immune,HSC_MPP,malignant,85,51
Chen2023,AML304_Niche_Immune,Erythroid,normal,31,0
Chen2023,AML304_Niche_Immune,LMPP_GMP,normal,50,3
Chen2023,AML304_Niche_Immune,HSC_MPP,normal,26,11
Chen2023,AML304_Niche_Immune,T_NK,malignant,57,9
Chen2023,AML304_Niche_Immune,Megakaryocyte,malignant,23,0
Chen2023,AML304_Niche_Immune,Megakaryocyte,normal,7,0
Chen2023,AML304_Niche_Immune,Mono_DC,malignant,24,8
Chen2023,AML304_Niche_Immune,Erythroid,malignant,4,2
Chen2023,AML304_Niche_Immune,LMPP_GMP,malignant,7,5
Chen2023,AML320_CD34,T_NK,no_consensus,130,12
Chen2023,AML320_CD34,LMPP_GMP,no_consensus,2657,213
Chen2023,AML320_CD34,B_Plasma,no_consensus,21,0
Chen2023,AML320_CD34,HSC_MPP,no_consensus,74,10
Chen2023,AML320_CD34,Erythroid,no_consensus,32,3
Chen2023,AML320_CD34,Mono_DC,no_consensus,24,0
Chen2023,AML320_CD34,Megakaryocyte,no_consensus,3,0
Chen2023,AML320_NICHE_IMMUNE,B_Plasma,normal,2315,0
Chen2023,AML320_NICHE_IMMUNE,B_Plasma,malignant,437,0
Chen2023,AML320_NICHE_IMMUNE,T_NK,normal,1742,123
Chen2023,AML320_NICHE_IMMUNE,Erythroid,normal,133,3
Chen2023,AML320_NICHE_IMMUNE,LMPP_GMP,malignant,46,0
Chen2023,AML320_NICHE_IMMUNE,LMPP_GMP,normal,246,16
Chen2023,AML320_NICHE_IMMUNE,Megakaryocyte,malignant,18,0
Chen2023,AML320_NICHE_IMMUNE,HSC_MPP,normal,40,11
Chen2023,AML320_NICHE_IMMUNE,HSC_MPP,malignant,12,8
Chen2023,AML320_NICHE_IMMUNE,Megakaryocyte,normal,34,2
Chen2023,AML320_NICHE_IMMUNE,Mono_DC,malignant,16,2
Chen2023,AML320_NICHE_IMMUNE,T_NK,malignant,24,2
Chen2023,AML320_NICHE_IMMUNE,Erythroid,malignant,1,1
Chen2023,AML469_CD34,LMPP_GMP,no_consensus,3037,204
Chen2023,AML469_CD34,HSC_MPP,no_consensus,117,18
Chen2023,AML469_CD34,Erythroid,no_consensus,34,6
Chen2023,AML469_CD34,Mono_DC,no_consensus,1,0
Chen2023,AML469_CD34,B_Plasma,no_consensus,5,0
Chen2023,NBM1_CD34,T_NK,no_consensus,341,28
Chen2023,NBM1_CD34,Mono_DC,no_consensus,3920,40
Chen2023,NBM1_CD34,LMPP_GMP,no_consensus,1531,65
Chen2023,NBM1_CD34,HSC_MPP,no_consensus,929,91
Chen2023,NBM1_CD34,Erythroid,no_consensus,467,15
Chen2023,NBM1_CD34,B_Plasma,no_consensus,545,10
Chen2023,NBM1_CD34,Megakaryocyte,no_consensus,124,2
Chen2023,NBM1_Niche_Immune,Megakaryocyte,malignant,2,0
Chen2023,NBM1_Niche_Immune,T_NK,normal,2558,177
Chen2023,NBM1_Niche_Immune,B_Plasma,normal,1263,4
Chen2023,NBM1_Niche_Immune,B_Plasma,malignant,208,0
Chen2023,NBM1_Niche_Immune,Erythroid,malignant,1,0
Chen2023,NBM1_Niche_Immune,T_NK,malignant,81,2
Chen2023,NBM1_Niche_Immune,Mono_DC,normal,31,0
Chen2023,NBM1_Niche_Immune,LMPP_GMP,normal,5,1
Chen2023,NBM1_Niche_Immune,Mono_DC,malignant,8,0
Chen2023,NBM1_Niche_Immune,HSC_MPP,normal,3,3
Chen2023,NBM1_Niche_Immune,Erythroid,normal,1,0
Chen2023,NBM1_Niche_Immune,HSC_MPP,malignant,2,2
Chen2023,NBM1_Niche_Immune,LMPP_GMP,malignant,1,0
Chen2023,NBM1_Niche_Immune,Megakaryocyte,normal,1,0
Chen2023,NBM2_CD34,HSC_MPP,no_consensus,385,20
Chen2023,NBM2_CD34,LMPP_GMP,no_consensus,413,14
Chen2023,NBM2_CD34,Mono_DC,no_consensus,1421,11
Chen2023,NBM2_CD34,T_NK,no_consensus,101,2
Chen2023,NBM2_CD34,Erythroid,no_consensus,158,1
Chen2023,NBM2_CD34,B_Plasma,no_consensus,41,0
Chen2023,NBM2_CD34,Megakaryocyte,no_consensus,7,0
Chen2023,NBM2_Niche_Immune,T_NK,normal,1243,32
Chen2023,NBM2_Niche_Immune,B_Plasma,normal,334,0
Chen2023,NBM2_Niche_Immune,T_NK,malignant,54,1
Chen2023,NBM2_Niche_Immune,B_Plasma,malignant,56,0
Chen2023,NBM2_Niche_Immune,Mono_DC,malignant,10,0
Chen2023,NBM2_Niche_Immune,Mono_DC,normal,8,0
Chen2023,NBM2_Niche_Immune,Megakaryocyte,malignant,8,0
Chen2023,NBM2_Niche_Immune,Erythroid,malignant,2,1
Chen2023,NBM2_Niche_Immune,HSC_MPP,malignant,2,2
Chen2023,NBM3_CD34,B_Plasma,no_consensus,879,8
Chen2023,NBM3_CD34,Mono_DC,no_consensus,2974,32
Chen2023,NBM3_CD34,LMPP_GMP,no_consensus,1292,65
Chen2023,NBM3_CD34,HSC_MPP,no_consensus,1350,145
Chen2023,NBM3_CD34,Erythroid,no_consensus,833,12
Chen2023,NBM3_CD34,T_NK,no_consensus,601,52
Chen2023,NBM3_CD34,Megakaryocyte,no_consensus,97,0
Chen2023,NBM3_Niche_immune,T_NK,normal,2153,129
Chen2023,NBM3_Niche_immune,B_Plasma,normal,744,0
Chen2023,NBM3_Niche_immune,T_NK,malignant,68,2
Chen2023,NBM3_Niche_immune,B_Plasma,malignant,85,0
Chen2023,NBM3_Niche_immune,Mono_DC,normal,14,0
Chen2023,NBM3_Niche_immune,Megakaryocyte,malignant,4,0
Chen2023,NBM3_Niche_immune,Mono_DC,malignant,1,0
Chen2023,NBM3_Niche_immune,Megakaryocyte,normal,1,0
Chen2023,NBM3_Niche_immune,Erythroid,normal,2,0
Chen2023,NBM3_Niche_immune,LMPP_GMP,normal,4,0
Chen2023,NBM3_Niche_immune,Erythroid,malignant,1,0
Chen2023,NBM3_Niche_immune,HSC_MPP,normal,1,1
Chen2023,NBM4_CD34,B_Plasma,no_consensus,514,10
Chen2023,NBM4_CD34,Mono_DC,no_consensus,1878,23
Chen2023,NBM4_CD34,Erythroid,no_consensus,354,4
Chen2023,NBM4_CD34,T_NK,no_consensus,429,32
Chen2023,NBM4_CD34,LMPP_GMP,no_consensus,716,34
Chen2023,NBM4_CD34,HSC_MPP,no_consensus,820,86
Chen2023,NBM4_CD34,Megakaryocyte,no_consensus,73,0
Chen2023,NBM4_Niche_Immune,T_NK,normal,2079,103
Chen2023,NBM4_Niche_Immune,B_Plasma,normal,708,1
Chen2023,NBM4_Niche_Immune,T_NK,malignant,74,1
Chen2023,NBM4_Niche_Immune,B_Plasma,malignant,41,1
Chen2023,NBM4_Niche_Immune,Erythroid,malignant,2,0
Chen2023,NBM4_Niche_Immune,Mono_DC,normal,18,0
Chen2023,NBM4_Niche_Immune,Mono_DC,malignant,3,0
Chen2023,NBM4_Niche_Immune,Megakaryocyte,malignant,2,0
Chen2023,NBM4_Niche_Immune,LMPP_GMP,normal,1,0
E-MTAB-11536,621B-BMA,T_NK,no_consensus,500,45
E-MTAB-11536,621B-BMA,B_Plasma,no_consensus,60,0
E-MTAB-11536,621B-BMA,Mono_DC,no_consensus,20,0
E-MTAB-11536,621B-BMA,LMPP_GMP,no_consensus,1,0
E-MTAB-11536,637C-BLD,T_NK,no_consensus,611,31
E-MTAB-11536,637C-BLD,Mono_DC,no_consensus,30,0
E-MTAB-11536,637C-BLD,Megakaryocyte,no_consensus,1,0
E-MTAB-11536,637C-BLD,B_Plasma,no_consensus,18,0
E-MTAB-11536,637C-BMA,T_NK,no_consensus,1114,43
E-MTAB-11536,637C-BMA,Mono_DC,no_consensus,101,0
E-MTAB-11536,637C-BMA,B_Plasma,no_consensus,95,0
E-MTAB-11536,637C-BMA,LMPP_GMP,no_consensus,5,0
E-MTAB-11536,637C-BMA,Megakaryocyte,no_consensus,1,0
E-MTAB-11536,640C-BMA,T_NK,no_consensus,1105,62
E-MTAB-11536,640C-BMA,B_Plasma,no_consensus,234,1
E-MTAB-11536,640C-BMA,Mono_DC,no_consensus,260,3
E-MTAB-11536,640C-BMA,LMPP_GMP,no_consensus,27,2
E-MTAB-11536,640C-BMA,HSC_MPP,no_consensus,20,1
E-MTAB-11536,640C-BMA,Erythroid,no_consensus,3,1
E-MTAB-11536,A29-BMA,T_NK,no_consensus,829,39
E-MTAB-11536,A29-BMA,Mono_DC,no_consensus,109,0
E-MTAB-11536,A29-BMA,B_Plasma,no_consensus,180,1
E-MTAB-11536,A29-BMA,LMPP_GMP,no_consensus,25,2
E-MTAB-11536,A29-BMA,Erythroid,no_consensus,1,0
E-MTAB-11536,A35-BLD,T_NK,no_consensus,764,49
E-MTAB-11536,A35-BLD,Mono_DC,no_consensus,423,0
E-MTAB-11536,A35-BLD,B_Plasma,no_consensus,24,0
E-MTAB-11536,A35-BLD,Megakaryocyte,no_consensus,3,0
E-MTAB-11536,A35-BLD,Erythroid,no_consensus,1,0
E-MTAB-11536,A35-BMA,T_NK,no_consensus,736,30
E-MTAB-11536,A35-BMA,Mono_DC,no_consensus,215,1
