dataset	sample_id	gsm	pipeline_sample_id	join_rule
Chen2023	Chen2023__NBM1	not_applicable	NBM1	exact
Chen2023	Chen2023__NBM2	not_applicable	NBM2	exact
Chen2023	Chen2023__NBM3	not_applicable	NBM3	exact
Chen2023	Chen2023__NBM4	not_applicable	NBM4	exact
Chen2023	Chen2023__AML103	not_applicable	AML103	exact
Chen2023	Chen2023__AML24	not_applicable	AML24	exact
Chen2023	Chen2023__AML162	not_applicable	AML162	exact
Chen2023	Chen2023__AML304	not_applicable	AML304	exact
Chen2023	Chen2023__AML320	not_applicable	AML320	exact
Chen2023	Chen2023__AML469	not_applicable	AML469	exact
E-MTAB-11536	E-MTAB-11536__A29-BMA-1	ERS10978748	A29-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A31-BMA-1	ERS10978759	A31-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A35-BMA-1	ERS10978781	A35-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A36-BMA-1	ERS10978766	A36-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__A37-BMA-1	ERS10978794	A37-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__621B-BMA-90	not_applicable	621B-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__637C-BMA-104	not_applicable	637C-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__640C-BMA-121	not_applicable	640C-BMA	suffix_strip
E-MTAB-11536	E-MTAB-11536__D496-BMA-80	not_applicable		UNRESOLVED
E-MTAB-11536	E-MTAB-11536__D503-BMA-72	not_applicable		UNRESOLVED
GSE116256	GSE116256__BM1	GSM3587996	BM1	exact
GSE116256	GSE116256__BM2	GSM3587997	BM2	exact
GSE116256	GSE116256__BM3	GSM3587998	BM3	exact
GSE116256	GSE116256__BM4	GSM3588000	BM4	exact
GSE116256	GSE116256__BM5-34p	GSM3588002	BM5-34p	exact
GSE116256	GSE116256__BM5-34p38n	GSM3588003	BM5-34p38n	exact
GSE116256	GSE116256__AML1012-D0	GSM3587923	AML1012-D0	exact
GSE116256	GSE116256__AML210A-D0	GSM3587925	AML210A-D0	exact
GSE116256	GSE116256__AML314-D0	GSM3587927	AML314-D0	exact
GSE116256	GSE116256__AML314-D31	GSM3587929	AML314-D31	exact
GSE116256	GSE116256__AML328-D0	GSM3587931	AML328-D0	exact
GSE116256	GSE116256__AML328-D29	GSM3587937	AML328-D29	exact
GSE116256	GSE116256__AML328-D113	GSM3587933	AML328-D113	exact
GSE116256	GSE116256__AML328-D171	GSM3587935	AML328-D171	exact
GSE116256	GSE116256__AML329-D0	GSM3587940	AML329-D0	exact
GSE116256	GSE116256__AML329-D20	GSM3587942	AML329-D20	exact
GSE116256	GSE116256__AML329-D37	GSM3587944	AML329-D37	exact
GSE116256	GSE116256__AML371-D0	GSM3587946	AML371-D0	exact
GSE116256	GSE116256__AML371-D34	GSM3587948	AML371-D34	exact
GSE116256	GSE116256__AML419A-D0	GSM3587950	AML419A-D0	exact
GSE116256	GSE116256__AML420B-D0	GSM3587953	AML420B-D0	exact
GSE116256	GSE116256__AML420B-D14	GSM3587955	AML420B-D14	exact
GSE116256	GSE116256__AML420B-D35	GSM3587957	AML420B-D35	exact
GSE116256	GSE116256__AML475-D0	GSM3587959	AML475-D0	exact
GSE116256	GSE116256__AML475-D29	GSM3587961	AML475-D29	exact
GSE116256	GSE116256__AML556-D0	GSM3587963	AML556-D0	exact
GSE116256	GSE116256__AML556-D15	GSM3587965	AML556-D15	exact
