dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method
GSE185381,GSM5613747_2019-08-01-count-1,269,237,0,237,P2-exclude,n_final=237 < 500,1440.28252061335,13411.2750266345,742.668123117936,11.9424996965865,0.172490015756864,4484,1405,FALSE,consensus_intersection
GSE185381,GSM5613753_2019-09-03-count-1,180,159,1,158,P2-exclude,n_final=158 < 500,982.659054142006,16675.1783652034,412.437749952256,11.4380168145317,0.172975310290989,4186.5,1300,FALSE,consensus_intersection
GSE185381,GSM5613754_2019-09-03-count-2,183,170,0,170,P2-exclude,n_final=170 < 500,671.898521297595,16732.5997061102,371.728701928461,10.7524632652232,0.189663056191203,3450.5,1103,FALSE,consensus_intersection
GSE185381,GSM5613755_2019-09-03-count-3,184,168,0,168,P2-exclude,n_final=168 < 500,603.560605102477,16971.1374688891,389.374825465059,10.9590206964958,0.203780763391816,3265.5,1077.5,FALSE,consensus_intersection
GSE185381,GSM5613772_2020-07-29-AML2123-c1,659,396,0,396,P2-exclude,n_final=396 < 500,457.371512035583,55208.1280436975,230.496430129887,19.878550262589,1.72883979524307,5475,1606.5,FALSE,consensus_intersection
GSE185381,GSM5613773_2020-07-29-AML2123-c2,674,405,0,405,P2-exclude,n_final=405 < 500,421.269086829351,97123.6705449838,247.199637125354,19.5839052439995,1.8768600716575,6438,1814,FALSE,consensus_intersection
GSE185381,GSM5613783_2021-03-09-AML001_Dx-count3,466,359,0,359,P2-exclude,n_final=359 < 500,397.227372981327,81964.2079437726,450.760088227498,18.4477911668526,0.0298870011704906,6350,2288,FALSE,consensus_intersection
GSE185381,GSM5613792_2020-03-18-52-Dx,562,449,0,449,P2-exclude,n_final=449 < 500,443.61943191614,1755.572330626,308.755476216988,9.36394807089327,0,871,538,FALSE,consensus_intersection
GSE185381,GSM5613794_2020-05-22-5prime_1,70,52,0,52,P2-exclude,n_final=52 < 500,1384.12841468345,6867.05070076447,657.489148072662,7.50833013473292,0,3060,1023.5,FALSE,skipped_lowN
GSE185381,GSM5613798_2020-10-06-5prime_cDNA3-AML051,1,1,0,1,P2-exclude,n_final=1 < 500,814,814,52,36.977886977887,0,814,52,TRUE,skipped_lowN
GSE185381,GSM5613799_2020-10-06-5prime_cDNA5,496,307,1,306,P2-exclude,n_final=306 < 500,1011.41650588966,22808.3809841606,600.982369159182,7.27520591693409,0,4681,1714,FALSE,consensus_intersection
GSE185381,GSM5613802_2021-04-29-0693_cDNA,471,275,0,275,P2-exclude,n_final=275 < 500,1209.75666869645,16575.6341906403,690.838871497223,4.41450578719406,0,4467,1716,FALSE,consensus_intersection
GSE185381,GSM5613803_2021-04-29-1133_cDNA,557,357,0,357,P2-exclude,n_final=357 < 500,1884.65966737358,11966.6173105033,910.629259588103,7.54816390358465,0,4627,1670,FALSE,consensus_intersection
