dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered
GSE185991,GSM5628165_M05,229,18,0,18,P2-exclude,LOW_COMPLEXITY (median below floor),500,1813.57087932899,200,246957.910522457,20,0,995.5,464,TRUE,skipped_lowN,94.0514660574555,0.0816495408360947,189.615753205656,43,168,0.921397379912664,0.001832,,10x,FALSE
GSE185991,GSM5628166_M06,432,232,8,224,P2-exclude,n_final=224 < 300,1942.28238260858,54894.6682288302,873.555199059394,8569.21234978655,7.46456143290685,0,9804.5,2659.5,FALSE,consensus_union,1942.28238260858,873.555199059394,7.46456143290685,200,0,0.462962962962963,0.003456,0.0344827586206897,10x,FALSE
GSE185991,GSM5628169_M09,378,0,,0,P2-exclude,all 378 cells failed QC (median nFeature = 20; ABS floor = 200),500,702.946860869115,200,97.724382138149,20,0,,,FALSE,,39.2006871841352,4.09314432333311,109.649404989262,77,301,1,,,10x,FALSE
GSE185991,GSM5628170_M10,512,222,4,218,P2-exclude,n_final=218 < 300,3182.27642767216,40420.4269878882,1245.10351977124,6617.73890215478,6.80363464414718,0,12229.5,3036.5,FALSE,consensus_union,3182.27642767216,1245.10351977124,6.80363464414718,290,0,0.56640625,0.004096,0.018018018018018,10x,FALSE
GSE185991,GSM5628171_M21,891,247,8,239,P2-exclude,n_final=239 < 300,500,40386.5822588833,200,29987.1604202216,20,0,1963,799,FALSE,consensus_union,42.8168194306575,11.9252371677998,66.5485552839954,503,141,0.722783389450056,0.007128,0.0323886639676113,10x,FALSE
GSE185991,GSM5628173_M23,687,216,6,210,P2-exclude,n_final=210 < 300,1582.90340434356,146805.885540672,992.583710768539,12948.2529892101,7.51769963036816,0,14932.5,3481,FALSE,consensus_union,1582.90340434356,992.583710768539,7.51769963036816,471,0,0.685589519650655,0.005496,0.0277777777777778,10x,FALSE
GSE185991,GSM5628179_M29,74,45,0,45,P2-exclude,n_final=45 < 300,1886.04588273583,28347.1232006546,806.196854547599,5959.91285862344,16.2629048008633,0,7349,2262,FALSE,skipped_lowN,1886.04588273583,806.196854547599,16.2629048008633,29,0,0.391891891891892,0.000592,,10x,FALSE
GSE185991,GSM5628184_M34,412,200,5,195,P2-exclude,n_final=195 < 300,1709.92664900189,22047.4901786025,825.762465470173,5292.30884514919,18.6883326604721,0,6638,2217,FALSE,consensus_union,1709.92664900189,825.762465470173,18.6883326604721,212,0,0.514563106796117,0.003296,0.025,10x,FALSE
GSE185991,GSM5628185_M35,492,250,7,243,P2-exclude,n_final=243 < 300,708.417507676325,23567.15752941,487.027830001054,5103.10057639749,20,0,4240,1611,FALSE,consensus_union,708.417507676325,487.027830001054,20.0018681329162,242,0,0.491869918699187,0.003936,0.028,10x,FALSE
GSE185991,GSM5628189_M42,3540,1596,104,1492,P2-exclude,LOW_COMPLEXITY (median below floor),500,5296.4398342784,200,1820.37191403692,7.36761094738293,18.7155810973968,830.5,435.5,TRUE,consensus_union,39.0875770286562,41.9980111813839,7.36761094738293,114,1830,0.549152542372881,0.02832,0.0651629072681704,10x,FALSE
GSE185991,GSM5628197_M50,761,201,7,194,P2-exclude,n_final=194 < 300,500,578212.040630534,200,40409.435523457,20,0,10689,2931,FALSE,consensus_union,125.98531313973,150.854891216221,30.4757585207843,548,12,0.735873850197109,0.006088,0.0348258706467662,10x,FALSE
