dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered,n_dbl_sc,n_dbl_df,n_dbl_both,dbl_jaccard
Chen2023,AML103,2623,2057,53,2004,PASS,OK,500,130087.358136946,369.674914975336,10994.1352127481,10.8557454194628,0.0625608635737253,7266,2274.5,FALSE,consensus_union,275.999639889703,369.674914975336,10.8557454194628,566,0,0.215783454060236,0.020984,0.0257656781720953,10x,FALSE,30,37,14,0.264150943396226
Chen2023,AML162,6648,4842,374,4468,PASS,OK,500,49863.2805645538,259.598753554082,6829.35482442773,7.98430543387363,0.0712037836757916,4342,1433,FALSE,consensus_union,283.225709181262,259.598753554082,7.98430543387363,1806,0,0.271660649819495,0.053184,0.077240809582817,10x,FALSE,151,239,16,0.0427807486631016
Chen2023,AML24,18459,12875,1599,11276,PASS,OK,500,18872.7442220519,200,4988.64395860493,8.83759480565061,0,1052,591,FALSE,consensus_union,87.6288037681143,93.2365596461753,8.83759480565061,5581,3,0.30250826155263,0.1,0.124194174757282,10x,FALSE,1059,1143,603,0.377110694183865
Chen2023,AML304,14936,8533,1250,7283,PASS,OK,500,39149.663309504,225.047074712034,6668.04934887589,7.19737657833229,0,2765,1133,FALSE,consensus_union,238.081460019537,225.047074712034,7.19737657833229,6403,0,0.428695768612748,0.1,0.146490097269425,10x,FALSE,631,778,159,0.1272
Chen2023,AML320,13484,6617,991,5626,PASS,OK,500,35778.7739505259,209.542549837927,6410.54048945657,7.75597801000272,0,2842.5,1001,FALSE,consensus_union,298.861554473217,209.542549837927,7.75597801000272,6867,0,0.50927024621774,0.1,0.14976575487381,10x,FALSE,444,593,46,0.0464177598385469
Chen2023,AML469,6835,3440,263,3177,PASS,OK,2356.60605762434,43932.0881252286,915.574326963872,6486.60499218471,6.20333425482685,0,10447,2439,FALSE,consensus_union,2356.60605762434,915.574326963872,6.20333425482685,3395,0,0.496708119970739,0.05468,0.076453488372093,10x,FALSE,158,164,59,0.224334600760456
Chen2023,NBM1,18640,13708,1486,12222,PASS,OK,500,41538.0948478806,224.937353577229,7136.60481227654,4.94047126767424,0.0444954484186557,3006.5,1196.5,FALSE,consensus_union,251.631400965259,224.937353577229,4.94047126767424,4932,0,0.264592274678112,0.1,0.108403851765392,10x,FALSE,780,1286,580,0.390309555854643
Chen2023,NBM2,7494,3458,287,3171,PASS,OK,784.429754084569,42023.9311784775,450.308800390421,7291.31653024172,7.35289750290862,0,5307,1611,FALSE,consensus_union,784.429754084569,450.308800390421,7.35289750290862,4036,0,0.538564184681078,0.059952,0.0829959514170041,10x,FALSE,149,184,46,0.160278745644599
Chen2023,NBM3,19506,14768,2153,12615,PASS,OK,500,39175.8520728375,200,6934.69348464484,7.03388046976138,0.421656346749226,2551,1062,FALSE,consensus_union,216.825149947141,194.038857374086,7.03388046976138,4737,1,0.24289962062955,0.1,0.145788190682557,10x,FALSE,1121,1379,347,0.161170459823502
Chen2023,NBM4,12110,6310,933,5377,PASS,OK,500,30003.1007045906,364.914053766056,5241.47804191234,5.52378983273407,0,3495,1274,FALSE,consensus_union,481.790337016344,364.914053766056,5.52378983273407,5800,0,0.478943022295623,0.09688,0.147860538827258,10x,FALSE,410,568,45,0.0482315112540193
E-MTAB-11536,621B-BMA,711,598,6,592,PASS,OK,1473.12193941097,13346.0479231347,882.019939351158,3045.64656664808,7.25877518378123,0.324481717981937,4425,1637,FALSE,consensus_union,1473.12193941097,882.019939351158,7.25877518378123,113,0,0.158931082981716,0.005688,0.0100334448160535,10x,TRUE,4,2,0,0
E-MTAB-11536,637C-BMA,1616,1360,29,1331,PASS,OK,1636.42768888095,15018.5713472048,943.191079872132,3939.02792263861,5.22487606678634,0.0868590914507836,5045,1954,FALSE,consensus_union,1636.42768888095,943.191079872132,5.22487606678634,256,0,0.158415841584158,0.012928,0.0213235294117647,10x,TRUE,13,16,0,0
E-MTAB-11536,640C-BMA,2048,1657,48,1609,PASS,OK,1428.30779705592,20189.5558222392,867.782871543204,4524.5672952932,5.92170007975858,0.118960620669247,5303,1958,FALSE,consensus_union,1428.30779705592,867.782871543204,5.92170007975858,391,0,0.19091796875,0.016384,0.0289680144840072,10x,TRUE,24,24,0,0
E-MTAB-11536,A29-BMA,1410,1199,22,1177,PASS,OK,1350.43532664236,9714.55925447242,692.601368582809,2700.04664274124,9.44633772931122,0.469026101742867,3539,1351,FALSE,consensus_union,1350.43532664236,692.601368582809,9.44633772931122,211,0,0.149645390070922,0.01128,0.018348623853211,10x,TRUE,10,12,0,0
E-MTAB-11536,A31-BMA,363,284,2,282,P2-exclude,n_final=282 < 300,932.632291414324,31812.9763178221,489.235365006653,6927.71055083867,12.7720204682582,0.788417279647115,5591,1888,FALSE,consensus_union,932.632291414324,489.235365006653,12.7720204682582,79,0,0.21763085399449,0.002904,0.00704225352112676,10x,TRUE,1,1,0,0
E-MTAB-11536,A35-BMA,1399,1158,20,1138,PASS,OK,1598.87663095582,19009.0770054164,875.016506569204,4658.61040265713,6.99113454415071,0.114690370608572,5516,2027,FALSE,consensus_union,1598.87663095582,875.016506569204,6.99113454415071,241,0,0.172265904217298,0.011192,0.0172711571675302,10x,TRUE,10,12,2,0.1
E-MTAB-11536,A36-BMA,1333,1106,14,1092,PASS,OK,1023.86065379298,24809.6261008738,617.146071453512,5042.07373899552,10.300405354672,0.44608887720112,5282,1825,FALSE,consensus_union,1023.86065379298,617.146071453512,10.300405354672,227,0,0.170292573143286,0.010664,0.0126582278481013,10x,TRUE,6,10,2,0.142857142857143
