dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered
GSE227903,1216_Dg,2941,2315,145,2170,PASS,OK,500,73589.6685572246,336.780360477262,12103.9154249472,13.6309130776913,0.190777224000946,5550.5,2195.5,FALSE,consensus_union,329.338743809584,336.780360477262,13.6309130776913,626,0,0.21285277116627,0.023528,0.0626349892008639,10x,TRUE
GSE227903,1216_MRD,2371,1838,98,1740,PASS,OK,628.469352100739,125555.349256477,541.289367613089,12069.5812459961,10.3637266098239,0.238572603394898,9068.5,2607,FALSE,consensus_union,628.469352100739,541.289367613089,10.3637266098239,533,0,0.224799662589625,0.018968,0.0533188248095756,10x,TRUE
GSE227903,1216_R,6866,5878,634,5244,PASS,OK,842.934287033813,29693.9030539115,599.83045468359,6197.05780354352,12.9718106277623,0.198896969157917,5032,1936,FALSE,consensus_union,842.934287033813,599.83045468359,12.9718106277623,988,0,0.143897465773376,0.054928,0.107859816264035,10x,TRUE
GSE227903,1886_Dg,7052,3320,325,2995,PASS,OK,1177.62584804466,53723.4437449276,740.082867296342,9176.31835582092,10.1876412342374,0,6732,2319,FALSE,consensus_union,1177.62584804466,740.082867296342,10.1876412342374,3732,0,0.529211571185479,0.056416,0.0978915662650602,10x,TRUE
GSE227903,1886_MRD,3528,2877,188,2689,PASS,OK,1864.37234425043,47889.3528298373,889.975111769851,7554.87306451637,9.67011327993549,0.208613650314101,9080,2519,FALSE,consensus_union,1864.37234425043,889.975111769851,9.67011327993549,651,0,0.18452380952381,0.028224,0.0653458463677442,10x,TRUE
GSE227903,1886_R,2099,1748,93,1655,PASS,OK,2232.26096968091,214069.773422732,1022.49958134326,16160.6178638157,11.5043593691105,0.172075113460113,23987,4258,FALSE,consensus_union,2232.26096968091,1022.49958134326,11.5043593691105,351,0,0.167222486898523,0.016792,0.0532036613272311,10x,TRUE
GSE227903,3822_Dg,561,242,7,235,P2-exclude,n_final=235 < 300,7590.49199553639,45396.9214647265,2581.14833348402,7334.41032985761,16.7584199046029,0,18863,4359,FALSE,consensus_union,7590.49199553639,2581.14833348402,16.7584199046029,319,0,0.568627450980392,0.004488,0.0289256198347107,10x,TRUE
GSE227903,3822_R,548,453,9,444,PASS,OK,803.644148254725,31570.3014264446,429.067007031799,6169.50023333725,20,0.226705679213082,5097,1642.5,FALSE,consensus_union,803.644148254725,429.067007031799,22.5153735659903,86,9,0.173357664233577,0.004384,0.0198675496688742,10x,TRUE
GSE227903,3853_Dg,1622,1337,60,1277,PASS,OK,4947.76481436495,34957.5932748129,1938.16200384469,6425.59289434815,17.1674708256358,0.0191100400304542,13549,3595,FALSE,consensus_union,4947.76481436495,1938.16200384469,17.1674708256358,285,0,0.175709001233046,0.012976,0.0448765893792072,10x,TRUE
GSE227903,3853_R,627,528,17,511,PASS,OK,5585.50293120766,51382.5674312103,2276.54054142535,8076.70395735096,17.5773641764028,0.0216758842955477,17977,4390,FALSE,consensus_union,5585.50293120766,2276.54054142535,17.5773641764028,99,0,0.157894736842105,0.005016,0.0321969696969697,10x,TRUE
