dataset,Sample,n_raw,n_after_mad,n_doublet,n_final,status,reason,ncount_lo,ncount_hi,nfeat_lo,nfeat_hi,mt_hi,hb_hi,med_ncount_final,med_nfeat_final,lowcomplexity_flag,dbl_method,ncount_lo_mad,nfeat_lo_mad,mt_hi_mad,n_fail_mad,n_fail_abs,mad_loss,dbl_rate_exp,dbl_rate_obs,platform,upstream_filtered,n_dbl_sc,n_dbl_df,n_dbl_both,dbl_jaccard
GSE239721,PT9A,293,264,3,261,P2-exclude,n_final=261 < 300,4403.41862014985,49206.8591908318,1437.38693512495,7316.78349301662,7.25391366867704,0.029676962466634,15199,3310,FALSE,consensus_union,4403.41862014985,1437.38693512495,7.25391366867704,29,0,0.0989761092150171,0.002344,0.0113636363636364,10x,TRUE,3,1,1,0.333333333333333
GSE239721,PT10A,1327,1242,19,1223,PASS,OK,3244.18066563386,33970.9823091702,1510.78964539946,7230.01050031152,7.55129374002022,0.0547077726451095,10610,3339,FALSE,consensus_union,3244.18066563386,1510.78964539946,7.55129374002022,85,0,0.0640542577241899,0.010616,0.0152979066022544,10x,TRUE,10,11,2,0.105263157894737
GSE239721,PT12A,584,395,2,393,PASS,OK,2413.06266973048,16900.0832475498,999.899655121115,4435.68009778218,12.0003155792396,0,6380,2104,FALSE,consensus_union,2413.06266973048,999.899655121115,12.0003155792396,189,0,0.323630136986301,0.004672,0.00506329113924051,10x,TRUE,1,1,0,0
GSE239721,PT13A,885,492,16,476,PASS,OK,1420.21920544876,29493.1823476958,752.236928519906,7124.38434861841,9.9602644442515,0,5705,2081,FALSE,consensus_union,1420.21920544876,752.236928519906,9.9602644442515,393,0,0.444067796610169,0.00708,0.032520325203252,10x,TRUE,14,2,0,0
GSE239721,PT14A,684,636,4,632,PASS,OK,6192.56697907837,37658.5930823,2249.87160944837,6084.78454615308,10.1701550809212,0.0342134041561799,15483.5,3744.5,FALSE,consensus_union,6192.56697907837,2249.87160944837,10.1701550809212,48,0,0.0701754385964912,0.005472,0.00628930817610063,10x,TRUE,2,2,0,0
GSE239721,PT15A,4549,4113,203,3910,PASS,OK,4647.44574863758,25335.250236007,1622.80716917142,5773.77348214702,6.10528040376519,0.0570689293945108,10893,3063,FALSE,consensus_union,4647.44574863758,1622.80716917142,6.10528040376519,436,0,0.0958452407122444,0.036392,0.0493557014344761,10x,TRUE,122,127,46,0.226600985221675
GSE239721,PT16A,1671,1506,38,1468,PASS,OK,1813.83818672186,29283.1766299916,1125.74589535026,7501.54722738072,13.402500695765,0.0476289561112082,7415.5,2930,FALSE,consensus_union,1813.83818672186,1125.74589535026,13.402500695765,165,0,0.0987432675044884,0.013368,0.0252324037184595,10x,TRUE,25,16,3,0.0789473684210526
GSE239721,PT17A,5207,2496,157,2339,PASS,OK,2773.72740664754,34858.4683441772,1297.38757845126,7469.44795908115,9.48677077604044,0,8858,2874,FALSE,consensus_union,2773.72740664754,1297.38757845126,9.48677077604044,2711,0,0.52064528519301,0.041656,0.062900641025641,10x,TRUE,98,81,22,0.140127388535032
GSE239721,PT19A,476,277,1,276,P2-exclude,n_final=276 < 300,632.69492367987,24816.4216470693,452.634655259326,4865.39635092298,11.8174548169674,0,3696.5,1417.5,FALSE,consensus_union,632.69492367987,452.634655259326,11.8174548169674,199,0,0.418067226890756,0.003808,0.0036101083032491,10x,TRUE,1,1,1,1
GSE239721,PT20A,1894,1007,16,991,PASS,OK,1511.07205850543,22624.5994077966,734.010075860973,5357.26842085586,7.05990971190758,0,5443,1887,FALSE,consensus_union,1511.07205850543,734.010075860973,7.05990971190758,887,0,0.468321013727561,0.015152,0.015888778550149,10x,TRUE,10,11,5,0.3125
