dataset,min,med,max,ratio
GSE185381,0.0372208436724566,0.113278717270993,0.506218487394958,13.6004033613445
GSE239721,0.0640542577241899,0.135664420158759,0.535425825580207,8.35894200641099
GSE227903,0.089035449299258,0.195542046605876,0.568627450980392,6.3865286855483
GSE185991,0.157709693621296,0.510969505303187,1,6.34076433121019
GSE116256,0.0898550724637681,0.234650967199327,0.46078431372549,5.1280834914611
GSE201966,0.185406698564593,0.473,0.637714285714286,3.43954285714286
GSE289435,0.22106135986733,0.386153234029468,0.59825630738369,2.70629072282344
Chen2023,0.215783454060236,0.365602015082689,0.538564184681078,2.49585486999729
GSE253355,0.23651729122651,0.304630476444224,0.582776659959759,2.46399177386841
GSE207356,0.179029516303508,0.348340487907025,0.368861882082444,2.06034116439835
Petti2019,0.229862306368331,0.290506649486908,0.345228548516439,1.50189282432086
E-MTAB-11536,0.149645390070922,0.164927041748257,0.21763085399449,1.45431044612432
GSE147989,0.273704789833822,0.323244885744886,0.350525310410697,1.28066925910765
