dataset,Sample,n_cells,size_bin,rate_exp,rate_sc,rate_df,rate_union,rate_inter,jaccard,ratio_sc,ratio_df,ratio_union,ratio_inter
GSE116256,AML870-D0,302,<1k,0.02,0.033112582781457,0.0132450331125828,0.043046357615894,0.0033112582781457,0.0769230769230769,1.65562913907285,0.662251655629139,2.1523178807947,0.165562913907285
GSE116256,AML420B-D0,351,<1k,0.02,0.037037037037037,0.0113960113960114,0.0484330484330484,0,0,1.85185185185185,0.56980056980057,2.42165242165242,0
GSE116256,AML916-D0,622,<1k,0.02,0.0337620578778135,0.0128617363344051,0.045016077170418,0.00160771704180064,0.0357142857142857,1.68810289389068,0.643086816720257,2.2508038585209,0.0803858520900322
GSE116256,AML556-D31,1042,1-3k,0.02,0.0422264875239923,0.0163147792706334,0.0556621880998081,0.00287907869481766,0.0517241379310345,2.11132437619962,0.81573896353167,2.7831094049904,0.143953934740883
GSE185991,GSM5628187_M40,1850,1-3k,0.032488,0.0545945945945946,0.0281081081081081,0.0783783783783784,0.00432432432432432,0.0551724137931035,1.68045415521407,0.865184317535955,2.41253319312911,0.133105279620916
GSE185991,GSM6412454_M93,1954,1-3k,0.052568,0.0731832139201638,0.0440122824974411,0.105936540429887,0.0112589559877175,0.106280193236715,1.39216279714206,0.837244759120399,2.01522866439445,0.214178891868009
GSE227903,3904_Dg,3102,3-10k,0.03388,0.0541586073500967,0.0296582849774339,0.0722114764667956,0.011605415860735,0.160714285714286,1.59854212957783,0.875392118578333,2.13138950610377,0.342544742052391
GSE289435,GSM8791438_MLL_28830,3968,3-10k,0.080136,0.0773689516129032,0.0708165322580645,0.135584677419355,0.0126008064516129,0.0929368029739777,0.965470595149536,0.883704355820911,1.69193218303078,0.157242767939664
GSE185381,Control4,4957,3-10k,0.046864,0.0175509380673795,0.0421625983457737,0.0578979221303208,0.00181561428283236,0.0313588850174216,0.374507896623836,0.899679889590595,1.23544559001197,0.0387421962024658
GSE227903,6323_MRD,9577,>10k,0.1,0.115693849848596,0.0899028923462462,0.184295708468205,0.0213010337266367,0.115580736543909,1.15693849848596,0.899028923462462,1.84295708468205,0.213010337266367
Chen2023,AML24,10721,>10k,0.1,0.0651991418710941,0.0870254640425334,0.132543606006902,0.0196809999067251,0.148486980999296,0.651991418710941,0.870254640425334,1.32543606006902,0.196809999067251
Petti2019,721214,11995,>10k,0.1,0.0484368486869529,0.088120050020842,0.124718632763652,0.0118382659441434,0.0949197860962567,0.484368486869529,0.88120050020842,1.24718632763652,0.118382659441434
